"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brasenia.schreberi","Carya","Castanea","Celtis","cf..Vitis","Cornus","Corylus","Cyperaceae","Equisetum","Ericaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Ilex","Impatiens","Indeterminable","Isoëtes","Juglans","Juniperus.Thuja","Larix","Lycopodiaceae.undiff.","Lycopodium.clavatum","Lycopus","Myrica","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae","Rumex","Sagittaria","Salix","Sparganium","Sphagnum","Thalictrum","Tilia","Tsuga","Typha","Ulmus","Unknown","Unknown..monolete.","Urtica"
7,59,14,4,3,15,0,1,10,1,1,0,129,0,0,0,0,0,0,0,0,0,0,24,4,2,0,1,0,8,0,0,2,2,0,2,0,0,0,0,0,5,53,7,15,27,0,10,0,0,0,7,0,1,0,0,0,61,0,0,17,0,1,1,1,0
57,684,2,0,3,3,0,1,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,12,27,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,8,0,6,44,0,0,0,0,0,7,0,0,0,0,0,34,0,1,107,0,0,1,6,0
127,1558,0,0,2,4,0,0,0,0,0,0,144,0,0,0,0,0,0,0,2,0,0,1,16,0,4,1,0,16,0,0,0,3,0,0,0,0,0,0,0,7,19,0,19,37,1,2,0,0,1,5,0,0,0,0,0,210,0,0,104,0,3,2,1,0
162,2083,3,1,6,5,3,0,0,0,0,0,131,0,0,0,1,0,0,0,0,0,0,11,37,4,3,0,0,21,0,1,0,3,0,0,0,3,0,0,0,2,16,2,21,53,0,3,0,0,0,14,0,0,0,0,0,13,0,1,179,0,2,1,0,0
227,3287,8,2,2,2,2,0,0,0,0,0,111,0,0,0,1,2,0,0,0,0,0,2,22,4,3,0,0,12,0,0,0,2,0,0,0,0,0,0,1,1,9,2,42,49,0,1,0,0,1,7,0,0,0,0,1,31,1,0,79,0,0,1,2,0
257,3843,4,1,5,12,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,3,33,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,14,0,57,71,0,2,0,0,0,9,0,0,0,0,0,63,0,1,46,0,1,2,1,0
272,4121,3,0,4,8,1,0,0,0,0,0,126,0,0,0,0,0,0,0,0,1,0,2,45,2,4,0,0,6,0,0,0,1,0,0,0,0,0,0,1,3,15,1,46,48,2,0,0,0,0,33,0,0,0,0,0,4,1,2,16,0,5,1,0,0
352,5453,2,5,4,5,0,0,0,0,0,0,129,0,0,2,0,1,0,0,0,8,3,3,37,1,4,1,0,6,0,0,0,0,0,0,0,2,2,0,1,3,8,2,20,82,0,0,0,2,1,30,0,0,0,0,0,3,0,0,136,0,13,1,0,0
382,5949,0,0,1,2,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,3,0,2,11,0,5,0,0,12,0,0,0,1,0,0,0,1,0,0,1,2,6,0,15,66,0,0,0,0,0,17,1,0,0,1,0,1,0,0,127,0,2,2,3,0
467,7005,4,1,4,2,3,0,0,0,0,0,60,0,0,1,0,0,0,1,0,15,1,1,10,2,5,0,0,20,0,0,0,2,0,0,1,1,5,1,1,1,6,2,45,95,0,3,1,0,0,11,2,0,1,0,1,0,0,0,52,0,3,3,184,0
497,7297,2,0,1,3,0,0,1,0,1,0,29,0,0,0,0,0,0,2,0,2,0,0,3,3,1,1,1,17,0,0,0,0,0,0,0,0,19,0,0,1,6,0,81,115,0,0,1,0,0,24,0,0,1,0,0,0,0,0,46,0,4,7,214,0
542,7869,0,1,0,3,0,0,0,0,3,0,38,0,5,0,0,0,2,0,0,3,0,0,7,2,1,0,0,5,2,0,2,1,0,0,0,0,5,0,0,2,13,1,81,76,1,1,0,1,2,21,0,0,1,1,1,1,0,0,40,0,10,4,14,0
587,8472,2,0,2,4,0,0,0,0,0,0,53,1,0,0,0,0,3,0,0,3,0,1,1,1,5,0,0,2,0,1,0,0,0,0,0,0,1,0,0,3,22,5,83,108,0,4,0,0,3,49,0,0,0,4,0,0,0,0,22,1,7,8,10,0
657,10869,15,2,1,4,4,1,0,0,0,0,54,0,0,1,0,0,0,0,1,1,3,0,0,2,5,1,0,8,0,0,3,1,0,0,0,0,1,0,1,3,29,9,85,104,1,8,5,1,2,35,2,0,0,2,0,0,0,0,4,2,5,4,17,0
727,NA,9,1,2,4,7,0,0,0,1,0,100,0,0,1,0,0,0,0,0,1,1,0,0,1,8,0,0,13,0,0,5,0,1,0,0,2,0,0,0,6,56,7,24,130,0,7,1,2,13,26,0,0,0,3,0,0,0,0,2,0,6,7,3,1
762,NA,3,0,1,1,10,0,0,0,2,2,113,0,0,0,0,0,0,0,1,49,0,1,0,0,0,0,0,7,84,0,6,0,2,0,0,0,0,0,0,4,150,18,4,21,0,8,0,0,1,6,0,0,0,11,0,1,0,0,0,0,0,4,4,0
