"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Betula","Brasenia.schreberi","Carya","Castanea","Celtis","Cephalanthus","Cerealia","Cistaceae","Clethra","Cornus","Corylus","Cupressaceae.undiff.","Cyperaceae","Elymus","Ericaceae","Eriocaulon","Fabaceae","Fagus","Fraxinus","Gentianaceae","Herbs.undiff.","Ilex","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Liquidambar","Liriodendron","Lycopodiaceae.undiff.","Lycopodiella.inundata","Lycopodium.clavatum","Magnolia","Myrica","Myriophyllum","Nuphar","Nymphaea","Nymphaeaceae.undiff.","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus","Platanus","Poaceae.undiff.","Polygonum","Polypodium.type","Pontederiaceae","Potamogetonaceae","Pteridium.type","Quercus","Ranunculus","Rhus","Rosaceae","Rumex","Sagittaria","Salix","Sambucus","Sarracenia","Saxifragaceae","Shrubs.undiff.","Sparganium.type","Sphagnum","Taxodium","Thalictrum","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Utricularia","Viburnum","Vitis"
1,41,0,11,0,4,0,6,0,0,0,1,2,3,0,6,0,0,3,0,0,1,0,5,193,1,0,1,0,0,8,3,0,0,8,0,0,0,0,6,2,0,0,0,6,4,1,0,0,0,132,0,2,2,0,133,1,13,0,4,0,0,0,94,0,0,2,0,1,4,0,0,0,0,0,2,6,0,0,0,1,4,7,0,0,0,1
10,484,0,14,1,2,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,1,169,1,0,3,0,0,5,4,0,0,8,0,0,0,1,0,2,0,0,0,3,0,0,1,0,0,121,0,2,1,0,107,0,4,2,12,0,0,1,67,0,0,2,0,1,3,0,0,1,0,0,1,3,0,1,0,0,4,2,0,0,1,2
20,1051,0,9,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,3,199,1,0,7,0,0,1,8,0,0,4,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,66,0,2,1,0,51,0,3,0,5,0,0,0,32,0,4,0,0,0,1,0,0,4,0,0,0,10,0,0,0,0,1,3,0,0,0,2
30,1619,0,6,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,349,0,0,2,0,0,0,1,0,0,9,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,11,0,3,1,0,23,0,17,0,0,0,0,1,27,0,4,0,0,0,1,0,0,0,0,0,0,39,0,0,0,0,1,0,0,0,0,0
40,2187,0,4,0,1,0,0,0,0,0,0,1,2,0,1,0,0,2,0,0,0,0,10,232,3,0,11,0,0,2,1,0,0,5,0,0,0,0,4,0,0,0,0,3,20,0,0,0,0,21,0,3,0,0,44,0,74,0,2,0,0,0,45,1,0,0,0,0,0,0,1,1,0,0,2,52,0,0,0,2,3,0,0,0,4,0
49,2698,0,7,0,2,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,134,1,0,4,0,0,1,2,0,0,4,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,43,0,3,2,0,59,0,17,1,3,0,0,0,39,0,0,0,0,0,0,0,0,1,0,0,1,8,0,1,0,1,2,1,1,0,3,1
60,3322,0,3,0,4,0,1,0,15,1,0,5,1,0,5,0,0,0,0,0,0,0,2,200,0,0,0,0,0,1,0,0,0,1,1,0,1,0,5,0,0,0,0,0,1,0,0,0,0,25,0,1,0,0,56,0,21,0,1,0,0,0,59,0,1,0,0,1,0,0,0,2,0,0,1,19,0,0,0,1,3,5,0,0,0,1
70,3890,0,1,0,1,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,1,0,0,150,11,0,0,1,0,1,4,0,1,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,50,0,16,0,0,0,0,0,57,0,0,0,0,1,0,0,0,1,0,0,0,12,0,0,0,0,0,5,0,0,0,0
80,4318,0,2,0,2,0,0,0,16,0,0,14,0,0,10,0,0,0,0,0,0,0,0,97,3,0,0,1,0,0,1,0,9,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,65,1,11,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0
90,4746,0,1,0,2,0,2,1,28,0,0,0,3,0,10,2,0,3,0,0,0,0,0,64,12,0,0,0,0,1,1,0,8,1,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,4,0,1,3,0,77,0,8,4,0,1,0,0,155,1,0,0,0,1,0,1,0,0,0,0,0,5,0,1,0,1,7,19,1,0,0,0
