"sample.depths","sample.ages","Acer.negundo","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cyperaceae","Ostrya.Carpinus","Picea","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Xanthium","Alnus","Ambrosia","Populus","Poaceae","Iva.xanthifolia","Abies.balsamea","Acer.saccharum","Pinus.banksiana.P..resinosa","Fraxinus.nigra","Fraxinus.pennsylvanica","Larix.laricina","Pinus.strobus.type","Acer.rubrum","Juniperus.Thuja","Dalea.candida","Tilia.americana","Humulus.lupulus","Sarcobatus.vermiculatus","Juglans","Dalea.purpurea","Carya","Iva.annua","Caryophyllaceae","Brassicaceae","Thalictrum","Ephedra","Rosaceae","Ericaceae","Platanus","Vitis","Amorpha","Lamiaceae","Plantago","Galium","Celtis.occidentalis","Symphoricarpos.occidentalis","Shepherdia"
1,-10,0.00245098039215686,0.0147058823529412,0.120098039215686,0.017156862745098,0.00980392156862745,0.0245098039215686,0.00735294117647059,0.0196078431372549,0.360294117647059,0.0759803921568627,0.00735294117647059,0.00735294117647059,0.0147058823529412,0.00245098039215686,0.00490196078431373,0.0514705882352941,0.0833333333333333,0.00245098039215686,0.0588235294117647,0.00245098039215686,0.00735294117647059,0.00245098039215686,0.0318627450980392,0.00735294117647059,0.00245098039215686,0.00980392156862745,0.0514705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,15,0,0.0388548057259714,0.106339468302658,0.0224948875255624,0.0122699386503067,0.016359918200409,0.00613496932515337,0.0122699386503067,0.38241308793456,0.032719836400818,0.00204498977505112,0.00613496932515337,0.0143149284253579,0.00408997955010225,0,0.0368098159509202,0.0674846625766871,0.0102249488752556,0.0777096114519427,0,0.00408997955010225,0,0.049079754601227,0.00613496932515337,0,0.0224948875255624,0.0552147239263804,0.00204498977505112,0.00613496932515337,0.00204498977505112,0.00204498977505112,0.00204498977505112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,44,0,0.0309050772626932,0.130242825607064,0.0198675496688742,0.011037527593819,0.0309050772626932,0.0022075055187638,0.00883002207505519,0.448123620309051,0.0463576158940397,0.00662251655629139,0.00883002207505519,0.0154525386313466,0,0,0.0375275938189845,0.0419426048565121,0.011037527593819,0.0286975717439294,0.0022075055187638,0.00662251655629139,0.00441501103752759,0.0375275938189845,0.00441501103752759,0,0.0264900662251656,0.033112582781457,0,0,0,0,0,0.0022075055187638,0.0022075055187638,0.0022075055187638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,72,0.00263852242744063,0.050131926121372,0.129287598944591,0.00527704485488127,0.0131926121372032,0.0448548812664908,0.0158311345646438,0.0131926121372032,0.424802110817942,0.0844327176781003,0.0079155672823219,0.00263852242744063,0.00527704485488127,0,0,0.0263852242744063,0.0395778364116095,0.0079155672823219,0.0395778364116095,0,0.0079155672823219,0.00263852242744063,0.0131926121372032,0.00263852242744063,0,0.029023746701847,0.0211081794195251,0,0,0,0,0,0.00263852242744063,0,0,0.00263852242744063,0.00527704485488127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,100,0,0.0461165048543689,0.150485436893204,0.00728155339805825,0.0145631067961165,0.0266990291262136,0.00728155339805825,0.0169902912621359,0.402912621359223,0.0388349514563107,0.00485436893203883,0.00970873786407767,0.00970873786407767,0,0,0.0412621359223301,0.0169902912621359,0.00970873786407767,0.0558252427184466,0,0.00485436893203883,0.00485436893203883,0.0266990291262136,0.00242718446601942,0.00242718446601942,0.029126213592233,0.0606796116504854,0,0.00728155339805825,0,0,0,0,0,0,0,0,0.00242718446601942,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,229,0.00258397932816537,0.020671834625323,0.0878552971576227,0.0103359173126615,0.00516795865633075,0.0155038759689922,0.0180878552971576,0.0180878552971576,0.472868217054264,0.0310077519379845,0,0.0103359173126615,0.00516795865633075,0,0,0.0258397932816537,0.0310077519379845,0.00258397932816537,0.0749354005167959,0,0.00775193798449612,0,0.0490956072351421,0.00258397932816537,0,0.0180878552971576,0.0801033591731266,0.00516795865633075,0,0,0,0,0,0,0,0.00258397932816537,0,0,0.00258397932816537,0,0,0,0,0,0,0,0,0,0,0,0,0
60,357,0,0.0218818380743982,0.100656455142232,0.00437636761487965,0.0087527352297593,0.0218818380743982,0.0153172866520788,0.037199124726477,0.428884026258206,0.0350109409190372,0.00656455142231947,0.00218818380743982,0.00437636761487965,0,0,0.0262582056892779,0.0175054704595186,0,0.102844638949672,0,0.00218818380743982,0,0.0437636761487965,0.00218818380743982,0,0.0175054704595186,0.0897155361050328,0.00218818380743982,0.00218818380743982,0,0,0,0,0.00218818380743982,0,0,0.00218818380743982,0,0,0.00218818380743982,0,0,0,0,0,0,0,0,0,0,0,0
70,485,0,0.0136363636363636,0.0727272727272727,0.00454545454545455,0.00227272727272727,0.0227272727272727,0.0113636363636364,0.0159090909090909,0.436363636363636,0.0454545454545455,0.00454545454545455,0.00454545454545455,0.00227272727272727,0,0,0.0363636363636364,0.0136363636363636,0.00227272727272727,0.113636363636364,0,0.00454545454545455,0,0.0522727272727273,0.00227272727272727,0,0.0227272727272727,0.102272727272727,0,0.00227272727272727,0.00227272727272727,0,0,0.00227272727272727,0,0,0,0.00227272727272727,0,0,0,0.00227272727272727,0.00227272727272727,0,0,0,0,0,0,0,0,0,0
100,869,0,0.0301507537688442,0.198492462311558,0.0050251256281407,0.00251256281407035,0.0201005025125628,0.050251256281407,0.00753768844221105,0.28894472361809,0.0477386934673367,0.0050251256281407,0.00753768844221105,0.0125628140703518,0,0,0.0351758793969849,0.00251256281407035,0,0.158291457286432,0,0.00251256281407035,0.00251256281407035,0.0276381909547739,0.0050251256281407,0,0.0226130653266332,0.0653266331658292,0,0,0,0,0,0,0,0.00251256281407035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1125,0,0.0196078431372549,0.12156862745098,0.00196078431372549,0.00588235294117647,0.0254901960784314,0.0176470588235294,0.00588235294117647,0.3,0.0490196078431373,0,0.00588235294117647,0.00980392156862745,0.00196078431372549,0,0.0509803921568627,0.00588235294117647,0.00588235294117647,0.292156862745098,0.00196078431372549,0.00392156862745098,0.00784313725490196,0.0117647058823529,0.00392156862745098,0.00392156862745098,0.0176470588235294,0.0196078431372549,0,0.00196078431372549,0,0,0,0.00196078431372549,0,0,0.00392156862745098,0,0,0,0.00196078431372549,0,0,0,0,0,0,0,0,0,0,0,0
140,1382,0,0.0147058823529412,0.0680147058823529,0.00183823529411765,0,0.00919117647058824,0.0128676470588235,0.0147058823529412,0.270220588235294,0.0349264705882353,0.00367647058823529,0.00183823529411765,0.0110294117647059,0,0,0.0147058823529412,0.00367647058823529,0.0202205882352941,0.411764705882353,0,0.00367647058823529,0.00183823529411765,0.0128676470588235,0.00183823529411765,0,0.0128676470588235,0.0661764705882353,0,0.00183823529411765,0,0,0,0.00183823529411765,0,0,0,0,0,0,0,0.00183823529411765,0,0.00183823529411765,0,0,0,0,0,0,0,0,0
160,1638,0,0.0347826086956522,0.127536231884058,0.0115942028985507,0.0144927536231884,0.00579710144927536,0.00579710144927536,0,0.536231884057971,0.0376811594202899,0,0,0.00579710144927536,0,0,0.0289855072463768,0.00579710144927536,0.00289855072463768,0.0405797101449275,0,0,0.00289855072463768,0.0144927536231884,0.00869565217391304,0,0.0260869565217391,0.0840579710144927,0,0,0,0,0,0.00289855072463768,0,0,0,0,0,0,0.00289855072463768,0,0,0,0,0,0,0,0,0,0,0,0
180,1894,0,0.027027027027027,0.164864864864865,0.0027027027027027,0.0135135135135135,0.0243243243243243,0.0351351351351351,0.0108108108108108,0.343243243243243,0.0513513513513514,0.0027027027027027,0.00540540540540541,0.0189189189189189,0,0,0.0432432432432432,0.00540540540540541,0.0027027027027027,0.118918918918919,0,0.0027027027027027,0.00540540540540541,0.00540540540540541,0.00540540540540541,0.0027027027027027,0.0108108108108108,0.0864864864864865,0,0.00540540540540541,0,0,0,0.00540540540540541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2150,0,0.0105820105820106,0.132275132275132,0.00529100529100529,0.00529100529100529,0.0185185185185185,0.0343915343915344,0.00529100529100529,0.354497354497354,0.134920634920635,0,0.00264550264550265,0.0158730158730159,0,0,0.0132275132275132,0.00793650793650794,0.00264550264550265,0.148148148148148,0,0,0.00529100529100529,0.00793650793650794,0.0105820105820106,0.00529100529100529,0.0158730158730159,0.0502645502645503,0,0.00264550264550265,0,0.00264550264550265,0,0.00264550264550265,0,0,0.00264550264550265,0,0.00264550264550265,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2278,0,0.0205128205128205,0.182051282051282,0.00512820512820513,0.00512820512820513,0.0230769230769231,0.0435897435897436,0.00256410256410256,0.269230769230769,0.153846153846154,0,0.00769230769230769,0.0333333333333333,0,0,0.041025641025641,0.00769230769230769,0.00512820512820513,0.153846153846154,0,0.00256410256410256,0.00512820512820513,0.00256410256410256,0.00769230769230769,0.00512820512820513,0.0128205128205128,0.00512820512820513,0,0,0,0.00256410256410256,0,0,0,0,0,0,0,0,0,0.00256410256410256,0,0,0,0,0,0,0,0,0,0,0
220,2407,0,0.0417754569190601,0.29242819843342,0.00261096605744125,0.0156657963446475,0.031331592689295,0.0704960835509138,0,0.193211488250653,0.12532637075718,0.010443864229765,0.00261096605744125,0.0182767624020888,0,0,0.0574412532637076,0.010443864229765,0.00522193211488251,0.0417754569190601,0,0,0.00783289817232376,0.00783289817232376,0.00783289817232376,0.00261096605744125,0.00783289817232376,0.0417754569190601,0,0,0,0.00261096605744125,0,0,0,0,0,0.00261096605744125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,2663,0,0.0247252747252747,0.282967032967033,0.00549450549450549,0.00549450549450549,0.0247252747252747,0.115384615384615,0.00549450549450549,0.137362637362637,0.178571428571429,0.00274725274725275,0.00274725274725275,0.0164835164835165,0,0,0.043956043956044,0.00824175824175824,0.00549450549450549,0.0549450549450549,0,0,0.00549450549450549,0.00549450549450549,0.021978021978022,0.00824175824175824,0.00824175824175824,0.0137362637362637,0.00274725274725275,0.00549450549450549,0,0.010989010989011,0,0,0.00274725274725275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
