"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Carya","Castanea","Corylus","Fagus","Poaceae.undiff.","Herbs.undiff.","Liquidambar","Quercus","Rumex","Salix","Tsuga","Ulmus","Alnus","Acer","Fraxinus","Pinus","Cupressaceae","Nyssa","Picea","Platanus","Myrica","Plantago","Rosaceae","Asteraceae.subf..Asteroideae.undiff.","Cerealia","Ostrya.Carpinus","Juglans","Amaranthaceae","Tilia"
1,-17,316,22,1,41,7,1,1,7,14,5,2,134,10,6,7,6,12,9,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-6,296,22,1,33,7,3,0,4,17,4,1,127,4,5,5,8,17,2,4,19,2,1,2,1,1,2,4,0,0,0,0,0,0
9,5,256,19,2,20,11,1,3,8,15,5,0,101,7,5,2,9,10,2,5,24,0,2,2,0,1,0,0,1,1,0,0,0,0
13,16,288,23,0,21,7,1,0,11,19,6,0,127,7,3,4,7,10,5,7,19,0,0,5,1,1,0,1,0,0,3,0,0,0
17,27,300,44,2,38,0,3,0,7,15,6,1,115,8,3,8,3,7,2,5,11,0,2,0,2,6,0,0,0,1,3,3,5,0
21,38,292,60,2,35,6,2,1,8,20,6,0,89,5,1,2,10,4,3,5,19,0,1,3,2,1,0,2,0,0,0,2,3,0
25,49,290,62,1,36,2,7,1,7,29,9,0,72,7,10,4,14,3,2,5,8,1,2,2,1,5,0,0,0,0,0,0,0,0
29,60,288,60,0,32,2,1,3,1,35,15,0,75,4,3,2,15,5,4,6,13,1,0,2,0,1,3,2,0,0,2,1,0,0
33,71,295,53,0,42,4,4,1,5,44,6,1,68,15,2,1,16,3,1,4,10,0,2,1,2,5,2,0,0,0,3,0,0,0
37,82,292,56,0,31,3,3,1,4,46,2,0,83,8,4,1,10,9,0,4,14,1,1,1,0,2,1,3,0,0,1,1,2,0
41,93,297,55,1,35,2,9,2,1,40,11,0,74,13,7,0,10,7,6,1,12,1,2,1,0,2,2,0,0,0,0,0,3,0
45,104,295,58,0,28,2,3,0,2,50,11,0,57,18,6,1,18,11,2,2,13,0,1,0,1,4,2,0,0,0,3,1,1,0
49,115,258,55,0,27,2,2,1,5,33,5,0,64,21,4,2,7,7,2,2,10,0,2,2,0,3,0,0,0,1,0,0,1,0
53,126,301,63,2,33,1,10,2,5,41,2,0,57,26,10,1,3,12,3,3,12,0,0,3,0,4,4,3,0,0,0,0,1,0
57,137,331,70,0,36,6,11,1,2,37,5,1,84,13,9,2,10,8,2,4,12,1,1,4,7,2,1,0,0,1,1,0,0,0
61,148,306,69,0,27,2,7,2,4,46,6,0,62,28,7,2,4,13,2,2,11,0,0,1,1,4,0,2,0,1,1,0,1,1
65,159,349,75,1,32,7,5,0,9,52,5,1,62,38,2,2,5,19,1,2,24,0,1,1,0,1,3,0,0,0,0,0,1,0
69,170,300,38,0,34,3,15,0,2,49,7,0,62,34,5,3,3,16,0,2,14,1,2,3,1,1,1,2,0,0,0,0,1,1
73,181,275,37,1,26,4,5,3,12,43,7,0,62,24,0,1,1,22,1,1,16,0,0,0,0,3,3,1,0,0,2,0,0,0
77,192,307,47,0,19,1,10,6,4,40,4,0,64,44,1,5,2,28,1,1,18,2,1,5,0,2,0,2,0,0,0,0,0,0
81,203,297,32,0,23,4,18,1,4,38,5,0,77,38,0,6,1,18,1,4,19,0,0,2,1,3,0,2,0,0,0,0,0,0
83,209,291,25,0,24,5,10,2,5,44,7,0,69,38,1,8,0,23,1,3,17,1,1,2,0,2,1,0,0,0,1,0,0,1
89,225,337,20,1,42,9,8,1,3,33,4,1,107,34,2,10,2,20,5,2,23,0,0,2,1,3,3,0,0,0,1,0,0,0
93,236,335,10,1,43,6,6,0,5,18,4,0,147,12,1,6,5,28,2,4,24,1,1,3,0,2,0,4,0,0,2,0,0,0
97,247,308,3,0,32,7,4,1,13,3,0,0,164,1,1,10,3,32,0,2,20,0,2,3,0,2,0,0,2,0,3,0,0,0
101,361,317,9,0,32,9,7,1,8,7,1,0,175,1,1,5,3,24,3,5,20,0,0,1,1,2,0,2,0,0,0,0,0,0
105,509,309,0,0,24,12,11,2,5,3,0,0,161,5,0,10,3,35,8,2,15,1,0,4,1,0,0,1,4,0,1,1,0,0
109,657,306,12,1,29,6,2,1,7,10,3,1,158,2,1,11,2,24,8,4,13,1,0,3,0,1,1,4,0,0,0,0,0,1
113,805,305,1,0,28,19,6,1,8,2,0,0,177,2,0,5,5,21,2,2,19,0,0,1,0,1,0,0,1,0,4,0,0,0
117,953,295,1,0,25,14,1,0,12,3,3,1,165,0,0,12,0,23,3,8,16,1,0,2,0,3,0,1,0,0,1,0,0,0
121,1101,300,0,1,26,12,8,1,13,8,3,0,159,0,0,17,2,22,6,5,12,3,0,0,1,0,0,1,0,0,0,0,0,0
125,1249,289,2,0,35,10,5,0,11,5,2,0,156,0,0,10,0,23,5,3,10,1,0,2,0,3,0,4,0,0,2,0,0,0
129,1397,284,0,0,31,9,1,0,15,2,2,0,158,0,0,10,2,30,2,2,13,1,0,1,0,1,0,0,0,0,2,2,0,0
133,1545,301,0,0,29,22,0,1,11,2,2,1,168,0,0,10,4,27,3,1,10,3,0,1,0,1,0,2,0,0,2,1,0,0
137,1693,327,0,0,35,8,1,1,14,7,4,0,181,0,0,17,2,29,8,3,10,2,0,1,2,1,0,0,0,0,1,0,0,0
141,1841,323,0,1,28,16,1,1,12,11,3,0,176,0,0,12,3,27,2,5,19,0,0,2,2,0,0,1,0,0,1,0,0,0
145,1989,307,0,0,25,16,1,0,12,6,2,0,183,0,0,15,3,23,1,2,15,0,0,0,0,1,0,0,0,0,2,0,0,0
149,2137,314,0,0,32,9,4,0,19,5,3,0,184,0,0,12,4,21,1,4,10,0,0,0,1,0,0,0,0,0,4,1,0,0
153,2285,378,1,0,48,19,1,0,14,9,1,2,212,0,0,15,0,26,4,4,15,1,1,1,1,0,0,1,0,0,2,0,0,0
157,2433,311,0,0,20,13,2,0,17,7,2,0,179,0,0,14,5,16,4,5,19,0,0,1,1,1,0,0,0,0,4,0,1,0
161,2581,302,0,0,26,13,2,1,21,2,0,0,172,0,0,12,1,16,4,7,14,1,2,2,1,1,0,2,0,0,2,0,0,0
165,2729,328,1,1,37,5,0,0,15,9,0,0,198,0,0,14,2,15,4,7,11,1,1,0,0,3,0,2,0,0,2,0,0,0
169,2877,312,0,0,32,8,1,0,13,5,3,0,196,0,0,14,2,8,5,3,16,2,1,1,0,0,0,1,0,0,0,1,0,0
173,3025,322,0,0,32,11,1,0,23,14,0,0,189,0,0,9,2,12,2,1,16,1,2,0,2,1,0,1,0,0,3,0,0,0
177,3173,292,1,0,26,10,0,1,18,5,3,1,166,0,0,6,4,17,5,4,18,2,0,1,1,1,0,0,0,0,1,1,0,0
181,3321,324,1,0,27,11,0,1,16,7,2,0,173,0,0,16,2,20,4,7,26,1,2,1,1,1,0,2,0,0,3,0,0,0
189,3617,306,0,0,19,14,1,1,21,5,1,0,189,0,0,8,3,8,4,8,15,5,0,0,2,0,0,0,0,0,1,0,1,0
197,3913,278,0,0,23,22,0,0,0,6,1,0,159,0,0,13,1,14,3,2,24,1,1,2,1,2,0,0,0,0,3,0,0,0
205,4209,298,0,0,13,6,1,0,14,5,3,0,199,0,0,10,2,15,3,2,16,2,2,1,1,1,0,0,0,0,1,1,0,0
213,NA,309,0,0,21,5,0,1,15,8,2,0,173,0,1,11,7,29,6,4,11,1,1,1,3,3,0,3,0,0,3,0,0,0
221,NA,312,0,0,20,8,0,0,16,7,3,1,191,0,0,8,3,19,5,12,12,0,0,0,1,3,0,0,0,0,2,0,1,0
