"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","Cerealia","cf..Oxyria.digyna","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Drosera","Epilobium","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Larix","Liliaceae","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Nuphar","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinaceae","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae.undiff.","Polygonum","Populus.balsamifera.type","Populus.tremuloides.type","Potentilla.palustris.type","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex.type","Salix","Sambucus","Saxifraga.cernua.type","Shepherdia.canadensis","Sphagnum","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.alnifolium","Viburnum.edule","Viburnum.nudum"
10,139,4,0,0,4,0,7,0,0,40,1,3,3,136,1,0,0,0,1,0,2,5,0,0,0,0,5,2,4,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,6,20,2,0,0,0,18,2,3,14,0,0,0,0,7,0,0,6,2,0,0,0,61,0,0,3,0,0,3,7,0,2,0,0,0
20,278,23,0,3,2,2,30,0,0,72,1,1,0,231,0,1,0,0,0,0,3,1,0,0,0,0,5,6,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,65,15,1,0,22,23,0,63,0,0,0,0,5,0,0,28,0,0,0,0,357,0,0,8,0,0,2,33,9,6,0,0,0
30,417,12,0,0,2,0,5,0,0,8,1,1,0,128,0,0,0,0,0,0,3,1,0,0,0,0,1,5,0,0,1,0,1,0,0,0,1,0,0,0,1,0,3,0,0,0,0,26,14,2,0,0,0,23,4,0,5,0,0,0,0,4,0,0,2,0,0,0,0,37,0,0,5,0,0,2,20,0,0,0,0,1
40,556,16,0,0,6,0,11,4,0,0,0,0,0,271,0,2,0,0,0,0,9,3,0,0,0,0,3,12,2,0,1,0,5,0,0,0,1,0,0,0,0,0,2,0,0,0,0,22,36,14,0,0,0,33,19,0,0,0,0,1,0,20,0,0,1,0,0,0,0,5,0,0,26,0,0,5,1,1,0,0,0,0
50,695,23,1,2,7,0,8,0,1,0,0,0,0,195,0,0,0,0,0,0,2,0,0,0,0,0,2,9,2,0,1,0,2,0,0,0,1,0,0,0,0,0,4,0,0,0,1,18,16,11,1,2,0,28,8,0,1,0,0,0,0,13,0,0,0,0,0,0,0,8,0,2,19,0,0,3,2,1,0,0,0,0
75,1042,22,0,2,13,1,7,0,1,0,1,0,0,419,0,1,0,0,0,0,6,0,0,0,0,0,4,21,2,0,1,0,2,0,0,0,3,0,0,0,1,0,1,1,0,0,0,13,31,5,0,2,0,85,6,0,2,0,1,0,0,5,0,1,0,0,1,0,0,24,0,0,77,0,0,2,4,0,0,0,0,0
100,1389,40,0,0,5,0,3,0,1,1,0,1,0,230,0,1,0,0,0,0,5,3,0,0,0,0,1,16,2,0,1,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,1,6,33,8,1,5,1,116,16,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,66,0,0,3,4,0,1,0,1,0
120,1667,16,0,1,8,0,8,0,0,0,1,0,0,314,0,1,0,0,0,0,13,0,0,0,0,0,8,13,3,0,2,0,1,0,0,0,5,0,0,0,3,0,6,0,1,0,3,9,25,4,0,9,0,62,5,0,0,0,0,0,0,20,0,0,0,0,1,0,0,492,0,0,39,0,0,3,1,1,0,0,0,0
140,1945,30,0,0,19,0,13,0,0,0,1,0,0,457,0,1,0,0,0,0,10,0,0,0,0,0,5,61,1,0,2,0,2,0,0,0,1,0,0,3,0,2,5,0,0,0,1,28,24,5,0,1,0,91,12,0,0,0,0,3,0,22,0,1,0,0,0,0,0,0,0,0,73,0,0,3,3,1,0,0,0,0
160,2223,43,0,2,14,0,13,2,0,1,1,0,0,469,0,1,0,0,0,0,4,1,0,0,0,0,28,19,2,4,0,0,4,0,0,0,4,0,0,0,0,0,7,1,2,0,1,16,28,8,1,8,0,108,14,0,1,0,0,2,0,19,0,0,0,0,0,2,0,18,0,2,12,0,0,8,4,3,0,0,0,0
