"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Amaranthaceae.undiff.","Quercus","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Alnus","Ambrosia","Juniperus.Thuja","Fraxinus","Pinus","Poaceae","Acer.saccharum","Ostrya","Cyperaceae","Picea","Platanus","Populus","Acer.saccharinum","Fagus","Acer.rubrum","Plantago","Juglans","Acer.undiff.","Campanulaceae","Larix","Sarcobatus.vermiculatus","Rumex","Carya","Corylus","Elaeagnus","Myrica","Liquidambar","Acer.spicatum","Ephedra","Rosaceae","Ericaceae","Ilex","Xanthium","Acer.negundo"
13,113,290,1,1,64,3,12,1,2,58,2,5,1,7,5,7,2,101,1,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,124,351.5,3,3,80,1,20,0,0,75,1,8,0,3,2,5,1,122.5,2,12,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,134,312.5,1,1,76,3,12,0,1,57,0,2,0,5,6,6,1,120.5,2,11,2,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,145,342.5,1,1,92,1,19,1,0,46,0,5,1,7,1,1,4,129,0,12,8,0,5.5,2,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,156,327,1,3,82,3,20,1,2,51,0,3,0,6,0,5,1,134,1,6,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,167,387.5,0,3,93,1,32,0,1,65,1,4,0,6,3,13,1,140.5,1,15,3,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,178,349,3,7,69,1,34,1,1,45,2,6,0,10,2,6,4,132,0,11,2,0,2,2,4,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,200,326,3,2,83,2,6,0,0,42,2,6,0,4,3,4,2,144,1,7,5,1,5,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,211,301,2,4,68,1,13,0,0,32,0,2,0,9,1,5,1,143,2,3,6,0,5,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,265,210.4,0,5,71,0,11,0,0,25,1,3,0,11,0,0,4,65.4,4,3,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,341,219.5,0,0,52,1,17,0,1,20,0,4,0,4,2,7,0,96.5,1,2,7,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,396,361,2,0,55,1,20,2,1,9,1,4,0,2,1,2,2,240.5,2,5,6,0,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,548,341,0,3,84,0,18,0,1,16,1,5,0,12,1,17,3,159,0,4,6,1,5,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,701,283,0,4,74,2,25,0,0,13,1,5,0,3,0,7,4,121,3,3,7,1,4,0,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
102,1082,272,1,1,46,1,16,0,0,18,0,3,0,0,0,5,1,175,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1115,390.5,0,5,102,0,17,1,0,22,0,3,0,10,3,23,3,174.5,4,6,2,3,0,1,1,2,0,3,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
110,1169,360,1,3,93,0,24,0,0,31,0,7,0,5,1,10,3,167.5,1,3,1,1,4.5,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1224,409,1,1,96,1,22,1,0,24,1,5,0,3,4,25,4,190.5,3,5,2,1,8.5,1,5,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,1278,419,1,2,88,0,18,0,0,23,0,5,0,7,3,45,1,192,1,7,3,7,4,0,3,1,0,4,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
125,1333,391.5,0,4,96,2,16,1,0,25,0,8,0,10,2,23,4,177,0,4,6,1,6.5,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1387,378,2,2,75,0,25,1,0,6,2,2,0,13,2,11,6,204,0,5,8,4,0,1,1,1,2,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
132,1409,343.5,1,3,63,1,26,0,1,16,2,4,0,8,2,8,1,196.5,0,2,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
142,1518,334,1.5,3,87,0,26,0,0,15,1,6,0,7,0,6,1,165.5,1,4,0,3,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,1583,279.5,1.5,0,57,1,8,1,1,12,0,1,0,12,5,14,2,145,1,1,3,2,4,1,0,1,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
150,1605,291.5,1,0,71,0,17,1,1,13,0,5,0,6,1,6,3,147.5,2,8,3,1,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,1643,320.5,1,2,81,1,30,0,0,47,0,7,0,12,2,10,4,102.5,0,7,7,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
168,1776,368.5,0,2,64,1,26,1,1,33,1,6,0,8,0,37,1,156.5,0,9,3,1,4,0,7,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
182,1909,329,3,1,91,0,18,1,1,30,0,4,0,15,4,5,3,138,1,6,4,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,1984,337,3,1,82,1,12,1,0,15,1,4,0,20,3,7,6,161,1,5,4,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
217,2240,350.5,2,0,101,2,21,1,1,36,0,4,0,8,1,5,2,149.5,1,8,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,2269,358.5,0,7,79,1,25,1,0,37,1,5,0,7,0,4,5,161,0,8,3,3,5.5,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
260,2648,302.5,0.5,2,71,0,18,1,1,30,0,1,0,5,0,13,3,145,1,5,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,3342,291,2,1,54,1,16,0,0,16,1,2,0,8,0,17,1,146,5,8,4,2,0,1,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
359,3944,252,1,2,42,0,28,1,0,16,0,5,0,8,2,8,5,110,2,9,7,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
399,4547,301.5,0,4,24,0,21,2,2,6,0,3,0,5,1,8,1,195.5,4,5,6,2,5,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
430,5014,423.5,8,3,47,1,45,1,0,12,0,3,0,10,0,9,4,247,2,10,8,4,3.5,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
440,5165,306,2,1,24,0,33,0,0,10,0,5,0,7,0,9,8,193,0,4,2,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
450,5316,334.5,4.5,4,52,0,33,1,1,9,1,4,0,10,2,15,3,179,0,5,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0
455,5425,682.5,4,9,113,2,76,1,0,25,2,8,0,16,6,16,9,323,10,12,16,6,2.5,0,7,0,2,10,0,0,0,0,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0
460,5534,642,1,7,86,4,54,2,0,75,1,10,0,17,5,13,15,311,7,6,13,2,2,1,1,0,0,4,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
470,5752,259,0,1,23,3,21,1,0,28,0,5,0,3,0,11,3,150,3,2,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,5971,555.5,0,5,68,3,49,0,0,33,2,12,0,25,6,13,6,294.5,1,8,16,5,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0
500,6408,568,0,2,93,3,66,2,2,3,1,13,0,16,7,11,13,313.5,3,6,3,0,0.5,1,3,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
519,6713,374.5,1,1,38,4,32,1,0,0,0,6,0,4,4,0,8,245.5,3,1,14,2,0,0,6,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
549,7195,377.5,0,2,36,4,38,0,2,0,1,7,0,8,3,2,8,235.5,7,6,8,3,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579,7708,496.5,1,3,59,3,18,1,0,0,2,14,0,4,2,9,10,345.5,3,3,6,2,0,0,4,1,0,1,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
615,8567,395,1,4,75,6,14,0,0,0,1,12,0,10,5,10,8,231.5,2,0,3,1,2.5,2,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
630,8926,533.5,0,7,69,4,5,3,0,0,0,12,0,19,9,4,4,377,2,2,7,2,2.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
650,9296,305.5,0.5,5,33,2,10,1,1,0,2,9,0,2,4,5,0,199,5,2,6,0,15,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
667,9442,300,6.5,7,46,1,10,0,0,2,1,10,0,17,3,11,3,162.5,4,0,2,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0
670,9468,306,3,3,42,4,16,0,0,0,3,10,0,9,5,13,2,167.5,4,0,5,0,12.5,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0
672,9485,256.5,2,5,42,2,4,2,1,0,3,2,0,12,5,6,3,152.5,1,0,5,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
675,9511,289.5,2,3,41,3,11,1,0,0,1,14,0,8,3,10,1,169.5,0,1,5,1,9,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
680,9554,291.5,2.5,6,40,3,13,4,0,0,3,9,0,7,3,7,3,163,0,0,6,1,14,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
682,9571,317.5,3.5,2,46,3,14,4,0,0,3,4,0,11,6,15,1,185.5,1,0,3,1,6.5,0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
685,9597,260,4.5,3,31,2,8,2,0,1,0,5,0,3,4,10,1,152.5,3,0,2,1,14,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2,0
712,9969,361.5,1.5,5,52,1,13,3,0,0,0,10,0,2,2,7,5,232,3,1,7,0,14,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
732,10453,293.5,1,5,25,3,12,0,0,2,1,16,0,1,0,5,4,174,4,0,10,2,20.5,0,2,0,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0
738,10598,309,1,7,51,1,13,1,0,1,0,15,0,2,1,12,1,159.5,3,1,9,5,21.5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
742,10694,356.5,0.5,5,41,3,21,2,0,0,0,14,0,2,2,3,3,227,1,1,6,0,11,4,5,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0
743,10719,361.5,2,4,26,1,17,3,0,1,0,10,0,0,1,10,4,221.5,5,0,6,6,32,1,4,1,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
747,10815,245.5,3,1,18,1,11,4,0,0,1,6,0,4,1,1,3,156,4,0,8,1,18.5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
