"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae.undiff.","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva.annua.type","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Stellaria","Thalictrum","Urtica","Zea"
1,-38,587,1,9,6,4,7,0,7,111,6,8,0,1,0,0,4,0,52,5,0,2,1,1,0,1,1,0,8,0,3,0,15,30,60,2,0,141,0,0,0,0,0,53,4,1,9,0,1,2,0,0,3,3,0,0,0,0,0,14,0,0,0,7,3,0,1,0,0
3,-29,611,0,11,1,1,4,0,8,154,8,17,0,1,0,1,7,1,54,11,3,0,2,1,0,0,1,0,8,1,1,2,10,23,46,2,0,144,0,2,0,0,1,39,3,0,16,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,3,10,0,0,0,0
5,-19,613,1,8,8,3,5,0,2,168,5,22,0,2,0,1,5,2,50,8,0,1,0,0,0,1,0,0,24,0,4,3,5,22,55,0,0,107,0,1,0,0,0,42,3,0,21,1,1,3,0,0,0,1,0,0,0,0,0,21,0,0,0,2,5,0,0,0,0
7,-9,607,0,8,11,1,3,0,2,172,6,37,0,0,0,0,3,0,52,8,0,4,1,1,0,1,0,0,18,0,1,4,8,21,52,0,0,79,0,1,0,0,0,41,12,0,24,1,1,1,0,0,0,0,0,0,0,1,1,22,0,0,0,4,4,0,0,0,1
9,1,604,1,12,11,2,10,0,3,174,4,35,0,0,0,0,7,1,37,9,2,2,2,0,0,1,0,0,22,0,1,8,4,19,46,1,0,90,1,1,0,0,0,32,2,1,18,0,1,2,0,0,3,1,0,0,0,0,3,18,0,0,0,2,14,0,0,0,1
11,10,630,0,8,6,1,8,0,4,155,10,25,0,0,0,1,6,0,72,9,0,0,0,1,0,0,0,0,22,0,3,3,4,21,60,5,0,77,0,0,0,0,2,40,6,0,37,1,0,0,0,0,5,2,0,0,0,0,0,24,1,0,0,0,11,0,0,0,0
13,20,645,0,5,6,2,12,0,2,145,3,33,0,1,0,0,7,0,65,6,1,2,1,1,1,0,0,0,13,1,2,10,6,18,56,0,0,105,0,0,0,0,0,49,3,0,22,0,0,1,0,0,0,3,0,0,0,0,0,43,0,0,0,1,18,0,1,0,0
15,30,628,0,5,7,2,10,0,4,150,1,33,0,0,0,2,4,0,65,4,1,4,2,2,0,0,0,0,9,0,1,19,7,19,53,0,0,67,0,0,0,0,0,52,1,0,31,0,0,1,0,0,0,8,0,0,0,0,1,40,0,0,0,1,22,0,0,0,0
17,40,617,0,3,12,1,4,0,2,150,3,34,0,0,0,1,1,0,58,5,2,2,1,0,0,0,0,0,13,0,3,5,5,26,55,0,0,92,0,0,0,0,0,53,5,0,24,0,0,1,0,0,1,4,0,0,0,0,0,39,0,0,0,1,11,0,0,0,0
19,50,618,0,4,7,4,10,0,1,151,2,55,0,0,0,0,2,1,58,8,3,5,0,1,0,0,0,0,24,1,3,7,5,16,48,0,0,68,0,0,0,0,1,45,5,0,17,0,0,0,0,0,0,5,0,0,0,0,0,48,0,0,0,0,13,0,0,0,0
