"sample.depths","sample.ages","Artemisia","Betula","Corylus","Cupressaceae","Cyperaceae","Larix","Picea","Quercus","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Alnus","Ambrosia","Fraxinus","Pinus","Populus","Amaranthaceae","Poaceae","Ericaceae","Asteraceae.subf..Cichorioideae","Ulmus","Ephedra","Ranunculaceae.undiff.","Plantago","Rosaceae","Carpinus","Shepherdia.argentea","Myrica","Shepherdia.canadensis","Juglans","Abies","Rumex","Symphoricarpos","Carya","Polygonum"
0,-18,0.0695067264573991,0.253363228699552,0.0179372197309417,0.00224215246636771,0.0381165919282511,0.00224215246636771,0.181614349775785,0.00672645739910314,0.031390134529148,0.00224215246636771,0.00672645739910314,0.116591928251121,0.00896860986547085,0.00224215246636771,0.18609865470852,0.0112107623318386,0.0179372197309417,0.0448430493273543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,197,0.0442748091603053,0.274809160305344,0.0106870229007634,0,0.0213740458015267,0.00381679389312977,0.198473282442748,0.0198473282442748,0.0198473282442748,0.00152671755725191,0.00687022900763359,0.120610687022901,0.0083969465648855,0.00152671755725191,0.225190839694656,0.00152671755725191,0.0145038167938931,0.0221374045801527,0.000763358778625954,0.000763358778625954,0.00229007633587786,0.000763358778625954,0,0,0,0,0,0,0,0,0,0,0,0,0
10,411,0.0461876832844575,0.255865102639296,0.00659824046920821,0.000733137829912023,0.0293255131964809,0.00366568914956012,0.208211143695015,0.0175953079178886,0.0249266862170088,0.000733137829912023,0.0109970674486804,0.120234604105572,0.00879765395894428,0.00293255131964809,0.214076246334311,0.00439882697947214,0.0124633431085044,0.0249266862170088,0.00219941348973607,0,0.000733137829912023,0,0.000733137829912023,0.000733137829912023,0.00219941348973607,0.000733137829912023,0,0,0,0,0,0,0,0,0
20,769,0.0535987748851455,0.273353751914242,0.0099540581929556,0.000765696784073507,0.0275650842266462,0.00612557427258806,0.186064318529862,0.0122511485451761,0.0191424196018377,0,0.0099540581929556,0.122511485451761,0.0130168453292496,0.000765696784073507,0.196784073506891,0.00535987748851455,0.0099540581929556,0.0413476263399694,0.00153139356814701,0,0.00612557427258806,0,0,0.000765696784073507,0.00153139356814701,0,0.000765696784073507,0.000765696784073507,0,0,0,0,0,0,0
25,842,0.0597572362278245,0.287581699346405,0.0158730158730159,0.000933706816059757,0.0242763772175537,0.00280112044817927,0.19327731092437,0.0233426704014939,0.0112044817927171,0.00186741363211951,0.00280112044817927,0.127917833800187,0.00746965452847806,0.00560224089635854,0.19047619047619,0.0065359477124183,0.0140056022408964,0.0177404295051354,0.00186741363211951,0,0,0,0,0,0.000933706816059757,0.00280112044817927,0,0,0.000933706816059757,0,0,0,0,0,0
30,914,0.044862518089725,0.280752532561505,0.0115774240231548,0.00144717800289436,0.0390738060781476,0.00289435600578871,0.170767004341534,0.0173661360347323,0.0231548480463097,0.00434153400868307,0.00289435600578871,0.125904486251809,0.0115774240231548,0,0.185238784370478,0.00434153400868307,0.0101302460202605,0.0564399421128799,0,0,0,0,0,0,0.00578871201157742,0.00144717800289436,0,0,0,0,0,0,0,0,0
35,987,0.0638641875505255,0.296685529506871,0.0105092966855295,0,0.0234438156831043,0.00242522231204527,0.172190784155214,0.0307194826192401,0.0218270008084074,0.00242522231204527,0.0097008892481811,0.134195634599838,0.00485044462409054,0.00161681487469685,0.184316895715441,0.00242522231204527,0.00323362974939369,0.0258690379951496,0.00161681487469685,0,0.00404203718674212,0,0,0,0.00242522231204527,0.000808407437348424,0,0.000808407437348424,0,0,0,0,0,0,0
40,1059,0.0514933058702369,0.312049433573635,0.0144181256436663,0,0.0308959835221421,0.00411946446961895,0.181256436663234,0.0298661174047374,0.0226570545829042,0,0.00720906282183316,0.124613800205973,0.00514933058702369,0.00102986611740474,0.162718846549949,0.00411946446961895,0.0082389289392379,0.0329557157569516,0,0,0.00308959835221421,0,0.00102986611740474,0,0.00205973223480947,0.00102986611740474,0,0,0,0,0,0,0,0,0
45,1146,0.046186895810956,0.301825993555317,0.0107411385606874,0,0.0247046186895811,0.00537056928034372,0.168635875402793,0.0182599355531686,0.0225563909774436,0.00322234156820623,0.0107411385606874,0.151450053705693,0.00859291084854995,0.00214822771213749,0.177228786251343,0.00322234156820623,0.0107411385606874,0.0247046186895811,0.00107411385606874,0,0.00537056928034372,0,0,0.00214822771213749,0,0,0,0,0,0.00107411385606874,0,0,0,0,0
50,1248,0.0615901455767077,0.325867861142217,0.0145576707726764,0,0.0235162374020157,0.00335946248600224,0.175811870100784,0.0291153415453527,0.0279955207166853,0.00223964165733483,0.00671892497200448,0.108622620380739,0.00559910414333707,0.00223964165733483,0.163493840985442,0.00335946248600224,0.0089585666293393,0.0291153415453527,0.00111982082866741,0,0.00111982082866741,0,0,0,0.00335946248600224,0.00111982082866741,0,0.00111982082866741,0,0,0,0,0,0,0
