"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Cyperaceae","Ericaceae","Larix","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Asteraceae.subf..Asteroideae.undiff.","Juniperus.type","Poaceae","Abies.balsamea","Myrica.gale","Pinus.banksiana.type","Rubus.chamaemorus","Picea.undiff.","Quercus","Rosaceae.undiff.","Corylus.cornuta","Pinus.strobus","Potentilla.palustris.type","Juniperus.communis.Thuja.occidentalis.type","Salix.undiff.","Juglans.cinerea","Ostrya.Carpinus","Ulmus","Amaranthaceae","Tsuga.canadensis","Ambrosia.type","Fagus","Fraxinus.nigra.type","Taxus","Lamiaceae","Onagraceae","Acer.saccharum","Acer.spicatum","Fabaceae","Caryophyllaceae","Nemopanthus.mucronatus","Ranunculaceae","cf..Oxyria.digyna","Rumex.type","Juglans.nigra","Populus.balsamifera.type","Acer.saccharinum","Salix.herbacea.type","Salix.vestita.type","Tilia"
0,-1,434,8,93,4,59,16,13,1,1,152,8,1,4,3,8,2,3,22,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,473,501,5,110,1,66,14,10,2,2,174,27,0,1,5,8,0,4,18,0,39,1,1,2,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,946,453,11,126,2,63,6,5,2,0,146,6,0,0,6,8,0,10,13,0,30,2,1,2,3,0,4,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1419,788,4,170,2,64,19,3,4,0,364,18,2,2,8,6,0,1,55,0,37,0,0,0,17,0,1,2,0,0,2,0,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1892,653,12,223,2,83,9,6,1,2,189,4,0,2,5,17,2,5,27,0,43,3,0,0,1,0,2,6,0,0,2,2,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2365,586,8,154,2,58,8,6,4,2,248,7,1,1,3,1,0,4,23,0,41,2,1,0,4,0,3,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,2838,539,4,160,5,96,14,7,1,2,146,4,2,1,9,1,0,7,27,0,39,1,0,2,4,0,1,0,0,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3311,624,9,185,4,74,14,5,10,2,234,10,0,2,1,3,0,9,18,0,24,1,0,0,11,0,3,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80,3784,475,0,202,4,86,13,5,0,0,102,2,1,1,0,3,0,12,7,0,31,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
90,4258,533,4,136,1,91,11,1,1,0,224,0,1,2,7,5,0,1,20,0,20,0,0,1,2,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,4731,552,5,206,0,71,3,1,3,1,179,6,1,2,3,9,0,8,21,0,27,0,0,0,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,5204,703,9,128,3,114,8,0,2,0,369,10,0,0,1,5,0,2,12,0,27,0,0,0,6,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
120,5677,509,2,233,1,95,4,1,0,0,126,1,2,2,4,6,0,3,7,0,10,1,1,0,0,0,0,2,1,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,6150,630,1,343,0,46,8,1,0,0,190,1,0,0,2,3,0,4,11,0,10,2,0,0,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
140,NA,396,0,75,3,105,17,1,1,0,67,2,5,0,36,12,0,5,13,0,7,4,0,0,0,0,0,3,0,3,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0
150,NA,489,8,46,17,59,43,3,2,0,76,23,1,13,2,15,1,3,106,0,23,6,3,0,14,0,0,7,0,4,3,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0
157,NA,461,0,55,34,68,11,0,0,0,48,9,1,21,30,8,0,5,108,0,3,9,6,0,0,0,0,5,0,2,4,15,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,1
