"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.undiff.","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Betula","Brassicaceae","Caprifoliaceae","Caryophyllaceae","Cornus","Cyperaceae","Diphasiastrum.complanatum.type","Dryas.type","Dryopteris.type","Epilobium","Equisetum","Ericaceae.undiff.","Fabaceae","Fraxinus","Huperzia.selago","Indeterminable","Isoëtes","Larix","Ledum.Chamaedaphne.calyculata","Lycopodiaceae.undiff.","Lycopodium.annotinum","Myrica","Myriophyllum","Nuphar","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Poaceae","Polypodiaceae","Populus","Potamogetonaceae","Quercus","Ranunculus","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia","Sphagnum","Thalictrum","Tsuga","Typha.Sparganium","Ulmus","Unknown","Vaccinium","Woodsia"
840,26,5,0,0,0,1,22,0,1,0,1,0,0,18,0,0,0,0,6,0,0,1,0,0,1,0,0,0,1,87,0,0,0,1,1,0,0,208,7,0,1,2,0,3,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
860,733,7,0,0,0,1,10,0,1,0,1,0,0,20,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,256,4,3,3,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
870,1087,2,0,0,0,0,15,0,0,0,0,0,0,25,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,70,1,0,0,1,0,0,0,253,2,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
880,1440,16,0,0,0,1,0,0,1,0,1,0,0,30,2,0,0,0,6,0,0,2,0,0,0,0,0,0,0,102,0,0,0,2,0,0,0,244,0,1,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
890,1794,3,0,0,0,0,12,0,0,0,0,0,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,56,1,0,0,1,0,0,0,261,1,0,0,0,0,0,0,1,0,1,1,0,0,4,0,0,0,0,0,0,0
900,2039,11,0,0,0,2,12,0,0,0,0,0,0,35,0,0,0,0,10,0,0,3,0,0,0,0,0,0,2,94,0,0,1,0,0,0,0,258,1,0,1,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0
910,2284,12,0,0,0,0,8,0,0,0,0,0,0,22,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,45,5,0,0,1,0,0,0,263,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
920,2529,16,0,0,0,2,17,0,0,1,0,0,0,37,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,83,0,0,0,5,0,0,1,314,2,0,0,1,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0
940,3020,4,0,0,0,1,7,1,0,1,0,0,0,25,0,0,0,0,6,0,0,2,0,0,0,0,0,0,3,59,0,0,1,2,0,0,0,264,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0
950,3265,8,0,1,0,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,3,0,0,0,0,0,1,296,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
960,3510,9,0,0,0,0,18,0,0,0,0,0,0,35,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,5,0,0,1,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
980,3923,11,0,0,0,0,10,0,0,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,43,0,0,1,0,0,0,1,226,0,0,4,1,0,1,2,1,0,0,1,0,0,4,0,0,1,0,1,0,0
990,4092,12,0,0,0,0,14,0,0,0,0,0,0,28,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,27,0,0,0,0,0,0,0,275,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1000,4260,17,0,0,0,0,17,0,0,0,0,0,0,40,0,0,0,0,4,0,0,3,0,0,1,0,0,0,0,52,0,0,0,0,1,0,0,297,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1020,4597,15,0,0,0,0,5,0,0,2,0,0,0,22,0,0,0,0,5,0,0,6,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,252,3,0,3,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0
1030,4765,15,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,351,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1040,4934,6,0,0,0,0,21,0,0,0,0,0,0,24,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,298,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,5102,28,0,0,0,1,7,0,0,0,0,0,0,42,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,30,2,0,0,1,0,0,0,304,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1060,5271,22,0,0,0,1,2,0,0,0,0,0,0,57,0,0,1,0,2,0,0,1,0,0,0,0,1,0,1,30,0,0,0,4,0,0,0,216,2,1,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1070,5439,15,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,15,3,0,0,3,0,0,0,324,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1080,5602,14,0,0,0,0,15,0,0,0,0,0,0,35,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,41,0,0,0,0,1,0,0,336,1,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
1090,5764,16,0,0,0,0,8,0,0,0,0,0,0,36,0,0,0,0,2,0,0,2,0,0,0,0,1,0,1,14,0,0,1,14,0,0,0,380,0,0,1,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1100,5927,25,0,0,0,1,28,0,0,0,0,0,0,67,0,0,0,0,8,0,0,1,0,0,0,0,1,0,0,53,0,0,0,4,0,1,0,178,3,5,3,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0
1115,6171,48,0,0,0,1,16,0,0,2,0,0,0,76,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,35,1,1,0,3,0,0,0,177,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0
1120,6252,57,0,0,0,0,37,0,0,0,0,0,0,96,2,0,0,0,5,1,0,3,0,0,1,0,0,0,0,32,0,0,0,7,0,1,0,87,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0
1125,6333,53,1,0,0,0,28,1,3,2,0,0,0,94,0,0,0,0,6,1,0,4,0,0,0,0,2,1,0,28,1,0,0,8,0,0,0,98,0,0,4,1,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0
1130,6415,210,0,0,0,0,27,0,0,0,0,0,0,99,0,0,0,0,9,2,0,5,0,1,0,0,0,0,0,26,0,0,1,32,0,0,0,369,0,0,8,2,0,0,0,5,0,0,3,0,0,1,0,0,0,0,0,0,0
1135,6496,68,0,0,0,0,34,0,1,1,1,0,0,82,0,0,0,0,9,1,0,5,0,0,0,0,0,0,0,57,0,0,0,16,0,0,0,86,0,0,13,2,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0
1140,6577,71,0,0,0,0,31,0,1,0,0,0,0,57,0,0,0,0,14,0,0,3,0,0,0,0,1,0,2,61,0,0,2,12,0,1,0,89,2,9,3,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
1145,6659,114,0,0,0,0,28,1,1,0,0,0,0,56,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,36,0,0,0,15,0,0,0,104,0,0,6,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0
1150,6740,173,0,0,0,0,45,0,0,1,0,0,0,63,0,0,1,0,2,0,0,7,0,0,0,0,3,0,0,61,0,0,1,39,0,0,0,243,0,0,11,2,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0
