"sample.depths","sample.ages","Abies","Acer.negundo","Acer.nigrum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.undiff.","Achillea.type","Adiantum","Alnus.incana.type","Amaranthaceae.undiff.","Ambrosia.type","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Bidens.type","Botrychium","Brasenia.schreberi","Brassicaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cheilanthes","Circaea","Cirsium.Carduus.type","Corylus","Cupressaceae","Cyperaceae","Cystopteris","Dalea","Dryopteris.type","Ephedra","Epilobium","Equisetum","Eupatorium.type","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Gaura","Indeterminable","Iva.annua.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Lamiaceae.undiff.","Larix","Liquidambar","Ludwigia","Lycopodiaceae","Lyonia","Mentha.type","Morus","Myrica.type","Nuphar","Nyssa","Onagraceae.undiff.","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum.aviculare.type","Polygonum.hydropiper.type","Polygonum.viviparum.type","Populus","Potamogeton","Potentilla","Primula","Proserpinaca","Prunella.type","Prunus","Pteridium","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rubus","Rumex","Sagittaria","Salix","Sambucus","Sanguinaria.canadensis","Sanguisorba.canadensis","Sarcobatus.vermiculatus","Saxifragaceae","Shepherdia.canadensis","Smilax","Sparganium.type","Spiraea.type","Stuckenia","Thalictrum","Tilia","Toxicodendron","Typha.latifolia","Ulmus","Unknown..monolete.","Unknown..trilete.","Urtica.type","Viburnum","Xanthium"
0,-11,0,0,0,0,0,1,1,0,0,1,0,14,0,0,3,0,0,0,0,5,3,0,0,20,0,0,0,18,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0,6,0,0,0,9,3,0,0,2,0,0,3,0,2,0,0,0,0,0,50,0,0,0,0,71.5,18,0,0,27,0,1,0,5,3,0,0,0,0,0,0,199,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0
20,1475,0,0,0,1,0,1,2,0,0,0,1,14,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,2,0,19,26,0,0,15,0,1,0,0,2,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
30,2221,0,0,0,0,0,3,2,0,0,2,2,15,0,0,4,0,0,0,1,3,0,0,0,20,0,0,0,24,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,2,1,0,5,1,1,1,1,0,0,4,0,0,0,2,2,0,0,50,0,0,1,0,28,37.5,0,0,26,0,0,0,1,1,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0
35,2595,0,0,0,0,0,0,0,0,0,0,1,14,0,0,2,0,1,0,1,3,0,0,0,0,0,0,0,28,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,1,1,0,6,2,0,1,0,0,0,7,0,0,1,0,0,0,0,57,0,0,19,0,27,39,0,0,19,0,2,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0
40,2968,0,0,0,0,0,1,0,0,0,1,0,11,0,0,2,2,0,2,2,0,0,0,0,15,0,0,1,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,3,1,0,0,0,1,0,4,0,0,0,0,0,0,0,36,0,0,1,0,27,29,0,0,22,0,0,0,1,0,0,0,0,0,0,0,201,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,6,0,0,0,0,1,0,0,0,0,0
45,3341,0,1,0,1,0,0,0,0,0,1,1,12,0,0,1,2,0,0,1,4,0,0,0,19,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,6,1,0,1,1,1,0,2,0,0,0,0,0,0,0,35,0,0,1,0,30,38.5,0,0,23,0,1,0,0,0,0,0,3,0,0,0,219,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
50,3713,0,0,0,0,0,4,1,0,0,0,0,11,0,0,1,1,0,0,0,5,0,0,0,16,0,0,1,63,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,1,6,0,3,0,2,0,0,0,0,0,1,0,0,2,0,12,14,0,0,69,0,0,0,0,0,0,0,2,2,0,0,229,0,0,0,0,0,8,0,0,0,0,0,0,1,17,0,5,2,0,0,0,7,0,0,0,0,0
55,4083,0,0,0,1,0,0,1,0,0,1,1,7,0,0,5,2,0,0,0,10,0,0,0,12,0,0,0,147,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,11,0,0,0,6,1,0,1,1,4,0,3,0,0,0,2,0,0,0,5,0,0,1,0,16,14.5,0,0,70,0,2,0,2,0,0,0,3,5,0,0,300,0,0,0,0,0,9,0,1,1,0,0,0,0,32,0,0,1,0,0,0,5,0,0,0,2,0
61,4525,0,0,0,0,0,0,1,0,0,0,0,10,1,0,0,0,0,0,2,4,0,0,0,20,0,0,0,89,0,0,0,0,1,16,0,0,0,0,0,0,0,1,0,5,2,0,0,6,0,0,0,0,8,0,2,0,0,0,0,0,0,0,4,0,0,1,0,17,21.5,0,0,65,0,4,0,1,0,0,0,2,5,0,0,255,0,0,0,0,0,3,0,0,0,0,0,0,0,24,0,0,6,0,0,0,9,0,0,0,0,0
65,4818,0,0,0,1,0,0,1,0,0,0,0,12,0,0,3,2,0,0,1,4,0,0,0,21,0,0,0,23,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,6,3,0,0,7,0,0,0,0,1,0,4,0,1,0,0,0,0,0,5,0,0,0,0,4,4,0,0,82,0,3,0,1,0,0,0,1,0,0,0,276,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,4,0,0,0,0,0
