"sample.depths","sample.ages","Picea.mariana.type","Picea.glauca.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Abies.balsamea","Acer.saccharum","Tsuga.canadensis","Quercus","Ulmus","Fraxinus.pennsylvanica.type","Larix.laricina","Juniperus.communis.Thuja.occidentalis.type","Betula","Salix","Alnus.viridis.subsp..crispa.type","Alnus.incana.type","Ericaceae","Lonicera.canadensis.type","Cyperaceae","Poaceae","Artemisia","Ambrosia.type","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Rosaceae.undiff.","Caryophyllaceae","Ranunculaceae","Onagraceae","Potentilla.palustris.type","Unknown","Indeterminable","Callitriche","Huperzia.selago.type","Lycopodium.annotinum","Lycopodium.clavatum","Isoëtes","Spore..monolete.","Spore..trilete.","Sphagnum","Pediastrum.duplex","Pediastrum.boryanum.var..integrum","Pediastrum.boryanum.subsp..longicorne","Sample.volume..ml.","Eucalyptus.spike..number.counted.","Eucalyptus.suspension..volume.added..ml.","Eucalyptus.suspension..concentration..grains.ml."
0,-45,51,25,39,3,24,17,4,0,1,2,0,0,2,0,19,11,7,1,81,0,16,1,0,3,1,1,3,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,0,0,1,698,0,198100
5,115,4,0,1,0,0,0,0,0,0,0,0,0,0,0,568,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,198100
10,275,111,0,21,23,0,14,1,0,0,0,0,0,0,0,28,5,12,0,0,0,75,7,0,0,0,0,1,11,0,1,0,0,0,0,0,0,1,0,35,17,3,0,0,0,1,538,0,198100
20,594,95,0,13,4,0,2,0,0,0,1,0,0,0,1,27,2,7,0,1,0,135,3,4,1,0,1,1,0,1,0,13,0,1,0,0,0,0,0,0,0,13,0,0,0,1,452,0,198100
30,914,9,0,3,0,0,0,0,0,0,0,0,0,0,0,36,5,14,1,0,0,203,2,0,0,1,0,16,0,0,0,29,0,0,1,0,0,1,0,0,1,1,0,0,0,1,392,0,198100
40,1352,134,0,26,14,0,5,0,0,0,0,0,0,0,2,19,9,10,1,2,0,86,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,3,0,0,0,1,656,0,198100
50,1791,129,0,10,7,0,0,0,0,0,0,0,0,0,0,40,8,11,2,1,0,155,5,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,235,0,198100
60,2230,119,0,28,2,0,1,0,0,0,0,0,0,0,0,23,11,1,14,1,1,93,5,1,0,0,0,2,0,0,0,3,0,0,0,0,0,2,0,4,19,3,0,0,0,1,410,0,198100
70,2400,26,0,1,6,0,1,0,0,0,0,0,0,0,0,16,1,14,1,0,0,326,0,0,0,1,0,0,0,1,0,39,0,0,0,0,0,2,0,2,0,3,0,0,0,1,152,0,198100
80,2571,189,0,41,3,3,4,0,0,0,0,1,1,0,0,20,1,19,1,4,0,25,2,4,2,0,0,9,0,0,0,7,0,0,0,0,0,2,0,1,8,2,0,0,0,1,1846,0,198100
90,2742,198,0,28,16,2,1,0,0,0,0,0,0,0,0,13,1,20,1,1,0,17,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,1,464,0,198100
100,2912,94,0,15,6,0,1,0,0,0,0,0,0,0,0,9,0,13,2,0,0,169,2,0,2,0,0,1,0,0,0,3,0,0,0,0,0,1,0,3,8,1,0,6,5,1,417,0,198100
110,3050,206,0,9,2,0,0,0,0,0,0,0,0,1,1,27,4,18,1,1,0,150,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,4,1,195,0,198100
120,3188,128,0,26,6,0,2,0,0,0,0,0,0,0,0,21,7,20,2,0,0,98,5,3,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,3,1,2,0,12,16,1,334,0,198100
130,3327,208,0,8,9,4,0,0,0,0,0,0,0,0,1,43,3,48,0,3,0,11,4,1,1,2,2,0,0,0,0,5,0,1,1,0,2,0,6,0,0,2,0,20,12,1,425,0,198100
140,3465,119,0,23,2,0,0,0,0,0,1,0,0,0,0,24,1,31,3,1,0,97,2,1,1,1,2,0,0,1,1,3,0,1,0,0,0,0,0,1,1,5,0,11,10,1,313,0,198100
150,3603,92,0,5,5,3,0,0,0,0,0,0,0,1,0,58,4,38,1,2,0,116,5,5,2,2,0,0,0,1,0,4,1,0,0,0,3,0,2,0,0,6,0,13,29,1,402,0,198100
