"sample.depths","sample.ages","Abies","Acer.negundo","Acer.nigrum","Acer.undiff.","Alisma","Alnus","Alternanthera","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Araceae","Artemisia","Asteraceae.undiff.","Avena.type","Betula","Boraginaceae","Brassicaceae","Caltha.type","Campanula","Caprifoliaceae.undiff.","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cerealia.undiff.","Cornus","Corylus","Cuscuta","Cyperaceae","Dalea","Ephedra.trifurca.type","Ephedra.viridis.type","Epilobium","Equisetum","Euphorbia.subg..Chamaesyce.type","Fabaceae.undiff.","Filicopsida.undiff.","Filipendula.rubra","Fraxinus","Gaura","Geum.type","Humulus.Cannabis.sativa","Impatiens","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans","Juniperus.type","Lamiaceae.undiff.","Larix","Liliaceae.undiff.","Lilium","Lonicera","Lythrum","Mentha.type","Nymphaea","Ostrya.Carpinus","Parthenocissus","Pedicularis","Phlox","Picea","Pinaceae.undiff.","Pinus","Plantago","Platanus","Poaceae.undiff.","Polemonium","Polygonella","Polygonum.persicaria.type","Populus","Potamogetonaceae","Potentilla.type","Primula","Pteridium","Quercus","Ranunculus.type","Rhamnus","Rhus","Rosaceae.undiff.","Rubiaceae.undiff.","Rumex","Sagittaria","Salix","Sanguisorba.canadensis","Sarcobatus.vermiculatus","Scrophulariaceae.undiff.","Shepherdia.argentea","Solanum","Sparganium.type","Stachys.type","Thalictrum","Tidestromia","Tilia","Trifolium.type","Typha.latifolia.type","Ulmus","Unknown","Unknown..trilete.","Urtica.type","Valeriana","Verbena","Vitis","Xanthium","Zea.mays"
23,58,0,1,0,0,0,0,0,60,136,0,2,0,3,8,0,0,0,7,0,0,0,1,0,0,2,0,0,0,0,0,148,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,7,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,31,0,0,0,4,0,0,0,0,26,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
28,70,0,1,1,0,0,1,0,68,255,0,0,0,1,15,2,1,0,3,0,0,0,2,0,0,1,1,1,0,1,0,213,0,1,0,0,0,1,0,0,0,1,0,0,2,0,30,22,1,7,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,6,1,1,56,0,0,0,0,0,0,0,0,28,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,2,0,1,1,3,1
33,83,0,2,0,0,0,0,0,45,138,0,0,0,2,8,0,0,0,10,0,0,1,1,0,0,0,0,1,1,0,0,136,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,29,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1
38,95,0,3,0,1,0,0,0,103,112,1,0,0,1,60,0,0,0,16,0,0,0,0,0,0,0,0,2,0,0,0,602,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31,6,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,34,0,0,0,0,0,0,0,0,10,0,0,1,1,0,1,0,7,0,0,0,0,0,0,0,0,0,1,1,2,9,0,0,5,0,0,0,0,0
63,493,0,2,3,1,0,0,0,28,49,0,7,0,0,37,0,0,0,15,0,0,0,9,0,0,0,0,0,0,1,0,251,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22,1,0,24,0,0,0,0,1,0,0,0,23,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,4,7,4,0,2,0,0,0,0,0
83,834,0,4,0,0,0,0,0,2,43,1,5,0,7,32,0,0,0,3,0,0,0,6,0,0,0,1,1,0,1,0,289,0,0,0,0,0,0,0,1,0,6,0,0,0,0,10,1,1,9,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,18,0,11,23,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0,1,0,0,1,1,0
103,1175,0,2,0,0,0,0,0,7,55,1,12,0,6,30,2,0,0,2,0,0,0,1,0,0,0,1,0,0,1,1,422,1,1,1,0,0,0,0,0,0,5,0,0,0,0,22,2,1,8,1,2,0,1,0,0,0,0,2,1,0,0,0,2,0,25,0,4,36,0,0,0,0,0,0,0,0,23,0,0,0,1,0,1,0,6,0,0,0,0,0,2,0,0,0,0,1,5,3,3,0,1,0,1,0,0,0
338,5184,0,2,0,0,0,0,0,19,46,5,17,0,8,57,0,0,0,23,0,0,0,1,0,0,0,1,0,0,0,1,145,3,2,0,0,0,0,0,0,0,0,0,0,0,0,25,4,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18,1,2,31,0,0,0,0,0,0,1,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,2,4,0,4,0,0,0,0,0
363,5611,0,1,0,0,0,0,0,21,48,3,7,0,3,49,0,1,0,25,0,0,0,1,0,0,0,0,0,0,0,1,190,3,1,0,0,0,0,0,0,0,4,0,0,0,0,18,11,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,12,0,0,38,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0
393,6043,0,0,3,0,0,0,0,40,130,4,3,0,7,45,0,1,0,12,0,0,0,0,0,0,0,1,0,0,0,3,104,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,28,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0
