"sample.depths","sample.ages","upland.sum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Betula","Cyperaceae","Fagus","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Castanea.dentata","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Artemisia","Caryophyllaceae","Ericaceae","Fraxinus.nigra.type","Apiaceae","Rosaceae.undiff.","Acer.saccharum","Carya.ovata","Fraxinus.pennsylvanica.type","Acer.spicatum","Ambrosia.type","Juglans.nigra","Larix","Populus.balsamifera.type","Sambucus","Taxus","Polygonum","Tilia","Juglans.cinerea","Saxifraga.oppositifolia.type","Potentilla.palustris.type","Viburnum.undiff.","Amaranthaceae","Viburnum.edule","Urticaceae","Shepherdia.canadensis"
0,-1,586,1,3,18,267,8,4,4,23,88,5,1,8,2,2,1,26,4,31,1,2,3,3,31,3,10,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,449,602,0,1,30,340,8,5,1,10,41,15,0,5,0,1,1,0,3,36,0,0,0,0,73,0,2,19,1,1,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1123,712,0,3,49,357,6,7,7,18,82,11,2,6,2,0,2,7,3,32,1,6,4,3,61,2,2,25,1,0,0,3,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1573,745,0,5,21,350,2,4,0,3,92,42,0,0,0,3,2,0,0,70,1,4,0,1,99,1,4,24,1,0,0,2,0,0,3,0,1,1,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0
45,2022,450,1,2,30,247,6,3,0,8,28,15,0,2,0,2,2,0,0,22,0,0,0,0,64,1,4,7,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
60,2696,619,0,3,41,338,6,1,0,4,60,14,0,3,0,1,1,0,0,16,0,1,0,0,106,0,1,15,0,0,1,0,0,2,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70,3145,583,0,4,29,285,6,5,0,3,47,19,0,1,0,2,1,0,0,50,0,2,0,6,101,0,0,14,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
85,3819,502,0,3,22,247,3,0,0,1,49,13,0,2,0,1,1,0,1,43,0,2,0,1,92,0,1,12,0,0,1,3,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
95,4268,694,0,5,43,367,2,4,11,8,75,8,3,9,1,1,7,10,3,19,0,2,6,6,67,0,2,26,1,0,0,0,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,4942,648,0,3,34,398,3,1,1,3,48,10,0,7,0,2,4,0,0,31,0,0,2,0,73,0,1,7,1,0,3,6,0,0,4,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
120,5392,511,0,1,19,268,1,0,0,0,35,16,0,5,0,0,1,0,0,27,0,0,0,4,103,0,7,9,0,1,0,5,0,1,3,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0
135,6065,529,1,4,32,261,3,1,5,12,47,5,7,4,0,0,2,11,5,16,0,3,7,2,64,5,5,18,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0
145,6515,533,0,1,32,322,6,0,0,0,24,13,3,10,1,0,1,0,0,17,0,0,1,1,86,0,3,5,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,7144,698,0,0,49,349,9,0,14,10,42,17,11,7,3,0,3,13,1,14,1,7,9,0,85,3,9,26,2,0,1,0,0,0,0,0,0,2,2,0,0,3,0,4,0,0,1,0,0,1,0,0,0,0
175,7863,543,0,5,33,299,4,1,0,2,13,29,4,10,6,2,1,0,1,20,0,1,0,11,70,0,2,14,3,1,0,4,0,1,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
185,8312,452,0,5,31,233,2,1,0,3,29,16,1,6,3,0,0,1,1,45,0,1,0,2,54,0,2,6,0,0,1,2,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
195,8761,571,0,1,71,322,3,0,0,3,26,11,2,11,1,0,3,1,8,15,2,0,0,0,70,2,0,4,1,2,0,7,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
210,9435,489,0,0,148,203,5,0,0,5,18,15,1,8,6,1,0,0,6,15,0,0,0,1,40,0,0,9,0,1,0,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
225,10109,497,0,1,216,141,0,0,0,2,16,18,2,1,1,1,0,2,2,35,0,0,0,7,23,0,1,22,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
235,10558,470,0,0,269,95,3,0,0,9,9,9,5,9,2,1,1,3,4,2,0,1,0,0,31,0,1,7,2,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
240,10783,553,0,4,283,80,6,0,3,7,27,13,11,4,3,0,3,16,5,7,0,2,1,3,45,6,2,16,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
245,11008,633,0,4,268,127,9,0,3,6,48,6,7,8,6,5,0,20,7,11,0,0,1,5,27,21,0,34,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
250,11232,570,0,2,190,123,18,0,0,15,54,16,3,10,4,8,0,21,4,2,1,0,0,4,39,0,1,48,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
