"sample.depths","sample.ages","Abies","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Quercus","Salix","Tsuga","Ulmus","Populus","Poaceae","Acer.undiff.","Ambrosia.type","Fraxinus.nigra.type","Apiaceae","Fagus","Fraxinus.pennsylvanica.type","Iva.xanthifolia.type","Ostrya.Carpinus","Rumex","Sarcobatus.vermiculatus","Myrica","Lamiaceae","Asteraceae.subf..Asteroideae.undiff.","Galium","Ericaceae","Acer.spicatum","Carya","Ranunculaceae.undiff.","Taxus","Brassicaceae","Celtis","Vitis","Cornus","Thalictrum","Tilia","Juglans.cinerea","Shepherdia.canadensis","Rosaceae","Plantago","Iva.annua.type","Herbs.undiff.","Urtica.type"
1,16,0.0982800982800983,0.0294840294840295,0.00491400491400491,0.0122850122850123,0.14987714987715,0.00245700245700246,0.00245700245700246,0.00982800982800983,0.00737100737100737,0.0245700245700246,0.457002457002457,0.144963144963145,0.0196560196560197,0.00245700245700246,0.00982800982800983,0.00245700245700246,0.00245700245700246,0.00491400491400491,0.00982800982800983,0.00491400491400491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,156,0.1375,0.040625,0.034375,0.003125,0.215625,0.003125,0,0.009375,0.00625,0.021875,0.390625,0.040625,0.034375,0.003125,0.00625,0.00625,0.00625,0.003125,0.00625,0.009375,0.003125,0.009375,0.00625,0.003125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,312,0.0372960372960373,0.097902097902098,0.0582750582750583,0.006993006993007,0.191142191142191,0.00466200466200466,0,0.0396270396270396,0.006993006993007,0.020979020979021,0.298368298368298,0.123543123543124,0.0163170163170163,0.00233100233100233,0.0116550116550117,0.0186480186480186,0,0.00233100233100233,0.0163170163170163,0.00466200466200466,0.00233100233100233,0.0186480186480186,0,0,0.00233100233100233,0.00233100233100233,0.00233100233100233,0.006993006993007,0.00233100233100233,0.00233100233100233,0.00233100233100233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,467,0.0463917525773196,0.128865979381443,0.0695876288659794,0.00515463917525773,0.182989690721649,0,0,0.0309278350515464,0.00257731958762887,0.0257731958762887,0.298969072164948,0.0798969072164948,0.0077319587628866,0,0.0077319587628866,0.0309278350515464,0,0.00257731958762887,0.0231958762886598,0.0128865979381443,0,0.0257731958762887,0.00257731958762887,0,0.00257731958762887,0,0.00257731958762887,0.00515463917525773,0.00257731958762887,0,0,0.00257731958762887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,623,0.0773638968481375,0.0802292263610315,0.0286532951289398,0.0229226361031519,0.191977077363897,0,0.00286532951289398,0.00859598853868195,0.00859598853868195,0.0257879656160458,0.349570200573066,0.0916905444126074,0.0200573065902579,0,0.0114613180515759,0.00573065902578797,0.00286532951289398,0.00286532951289398,0.0257879656160458,0.00573065902578797,0.00286532951289398,0.0257879656160458,0,0,0.00286532951289398,0,0,0.00286532951289398,0,0,0,0,0.00286532951289398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,779,0.0498687664041995,0.0446194225721785,0.0393700787401575,0.020997375328084,0.202099737532808,0.0026246719160105,0,0.0288713910761155,0.0078740157480315,0.010498687664042,0.380577427821522,0.136482939632546,0.020997375328084,0.0078740157480315,0.010498687664042,0,0.0026246719160105,0.005249343832021,0.0078740157480315,0.0026246719160105,0,0,0,0,0.005249343832021,0,0,0.005249343832021,0,0,0.0026246719160105,0,0.0026246719160105,0.0026246719160105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,935,0.063953488372093,0.0261627906976744,0.0319767441860465,0.0145348837209302,0.302325581395349,0,0.00290697674418605,0.0203488372093023,0.00290697674418605,0.0145348837209302,0.36046511627907,0.0959302325581395,0.00872093023255814,0,0.0145348837209302,0.00581395348837209,0.00290697674418605,0.00581395348837209,0.0174418604651163,0.00290697674418605,0,0.00290697674418605,0,0,0,0,0,0.00290697674418605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1090,0.0633245382585752,0.0554089709762533,0.0263852242744063,0.0079155672823219,0.24802110817942,0,0.00527704485488127,0.0079155672823219,0.0079155672823219,0.0158311345646438,0.369393139841689,0.12664907651715,0.0105540897097625,0,0.0131926121372032,0,0.00263852242744063,0,0.0131926121372032,0.00527704485488127,0,0,0.00263852242744063,0,0.00263852242744063,0,0,0.00263852242744063,0.00263852242744063,0,0,0,0,0,0.0105540897097625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1246,0.101492537313433,0.017910447761194,0.00895522388059702,0.00895522388059702,0.197014925373134,0.00298507462686567,0,0.0388059701492537,0,0.0238805970149254,0.417910447761194,0.104477611940299,0.026865671641791,0.00298507462686567,0.00895522388059702,0,0.00298507462686567,0,0.0149253731343284,0.00895522388059702,0,0.00298507462686567,0,0,0,0,0,0.00298507462686567,0,0,0,0,0.00298507462686567,0,0,0.00298507462686567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1402,0.0722222222222222,0.0305555555555556,0.0361111111111111,0.00555555555555556,0.169444444444444,0.00277777777777778,0,0.00277777777777778,0,0.00833333333333333,0.469444444444444,0.130555555555556,0.0305555555555556,0,0.00277777777777778,0,0,0.0111111111111111,0.00277777777777778,0.0111111111111111,0,0.00277777777777778,0,0,0.00277777777777778,0,0.00277777777777778,0,0,0,0.00277777777777778,0,0.00277777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
