"sample.depths","sample.ages","Acer","Alnus","Ambrosia","Arceuthobium","Asteraceae..high.spine.","Asteraceae..low.spine.","Betula","Brasenia.schreberi","Brassicaceae","Carya","Caryophyllaceae","Castanea","Cephalanthus","Chenopodiaceae.Amaranthaceae","Corylus","Cupressaceae","Cyperaceae","Dryopteris","Ericaceae","Fagus","Fraxinus","Galium","Hypericum","Ilex","Indeterminable","Juglans","Larix","Lycopodium.spike..number.counted.","Lycopodium","Morus","Myrica","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Polygonum","Potamogeton","Quercus","Rhus","Rosaceae.trees","Rumex","Sagittaria","Salix","Sphagnum","Spore..trilete.","Thalictrum","Tilia","Tsuga","Typha","Ulmus","Unknown","Utricularia","Vitis","Lycopodium.tablets..concentration..grains.tablet."
1,-14,5,0,7,0,0,1,37,0,1,1,0,0,0,0,0,0,2,0,25,1,6,0,102,0,34,2,0,288,0,0,1,1,0,0,0,11,46,97,3,17,0,3,92,0,0,0,0,0,0,0,0,0,6,0,1,6,0,0,54000
11,277,3,4,21,0,0,6,50,0,1,2,0,3,2,0,5,6,16,0,7,5,1,0,0,3,28,0,0,80,0,0,4,0,1,0,2,2,10,38,0,55,0,0,56,0,0,1,0,0,8,3,0,0,6,2,1,6,0,0,54000
21,567,5,1,6,0,5,19,11,0,0,0,0,0,0,0,5,3,51,4,3,8,1,0,1,0,22,1,0,93,0,0,5,0,0,0,2,4,6,37,0,18,0,0,59,0,0,2,0,0,8,3,0,0,12,1,1,0,0,0,54000
25,683,3,4,0,0,0,12,19,0,0,6,0,0,2,0,3,0,55,1,1,8,2,1,0,1,18,0,0,71,0,0,0,1,1,0,0,6,4,57,0,39,0,0,81,0,0,0,0,1,17,8,0,0,8,0,4,1,0,0,54000
29,800,4,2,3,0,0,12,17,0,0,6,0,0,31,0,3,0,13,2,2,7,1,0,0,1,31,0,0,69,0,0,3,0,2,1,0,3,4,28,0,47,1,0,122,0,0,0,9,1,6,0,0,0,8,5,1,3,0,0,54000
33,916,4,11,2,1,0,17,41,0,0,4,0,1,47,0,5,0,7,3,5,14,1,0,0,1,51,0,0,143,0,0,6,1,0,2,1,2,3,23,0,46,0,0,126,0,1,0,6,10,17,1,1,0,8,5,2,3,0,0,54000
37,1032,1,7,0,0,0,17,34,0,0,3,0,0,73,0,3,0,5,3,2,11,1,0,0,0,56,2,0,134,0,0,3,4,3,0,0,1,3,38,0,75,1,0,120,0,0,0,5,11,19,3,0,0,7,7,1,8,0,0,54000
41,1148,5,6,0,0,0,2,16,0,0,2,0,0,17,0,5,0,14,2,11,26,3,0,0,0,21,0,0,93,0,0,3,3,1,1,0,4,2,49,0,38,1,0,111,0,0,0,4,5,16,3,0,0,4,6,1,3,0,0,54000
45,1264,6,5,1,0,0,11,58,1,0,8,0,1,49,0,5,0,10,3,9,16,2,0,0,0,96,0,0,207,0,0,6,3,1,1,1,0,3,40,2,57,0,0,179,1,0,0,6,12,21,4,0,1,14,11,1,4,1,0,54000
48,1352,6,7,0,0,0,10,41,1,2,2,0,1,45,1,4,1,44,4,1,11,8,0,0,0,37,3,0,96,0,1,11,1,0,1,2,14,8,45,0,67,1,0,137,0,0,2,5,6,26,19,0,0,19,9,4,1,0,0,54000
110,3153,3,2,0,0,0,27,14,0,0,1,0,0,7,0,6,0,17,1,0,4,0,0,0,2,61,0,1,28,0,0,5,0,3,1,1,2,4,20,1,44,0,1,106,0,0,2,2,6,10,1,0,0,5,0,2,1,0,0,54000
130,3734,2,1,8,1,0,12,20,0,3,3,0,0,26,2,4,3,21,0,9,15,0,0,0,2,28,0,0,43,1,0,6,4,0,0,1,1,4,30,0,398,0,0,90,0,1,2,3,1,9,4,3,0,8,2,0,6,0,0,54000
150,4315,12,26,0,0,0,26,21,1,0,2,1,3,25,0,6,0,13,0,0,49,5,0,2,0,71,0,0,24,0,0,2,14,0,0,1,4,11,50,0,372,1,0,157,0,0,0,0,1,1,2,0,0,33,8,1,6,0,1,54000
