"sample.depths","sample.ages","Abies","Acer.undiff.","Acer.rubrum","Acer.saccharum","Alnus.incana","Alnus.viridis.subsp..crispa","Betula.undiff.","Betula..small.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Other.shrubs","Other.trees","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Other.herbs","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Secale","Thalictrum","Urtica","Zea"
0,-49,0,0,0.012295082,0.019125683,0.008196721,0,0.06557377,0,0,0.009562842,0,0,0.008196721,0.019125683,0.00136612,0,0.005464481,0.042349727,0.009562842,0,0.009562842,0,0.006830601,0,0,0,0,0.00136612,0.024590164,0.005464481,0.004098361,0,0,0,0.040983607,0.028688525,0.144808743,0,0,0.408469945,0.00136612,0.00273224,0,0,0,0.004098361,0.005464481,0,0.039617486,0.00136612,0,0.010928962,0,0,0.00136612,0.00273224,0,0,0,0,0,0.006830601,0.038251366,0,0,0,0,0.008196721,0,0.00136612,0,0
4,-44,0,0.001567398,0.023510972,0.014106583,0.006269592,0,0.062695925,0,0,0.009404389,0,0,0.012539185,0.018808777,0,0.003134796,0.012539185,0.056426332,0.009404389,0,0.006269592,0.003134796,0.004702194,0.001567398,0,0,0.001567398,0,0.039184953,0.006269592,0,0.001567398,0,0.006269592,0.043887147,0.007836991,0.097178683,0.007836991,0,0.355799373,0.003134796,0,0,0,0,0.014106583,0.007836991,0,0.078369906,0.001567398,0,0.009404389,0,0,0.004702194,0.001567398,0.001567398,0,0,0.003134796,0,0.010971787,0.034482759,0,0,0,0,0.012539185,0.003134796,0,0,0
8,-39,0,0,0.010118044,0.018549747,0.015177066,0,0.077571669,0,0.001686341,0.016863406,0,0,0.016863406,0.023608769,0,0,0.001686341,0.030354132,0.008431703,0,0.005059022,0,0.003372681,0,0,0,0.001686341,0,0.033726813,0.006745363,0.005059022,0,0,0.011804384,0.048903879,0.015177066,0.118043845,0.003372681,0.001686341,0.396290051,0.001686341,0.001686341,0,0,0,0.003372681,0.003372681,0,0.038785835,0,0,0.010118044,0,0,0.003372681,0,0,0,0,0.005059022,0,0.011804384,0.028667791,0.003372681,0,0,0,0.015177066,0,0,0,0.001686341
12,-29,0,0,0.019512195,0.009756098,0.004878049,0,0.063414634,0,0.001626016,0.01300813,0,0,0.008130081,0.02601626,0,0,0.011382114,0.061788618,0.014634146,0,0.009756098,0.001626016,0.016260163,0.003252033,0,0,0.001626016,0,0.048780488,0.009756098,0.004878049,0,0,0.004878049,0.056910569,0.003252033,0.104065041,0.003252033,0,0.359349593,0.004878049,0.006504065,0,0,0,0.011382114,0.009756098,0,0.03902439,0,0.001626016,0.001626016,0.001626016,0,0.003252033,0,0.001626016,0,0,0.001626016,0,0.006504065,0.024390244,0.004878049,0,0,0.001626016,0.016260163,0.001626016,0,0,0
16,-17,0,0.003246753,0.01461039,0.016233766,0.00974026,0,0.076298701,0,0.003246753,0.003246753,0.001623377,0,0.012987013,0.027597403,0,0.001623377,0.00974026,0.047077922,0.011363636,0.001623377,0.003246753,0,0.001623377,0,0.001623377,0,0.001623377,0,0.027597403,0.006493506,0.001623377,0,0,0.012987013,0.079545455,0.01461039,0.100649351,0,0,0.352272727,0.00487013,0.003246753,0,0,0,0.003246753,0.00487013,0,0.058441558,0,0,0.008116883,0,0.001623377,0.001623377,0.003246753,0,0,0,0.003246753,0,0.008116883,0.034090909,0,0,0,0.001623377,0.017857143,0,0.001623377,0,0
20,0,0,0,0.017377567,0.004739336,0.006319115,0,0.047393365,0,0.003159558,0.007898894,0.001579779,0,0.012638231,0.022116904,0,0,0.018957346,0.063191153,0.020537125,0,0.006319115,0.003159558,0.004739336,0.001579779,0,0,0,0,0.050552923,0.006319115,0.001579779,0,0,0.006319115,0.025276461,0.009478673,0.083728278,0.001579779,0,0.366508689,0.003159558,0,0,0,0,0.004739336,0.017377567,0,0.066350711,0,0.003159558,0.003159558,0,0,0,0.003159558,0.001579779,0,0,0,0.001579779,0.011058452,0.048973144,0.003159558,0,0,0,0.036334913,0.003159558,0,0,0
24,15,0,0,0.0171875,0.009375,0.0046875,0,0.06875,0,0.0046875,0.0171875,0.003125,0,0.025,0.040625,0,0,0.015625,0.034375,0.0078125,0,0.0109375,0,0.003125,0,0,0,0.003125,0,0.03125,0.0140625,0.0078125,0,0,0.0125,0.025,0.00625,0.078125,0.0046875,0.0015625,0.3765625,0.0046875,0,0,0,0,0.0125,0.009375,0,0.046875,0,0,0.0109375,0.0015625,0,0.0015625,0.0046875,0,0,0,0,0,0.009375,0.0515625,0,0,0,0,0.0234375,0,0,0,0
28,24,0,0,0.019138756,0.006379585,0.009569378,0,0.074960128,0,0.004784689,0.012759171,0.001594896,0,0.009569378,0.044657097,0,0,0.011164274,0.054226475,0.015948963,0,0.003189793,0.003189793,0.003189793,0,0,0,0,0,0.028708134,0.006379585,0.004784689,0,0,0.007974482,0.025518341,0.003189793,0.090909091,0.001594896,0.001594896,0.373205742,0.006379585,0,0,0,0,0.014354067,0.003189793,0,0.033492823,0,0.001594896,0.006379585,0.001594896,0,0,0.003189793,0,0,0,0,0,0.006379585,0.052631579,0.001594896,0,0,0.003189793,0.043062201,0.003189793,0.001594896,0,0
32,35,0,0,0.012779553,0.00798722,0.009584665,0,0.062300319,0,0.003194888,0.009584665,0.00798722,0,0.011182109,0.011182109,0,0.004792332,0.015974441,0.03514377,0.012779553,0,0.006389776,0,0.00798722,0.001597444,0,0,0,0,0.038338658,0.014376997,0.009584665,0,0,0.003194888,0.02715655,0.014376997,0.081469649,0.006389776,0.001597444,0.381789137,0.003194888,0.001597444,0,0,0,0.015974441,0.001597444,0,0.046325879,0,0,0.006389776,0.003194888,0,0.003194888,0.006389776,0,0,0,0,0,0.004792332,0.055910543,0,0,0,0,0.047923323,0.003194888,0,0,0.001597444
36,55,0,0,0.007692308,0.004615385,0.009230769,0,0.055384615,0,0.001538462,0.015384615,0.001538462,0,0.024615385,0.036923077,0,0,0.02,0.04,0.016923077,0,0.006153846,0,0.004615385,0.001538462,0,0,0.003076923,0,0.049230769,0.010769231,0.001538462,0,0,0.006153846,0.012307692,0.003076923,0.052307692,0.004615385,0,0.42,0.001538462,0.001538462,0,0,0,0.013846154,0.007692308,0,0.056923077,0,0,0.006153846,0,0,0,0.001538462,0,0,0,0,0,0.006153846,0.049230769,0.003076923,0,0,0.001538462,0.038461538,0.003076923,0,0,0
