"sample.depths","sample.ages","Abies","Acer.undiff.","Ambrosia.type","Betula","Carya","Castanea","Cephalanthus","Corylus","Cupressaceae","Cyperaceae","Fagus","Gentianaceae","Ilex","Juglans.cinerea","Picea","Pinus.undiff.","Platanus","Quercus","Rhamnaceae.Vitaceae.undiff.","Rhus","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Rosaceae.undiff.","Myrica","Populus","Viburnum","Poaceae","Plantago","Ranunculus","Artemisia","Caryophyllaceae","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Nyssa","Pinus.subg..Pinus","Pinus.subg..Strobus","Polygonum","Acer.saccharum.type","Acer.rubrum","Ericaceae","Galium","Ostrya.Carpinus","Apiaceae","Brassicaceae","Solanaceae","Morus","Lamiaceae","Salix","Thalictrum","Cannabaceae","Acer.saccharinum.type","Tilia","Prunus.Sorbus","Liquidambar","Amaranthaceae","Parthenocissus","Sambucus","Juglans.nigra","Parnassia","Cornus","Iva.annua.type","Fabaceae","Polygonaceae.undiff.","Acer.negundo","Iva.xanthifolia.type","Campanulaceae","Larix","Celtis","Saxifraga.type","Primulaceae","Ranunculaceae.undiff."
1,51,0.00840336134453781,0.00420168067226891,0.0210084033613445,0.134453781512605,0.00840336134453781,0.00840336134453781,0.0210084033613445,0.00840336134453781,0.0210084033613445,0.00840336134453781,0.0210084033613445,0.00420168067226891,0.00840336134453781,0.00420168067226891,0.0126050420168067,0.0756302521008403,0.00420168067226891,0.159663865546218,0.00420168067226891,0.00420168067226891,0.0126050420168067,0.0126050420168067,0.0168067226890756,0.00420168067226891,0.260504201680672,0.00840336134453781,0.00840336134453781,0.0252100840336134,0.00840336134453781,0.092436974789916,0.00420168067226891,0.00420168067226891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,208,0,0.00357142857142857,0.0285714285714286,0.075,0.0285714285714286,0.00714285714285714,0.0214285714285714,0.00357142857142857,0.00714285714285714,0.025,0.025,0,0.025,0,0.0107142857142857,0.0785714285714286,0.00357142857142857,0.185714285714286,0,0,0.0285714285714286,0.0142857142857143,0.025,0.00714285714285714,0.267857142857143,0,0.00357142857142857,0.00357142857142857,0.00714285714285714,0.0785714285714286,0,0,0.00357142857142857,0.00357142857142857,0.00357142857142857,0.00357142857142857,0.00357142857142857,0.00357142857142857,0.0107142857142857,0.00357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,404,0.00216450216450216,0.00216450216450216,0.012987012987013,0.090909090909091,0.0173160173160173,0.00216450216450216,0.0108225108225108,0,0.0064935064935065,0.00865800865800866,0.0238095238095238,0,0.00216450216450216,0,0.00865800865800866,0.103896103896104,0,0.183982683982684,0.00432900432900433,0,0.0238095238095238,0.0108225108225108,0.0324675324675325,0.0108225108225108,0.292207792207792,0.00216450216450216,0.00432900432900433,0.00865800865800866,0.00432900432900433,0.090909090909091,0,0,0,0,0.00432900432900433,0,0.00432900432900433,0,0,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00432900432900433,0.00216450216450216,0.00865800865800866,0.00216450216450216,0.00216450216450216,0.00432900432900433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,599,0.00523560209424084,0.00523560209424084,0.0104712041884817,0.0680628272251309,0.0209424083769634,0.00523560209424084,0.0209424083769634,0,0.0157068062827225,0.0104712041884817,0.0209424083769634,0,0.0157068062827225,0,0.0104712041884817,0.0523560209424084,0,0.178010471204188,0,0,0.0209424083769634,0.0261780104712042,0.0523560209424084,0.0157068062827225,0.282722513089005,0,0,0.0104712041884817,0.0104712041884817,0.094240837696335,0,0,0.00523560209424084,0,0.00523560209424084,0,0.00523560209424084,0,0.0104712041884817,0,0,0.00523560209424084,0.00523560209424084,0,0,0,0,0,0.00523560209424084,0.00523560209424084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.5,773,0.00416666666666667,0.0125,0,0.0958333333333333,0.0208333333333333,0.0125,0.00416666666666667,0,0.00833333333333333,0.0208333333333333,0.0208333333333333,0,0.025,0.00416666666666667,0.00833333333333333,0.0375,0,0.2625,0,0,0,0.0125,0.0166666666666667,0.0125,0.254166666666667,0.00416666666666667,0,0.0125,0.00833333333333333,0.0916666666666667,0,0,0,0,0.0125,0.00416666666666667,0.00416666666666667,0,0,0,0.00416666666666667,0.0125,0,0,0,0,0,0.00416666666666667,0,0,0.00416666666666667,0.00416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1171,0,0.00634249471458774,0,0.0887949260042283,0.0147991543340381,0,0.00634249471458774,0,0.0105708245243129,0.0147991543340381,0.0528541226215645,0,0.0126849894291755,0.00422832980972516,0.00211416490486258,0.0465116279069767,0.00211416490486258,0.27061310782241,0.00211416490486258,0,0.00211416490486258,0.0126849894291755,0.025369978858351,0.0105708245243129,0.293868921775899,0.00422832980972516,0,0.00211416490486258,0.00422832980972516,0.0718816067653277,0,0,0,0.00211416490486258,0.00634249471458774,0.00422832980972516,0.00634249471458774,0,0,0,0.00211416490486258,0.00211416490486258,0.00422832980972516,0,0.00211416490486258,0.00211416490486258,0,0,0,0,0,0.00422832980972516,0.00211416490486258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1536,0.00366300366300366,0.010989010989011,0,0.0622710622710623,0.0146520146520147,0,0.0256410256410256,0.00366300366300366,0.0146520146520147,0.00732600732600733,0.0256410256410256,0,0.010989010989011,0,0.00366300366300366,0.0366300366300366,0.00732600732600733,0.227106227106227,0,0,0,0.0183150183150183,0.0256410256410256,0.00732600732600733,0.293040293040293,0.00366300366300366,0,0.010989010989011,0,0.113553113553114,0,0,0.00732600732600733,0.00366300366300366,0.0183150183150183,0,0.00366300366300366,0,0,0,0.00732600732600733,0.00366300366300366,0.00366300366300366,0,0.0146520146520147,0,0,0,0,0,0,0.00732600732600733,0,0.00366300366300366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1882,0,0,0,0.068421052631579,0.0157894736842105,0,0,0,0.0157894736842105,0,0.0368421052631579,0,0.0210526315789474,0,0.0105263157894737,0.0315789473684211,0,0.268421052631579,0,0,0,0.0315789473684211,0.0210526315789474,0,0.342105263157895,0.0105263157894737,0,0,0,0.0789473684210526,0,0,0.00526315789473684,0.00526315789473684,0,0.0157894736842105,0.00526315789473684,0.00526315789473684,0.00526315789473684,0,0,0.00526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2206,0,0.00704225352112676,0,0.0563380281690141,0.0211267605633803,0.00234741784037559,0.00704225352112676,0,0,0.00704225352112676,0.039906103286385,0,0.0211267605633803,0.00234741784037559,0.00469483568075117,0.0633802816901408,0.00234741784037559,0.370892018779343,0,0,0,0.0187793427230047,0.0140845070422535,0.00469483568075117,0.26056338028169,0.00234741784037559,0,0.00704225352112676,0.0117370892018779,0.0375586854460094,0,0,0,0,0.0117370892018779,0.00234741784037559,0.00234741784037559,0,0,0,0.00234741784037559,0.00234741784037559,0.00234741784037559,0,0.00469483568075117,0,0,0.00234741784037559,0,0,0.00234741784037559,0,0.00234741784037559,0,0.00234741784037559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2501,0,0.00515463917525773,0,0.097938144329897,0.0257731958762887,0.00515463917525773,0.0103092783505155,0.0154639175257732,0.0206185567010309,0.00515463917525773,0.0309278350515464,0,0.0103092783505155,0,0,0.0515463917525773,0.0154639175257732,0.335051546391753,0,0,0,0.0103092783505155,0.0103092783505155,0.0103092783505155,0.22680412371134,0,0,0.0103092783505155,0,0.0257731958762887,0,0,0.00515463917525773,0.00515463917525773,0.0154639175257732,0.0103092783505155,0,0,0,0,0.00515463917525773,0.0206185567010309,0,0,0,0,0,0,0,0.00515463917525773,0,0,0,0,0.00515463917525773,0.00515463917525773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
