"sample.depths","sample.ages","Abies","Acer","Alisma","Alnus","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Brassicaceae","Campanulaceae","Caprifoliaceae","Carpinus","Carya","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Elaeagnus","Epilobium","Equisetum","Ericaceae","Fabaceae.undiff.","Fraxinus","Isoëtes","Juglans","Lamiaceae","Larix","Lycopodiaceae","Menispermum","Myrica","Myriophyllum","Nuphar","Nymphaea","Parnassia","Picea","Pinus","Plantago","Poaceae","Polypodiaceae","Populus","Potamogeton","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rubiaceae","Rubus","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Saxifragaceae.undiff.","Sedum","Shepherdia.argentea","Shepherdia.canadensis","Solanaceae","Sparganium","Sphagnum","Thalictrum","Typha","Ulmus","Unknown..trilete.","Urticaceae"
0,-25,0,0,0,696,50,4,2,0,54,20,2,598,0,0,0,0,0,0,0,0,4,44,0,0,6,0,0,4,10,0,0,12,2,0,2,0,6,2,0,446,900,0,44,0,22,0,2,2,6,0,0,0,0,64,4,2,0,0,0,0,2,24,0,0,0,2,0
10,190,2,0,0,396,10,10,0,4,46,4,0,362,0,0,0,0,0,0,0,2,2,40,0,0,2,0,2,0,14,0,0,18,2,0,4,0,10,0,0,348,390,0,38,0,4,0,0,0,10,0,0,0,0,18,4,0,0,0,0,0,0,8,0,2,0,0,0
25,513,2,0,0,182,6,0,0,0,14,4,0,204,0,0,0,0,0,0,0,6,2,28,0,0,2,0,0,2,2,0,0,18,0,0,0,0,4,0,0,122,384,0,22,2,4,2,0,2,2,0,0,0,0,30,0,0,2,0,0,0,4,0,0,0,0,20,0
35,728,12,0,0,580,4,4,0,2,62,20,0,614,0,0,0,0,0,0,0,4,2,78,0,0,0,0,0,2,2,2,0,14,0,0,4,2,2,2,0,374,696,0,80,0,44,0,4,0,12,0,0,0,0,64,4,0,0,0,0,0,14,4,0,10,6,0,0
40,836,6,0,0,346,10,0,0,0,34,14,0,430,0,0,0,0,0,0,0,8,0,106,0,0,16,0,0,0,0,0,0,10,0,0,0,18,0,0,0,404,990,0,30,0,8,0,8,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,2,0,0
50,1052,0,0,0,726,12,0,0,6,40,8,0,454,2,0,0,0,2,0,0,8,18,90,0,0,2,0,0,0,2,0,0,30,2,0,0,0,2,0,0,450,934,0,64,0,34,0,2,4,4,0,0,0,0,60,2,0,0,0,0,0,14,0,2,2,4,12,0
60,1267,0,0,0,296,2,10,0,0,40,4,0,268,0,0,0,0,0,0,0,2,2,24,0,0,4,2,0,0,0,0,0,8,0,0,0,0,0,0,0,296,668,0,42,0,8,0,0,0,2,0,0,0,0,22,4,0,0,0,0,0,6,0,2,4,0,12,0
70,1483,0,0,0,452,10,4,0,0,56,12,0,322,0,0,0,0,0,0,0,4,0,40,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,326,672,0,40,0,14,0,0,2,6,0,0,0,0,36,2,2,0,0,0,0,0,0,0,6,0,10,0
80,1698,0,0,0,176,6,8,0,0,20,4,0,108,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,268,390,0,26,2,0,0,2,0,2,0,0,0,0,10,0,0,0,0,0,0,6,0,0,2,0,2,0
90,1914,0,0,0,308,12,2,0,0,54,2,0,168,0,0,0,0,0,0,0,12,2,44,0,2,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,318,664,0,30,0,6,4,0,0,0,0,0,0,0,34,0,0,0,0,0,0,4,0,0,6,2,16,0
100,2129,0,4,0,626,2,6,0,2,46,4,0,524,2,0,0,0,2,0,0,6,16,100,0,0,10,0,0,2,2,0,0,28,4,0,12,6,2,2,0,430,1098,0,100,2,36,12,2,4,10,2,0,0,0,76,4,0,0,0,0,0,2,0,2,8,0,10,0
110,2345,0,0,0,210,6,0,0,2,16,0,0,188,0,0,0,0,0,2,0,2,2,24,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,284,656,0,24,0,8,0,2,0,2,0,0,0,0,32,0,0,0,0,0,0,4,0,2,2,2,2,0
125,2668,8,0,0,594,8,4,0,0,86,8,0,318,2,0,0,0,0,0,0,14,2,96,0,0,2,0,2,4,0,0,0,18,4,0,6,0,6,2,0,544,1330,0,92,14,16,6,2,0,0,0,0,0,0,54,4,0,0,0,0,0,8,0,0,4,2,18,0
140,2992,2,2,0,740,8,6,0,2,66,14,0,522,0,0,0,0,0,0,0,8,12,66,0,0,2,0,0,0,0,0,0,42,0,0,0,0,0,0,0,622,1658,0,90,2,10,4,2,0,4,0,0,0,0,118,0,0,0,0,0,0,2,0,2,8,6,10,0
150,3207,2,0,2,1524,14,0,0,6,104,44,2,946,6,2,0,0,0,0,0,16,26,160,0,0,42,0,0,10,2,0,0,44,4,0,10,10,10,2,0,520,1928,0,136,12,38,16,4,2,8,6,0,0,0,224,6,4,0,0,0,0,6,0,0,8,6,6,0
165,3507,0,0,0,416,10,2,0,0,46,8,0,328,2,0,0,0,0,0,0,8,6,44,0,0,2,0,0,2,0,0,0,4,0,0,0,0,2,0,0,204,712,0,38,0,16,0,2,0,0,2,0,0,0,32,0,2,0,0,0,0,0,0,0,8,2,4,0
175,3704,4,2,2,920,32,10,0,10,194,30,2,774,0,0,0,0,2,0,0,10,4,76,2,0,14,0,0,0,0,0,0,30,0,0,8,4,4,2,0,558,2666,0,110,0,48,2,2,2,4,4,0,0,0,180,0,0,0,0,0,0,10,0,2,6,8,2,0
