"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Caryophyllaceae","cf..Oxyria.digyna","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Diphasiastrum.complanatum.type","Dryopteris.type","Epilobium","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Nuphar","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potentilla.palustris.type","Quercus","Ribes","Rosaceae.undiff.","Salix.undiff.","Salix.vestita.type","Sambucus","Saxifraga.oppositifolia.type","Saxifragaceae.undiff.","Shepherdia.canadensis","Sphagnum","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete."
3,81,0,0,0,0,106,1,0,3,5,96,0,0,0,1,63,0,1,0,0,1,7,0,0,0,0,0,1,0,0,0,2,0,4,1,0,0,0,0,113,99,13,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,1,0
25,678,0,0,0,2,89,0,2,7,2,111,0,0,0,0,60,0,0,1,0,0,8,0,1,0,1,0,7,0,3,3,8,0,8,0,0,0,0,2,202,96,26,0,2,16,7,0,0,0,0,1,0,1,1,0,0,0,0,0,19,0,0,2,0,0,1,6
50,1356,1,0,0,2,53,2,0,5,1,73,0,0,0,0,28,0,2,0,0,0,6,1,0,0,0,0,0,0,3,0,4,0,3,1,0,0,0,0,166,88,9,0,2,5,2,0,1,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,1,1,0
75,1979,0,0,0,2,111,0,0,10,0,113,0,0,0,0,15,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,2,0,7,0,0,0,0,0,273,45,18,0,0,5,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
100,2491,0,0,0,2,162,0,1,6,1,148,0,0,0,1,35,0,0,0,0,0,5,0,0,0,0,0,0,0,11,0,2,0,4,0,1,0,0,0,247,145,7,1,3,5,7,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,1,0,0,1
125,2783,0,0,0,2,129,0,2,5,1,101,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,104,25,5,0,0,1,8,0,0,0,0,3,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0
150,2964,0,0,0,4,266,0,1,6,0,160,0,0,0,0,28,0,0,0,0,0,5,1,0,1,0,0,0,0,5,1,5,0,3,2,0,0,0,0,242,107,14,0,1,5,6,0,0,0,0,1,0,0,0,0,0,1,0,0,11,0,0,0,0,1,4,0
175,3144,0,0,0,0,160,0,0,1,0,105,0,0,0,0,17,0,0,0,0,0,2,0,0,0,2,0,0,0,3,0,3,0,0,0,1,0,0,0,164,29,6,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
200,3324,0,0,0,3,320,1,1,2,1,137,1,0,0,1,17,2,0,0,0,0,2,0,0,0,0,0,1,0,4,0,2,1,3,6,1,1,0,0,305,108,8,0,1,2,4,0,0,0,1,1,0,0,3,0,0,0,0,0,6,0,0,0,1,0,0,1
225,3504,0,1,0,0,226,1,2,1,1,128,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,206,24,1,0,2,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
250,3684,0,0,0,1,233,0,0,1,0,89,0,0,0,0,14,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,3,1,1,0,0,0,0,0,196,30,3,0,0,1,4,0,1,0,0,2,0,0,2,0,0,0,0,0,8,0,0,0,1,0,0,0
275,3865,0,0,0,0,237,0,0,0,0,69,0,1,0,0,10,0,0,0,1,0,5,0,0,0,3,0,0,0,0,0,1,0,3,4,0,0,1,0,186,20,3,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,1
300,4154,0,0,0,2,418,0,1,3,0,176,0,0,0,0,15,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,8,0,0,2,1,0,0,0,102,24,7,0,0,1,9,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,1
315,NA,0,0,1,3,360,1,0,3,0,142,0,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,1,0,8,0,0,0,0,0,94,10,7,0,0,2,16,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
325,NA,0,0,0,0,189,0,1,0,0,145,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,1,0,4,0,0,0,0,0,84,2,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0
335,NA,0,0,1,2,276,0,0,3,0,207,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,3,0,1,0,6,0,6,1,0,0,0,0,60,8,5,0,0,1,7,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
350,NA,0,0,0,0,157,0,0,2,0,169,0,0,0,0,20,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,3,0,2,2,0,0,0,0,24,8,5,0,0,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,1,0,1,1
365,NA,0,0,0,1,178,1,0,4,0,179,0,0,0,0,18,0,0,0,0,0,5,0,0,0,0,0,3,0,1,0,0,0,7,0,0,1,0,0,39,5,3,0,0,1,7,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0
375,NA,0,0,0,0,197,1,2,4,0,414,0,0,0,0,19,0,0,0,0,0,6,0,0,0,0,0,0,1,3,0,2,0,1,0,0,0,0,0,9,0,0,0,1,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0
385,NA,0,0,0,0,165,0,1,3,0,270,0,0,0,0,30,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,40,11,17,0,0,1,9,0,0,1,0,0,0,0,2,0,1,0,0,0,7,0,1,0,0,0,0,1
400,NA,0,0,0,0,187,3,1,9,1,394,0,0,2,1,76,0,0,0,0,0,5,0,0,0,0,8,0,0,10,0,0,3,1,0,0,1,0,0,25,6,10,0,2,2,21,1,2,0,0,0,0,0,12,1,0,0,0,1,14,0,0,0,2,1,5,0
