"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae.Taxaceae","Ericaceae","Fagus","Fraxinus","Ilex","Juglans","Liquidambar","Liriodendron","Magnolia","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus","Platanus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Lamiaceae","Malvaceae","Onagraceae","Plantago","Poaceae","Polygonum"
1469,NA,0,0.003058104,0.021406728,0.018348624,0.027522936,0.006116208,0,0,0,0,0.003058104,0,0,0.009174312,0.003058104,0,0.021406728,0,0,0,0.003058104,0,0,0.195718654,0,0.501529052,0.003058104,0,0.070336391,0,0,0.018348624,0,0,0.012232416,0,0.018348624,0.021406728,0,0,0,0,0.042813456,0
1479,NA,0,0,0.012861736,0.009646302,0.025723473,0,0,0,0,0.01607717,0,0,0.003215434,0,0,0,0,0,0,0,0,0.003215434,0,0.221864952,0,0.536977492,0,0,0.038585209,0.003215434,0,0.032154341,0,0,0.012861736,0,0.003215434,0.006430868,0,0,0,0,0.073954984,0
1489,NA,0,0,0.006006006,0,0.009009009,0.009009009,0,0,0,0,0.009009009,0,0,0,0.009009009,0,0.009009009,0,0,0,0.003003003,0.006006006,0.003003003,0.141141141,0,0.687687688,0,0,0.039039039,0.009009009,0,0.027027027,0,0,0.006006006,0,0.006006006,0.006006006,0,0,0,0,0.015015015,0
1499,NA,0,0,0.003289474,0.019736842,0.009868421,0,0,0,0,0.003289474,0.003289474,0,0.003289474,0,0,0,0.003289474,0,0,0,0,0,0,0.223684211,0,0.546052632,0,0,0.046052632,0,0,0.016447368,0,0,0.013157895,0,0.006578947,0.016447368,0,0,0,0,0.085526316,0
1509,NA,0,0,0.005934718,0.008902077,0.011869436,0,0,0.002967359,0,0,0.005934718,0,0,0,0.002967359,0.002967359,0,0,0,0,0.005934718,0,0.008902077,0.225519288,0,0.602373887,0,0,0.038575668,0.002967359,0,0.017804154,0,0,0.002967359,0,0.002967359,0.017804154,0.002967359,0,0,0,0.029673591,0
1519,NA,0,0,0.006514658,0.026058632,0.019543974,0,0,0,0,0.009771987,0.006514658,0,0,0,0,0,0.009771987,0,0,0,0,0,0.003257329,0.221498371,0,0.553745928,0,0,0.022801303,0,0,0.013029316,0,0,0.029315961,0,0.006514658,0.022801303,0,0,0,0,0.048859935,0
1529,NA,0,0.002941176,0.023529412,0.023529412,0.020588235,0.008823529,0,0,0,0.008823529,0.011764706,0,0.008823529,0,0,0,0.005882353,0,0,0.002941176,0,0,0.011764706,0.15,0.008823529,0.502941176,0,0,0.061764706,0,0,0.023529412,0,0,0.011764706,0.002941176,0.002941176,0.029411765,0,0,0,0,0.076470588,0
1539,NA,0,0.002881844,0.014409222,0.017291066,0.008645533,0,0,0.002881844,0,0.002881844,0.002881844,0,0,0.002881844,0.002881844,0,0.002881844,0,0,0,0.008645533,0,0.005763689,0.167146974,0,0.628242075,0.008645533,0.002881844,0.017291066,0.005763689,0,0.014409222,0,0,0.014409222,0,0.023054755,0.011527378,0,0,0,0,0.031700288,0
1549,NA,0,0,0.019480519,0.006493506,0.025974026,0.003246753,0,0,0.003246753,0.006493506,0,0,0.012987013,0,0,0,0.006493506,0,0,0,0.003246753,0.012987013,0,0.201298701,0,0.519480519,0,0,0.029220779,0.00974026,0,0.006493506,0,0,0.022727273,0,0.012987013,0.025974026,0,0,0,0,0.071428571,0
1559,NA,0,0,0.012269939,0.009202454,0.012269939,0,0,0,0,0.003067485,0.015337423,0,0.009202454,0,0.003067485,0,0.006134969,0,0,0,0.006134969,0,0.003067485,0.150306748,0,0.598159509,0,0,0.036809816,0.003067485,0,0.030674847,0,0,0.012269939,0,0.009202454,0.027607362,0,0.003067485,0,0,0.049079755,0
1579,NA,0,0.00330033,0.02640264,0.01650165,0.01980198,0,0,0,0,0.00990099,0,0,0.00660066,0,0,0,0.00330033,0,0,0,0.00330033,0.01650165,0,0.151815182,0,0.577557756,0,0,0.01650165,0.00330033,0,0.00660066,0,0,0.01320132,0,0.00330033,0.02640264,0,0,0,0,0.095709571,0
