"sample.depths","sample.ages","upland.sum","Acer.spicatum","Alnus.incana.type","Ambrosia.type","Artemisia","Betula","Caprifoliaceae.undiff.","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Sambucus","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Liliaceae","Amaranthaceae","Poaceae","Plantago","Abies.balsamea","Acer.saccharum","Corylus.cornuta","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Tsuga.canadensis","Pinaceae","Acer.rubrum","Ostrya.Carpinus","Myrica.gale","Ilex.Nemopanthus","Juniperus.communis.Thuja.occidentalis.type","Juglans.cinerea","Salix","Apiaceae","Carya.ovata","Cornus","Larix","Populus.tremuloides.type","Viburnum.lentago","Pinus.resinosa.type","Rosaceae","Brassicaceae","Asteraceae.subf..Cichorioideae"
10,143,538,1,20,62,3,172,1,1,41,4,5,1,1,52,18,5,1,1,6,6,2,4,44,1,20,5,1,1,32,6,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,286,343,0,8,9,0,103,0,1,15,2,1,0,7,65,15,3,0,1,0,3,0,0,37,0,27,2,0,5,4,11,6,8,1,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
40,572,1037,1,11,0,2,407,0,1,68,54,4,0,0,165,70,21,0,1,1,15,0,1,1,0,41,20,9,2,31,0,72,29,1,3,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0
60,858,409,0,5,1,0,140,0,0,12,19,4,0,3,42,30,8,0,1,0,4,0,0,1,0,12,2,7,6,35,3,48,20,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80,1147,272,0,5,2,1,70,0,0,24,10,0,0,1,48,13,5,0,1,0,0,0,0,0,0,11,3,2,0,10,0,49,15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100,1456,518,0,6,0,0,238,0,1,28,14,2,0,1,48,9,9,0,0,0,3,0,0,0,0,19,6,3,2,50,0,59,15,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0
120,1765,430,0,9,0,1,180,0,0,24,18,1,0,0,33,34,8,0,2,0,1,0,0,0,0,18,5,5,1,19,0,40,18,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2074,619,0,9,0,0,216,0,4,60,35,4,0,5,62,39,4,0,2,1,5,0,0,0,0,19,9,0,3,74,1,32,25,0,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
160,2383,734,0,17,1,1,347,0,0,30,33,6,0,0,95,42,17,0,2,0,5,0,1,0,0,14,13,3,0,45,0,37,13,0,3,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0
180,2692,487,0,7,0,1,195,0,0,22,16,3,0,1,47,36,9,1,1,0,2,0,0,0,0,17,5,4,2,72,0,29,12,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
200,3001,681,0,15,0,0,363,0,1,41,31,6,1,1,36,22,10,0,1,2,3,0,0,1,0,20,14,1,1,48,0,35,20,1,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
220,3310,505,1,6,1,2,198,0,0,44,27,1,0,1,28,27,8,1,1,0,9,0,1,0,0,10,5,0,1,85,0,30,12,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
240,3619,420,0,3,1,0,211,0,0,16,16,0,0,0,17,53,5,0,1,0,1,0,0,1,0,4,6,12,0,26,0,24,20,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
260,3928,320,0,7,0,0,119,0,0,6,23,2,0,0,29,24,7,0,0,0,4,0,0,1,0,4,2,3,4,54,0,19,9,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
280,4338,650,0,6,1,1,341,0,1,15,8,8,0,0,37,23,14,0,1,0,3,0,0,0,0,30,10,1,0,115,0,13,12,0,2,3,0,0,2,2,0,1,0,0,0,0,0,0,0,0
300,5449,1173,0,32,1,3,658,0,1,9,7,8,0,0,42,75,18,0,5,1,7,0,1,0,0,10,12,39,1,112,0,52,65,0,0,9,0,0,2,0,0,1,0,0,0,0,0,2,0,0
320,6561,744,0,11,1,0,297,0,4,4,1,6,0,0,18,30,22,1,1,0,13,0,1,0,0,4,10,6,0,238,0,30,40,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
340,NA,748,1,30,1,1,261,0,4,9,1,8,0,0,65,55,17,0,0,1,15,0,2,0,0,9,2,5,4,223,0,6,20,1,1,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0
360,NA,911,0,36,0,1,345,0,22,11,3,5,0,2,98,30,17,0,0,0,8,2,1,1,0,60,5,6,11,190,0,9,35,0,0,2,0,0,0,2,0,0,0,7,1,0,0,1,0,0
380,NA,495,0,14,1,1,146,0,34,0,0,2,0,0,71,36,15,0,0,1,5,0,1,10,0,34,0,4,10,80,0,1,25,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
