"sample.depths","sample.ages","Abies","Acer","Alnus.incana","Alnus.viridis.subsp..crispa","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum","Epilobium","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus","Huperzia.selago","Isoëtes","Juglans","Larix","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Lycopodium.undiff.","Myrica","Nuphar","Ostrya","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Poaceae","Polypodiaceae","Populus","Potamogeton","Pteridium","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rubus.chamaemorus","Rumex","Salix","Sparganium","Sphagnum","Thalictrum","Tsuga","Typha","Ulmus","Unknown"
0.5,0,0,2,6,120,4,14,6,0,114,0,4,0,4,10,2,0,0,12,0,0,0,0,0,0,8,2,4,0,0,0,0,0,1063,26,4,7,0,4,2,0,0,0,2,0,0,0,0,2,0,30,0,0,0,0,0
3,173,0,0,4,166,0,12,2,0,126,0,0,0,4,14,0,0,0,12,0,0,2,0,0,2,8,2,0,0,2,0,0,0,754,16,4,2,0,8,0,0,0,0,2,0,0,0,0,0,0,82,0,0,0,2,2
6,381,2,2,2,162,2,8,14,0,118,0,0,0,2,18,0,0,2,20,0,0,2,0,14,0,8,2,4,2,0,4,0,0,890,12,0,8,0,8,2,0,0,0,4,0,4,2,0,0,0,82,0,0,2,2,2
8,519,0,0,2,142,0,2,8,0,78,0,0,0,8,2,0,0,0,8,0,0,2,0,16,0,8,0,0,0,6,6,0,0,853,10,4,10,0,6,0,2,2,0,4,0,0,0,0,0,0,70,0,0,0,0,4
10,657,2,0,12,222,2,6,8,0,138,2,0,2,6,8,0,0,2,16,0,0,2,0,2,0,6,2,0,0,4,6,0,0,819,22,8,26,0,12,10,2,0,2,2,2,0,0,0,2,0,88,0,2,0,6,2
15,1003,0,0,16,198,2,0,10,2,118,0,0,0,6,10,0,0,0,28,0,2,2,0,30,0,2,0,4,2,8,4,2,0,890,20,4,8,0,4,4,0,6,0,0,0,0,0,0,2,0,78,0,0,0,0,2
20,1349,0,0,14,220,0,0,12,4,126,0,0,0,4,8,0,0,0,10,0,0,0,0,14,0,6,2,2,2,4,4,0,0,799,22,0,9,0,0,16,0,2,0,0,0,0,0,0,0,0,66,2,0,0,0,2
25,1685,2,0,4,232,0,2,10,2,128,0,0,0,0,8,0,0,0,18,0,0,6,0,56,0,2,0,4,0,4,8,2,2,632,6,0,4,0,8,10,0,0,0,2,0,0,0,0,0,0,74,0,0,0,0,4
29,1923,0,0,16,204,2,4,10,0,128,0,0,0,0,6,2,0,0,28,0,0,0,2,100,0,2,0,2,0,6,8,0,2,715,30,4,13,0,2,6,0,4,2,0,0,0,0,2,2,0,104,0,0,0,0,4
35,2279,0,0,6,310,0,0,12,2,130,0,0,0,0,8,0,0,4,16,0,0,2,0,30,0,2,4,8,0,10,6,2,0,828,24,0,8,0,8,0,0,4,0,0,0,0,0,0,2,0,56,0,0,0,2,2
40,2577,0,0,20,238,2,4,14,0,128,0,0,0,2,8,2,4,0,22,0,2,0,0,50,0,8,0,0,4,0,2,2,0,865,24,6,14,2,6,6,0,0,0,2,0,0,2,0,2,2,50,0,0,0,0,0
45,2874,0,0,10,262,0,2,8,2,96,0,0,0,4,6,0,0,4,22,0,0,0,0,42,0,0,0,2,0,12,8,0,4,662,4,0,2,2,8,4,0,0,0,4,0,0,0,0,0,0,48,0,0,0,2,0
50,3171,2,2,10,406,0,2,12,0,136,0,0,0,6,4,0,0,2,22,0,0,2,2,42,0,2,2,2,2,6,4,0,0,972,12,2,11,0,0,6,0,0,0,2,0,0,0,0,4,0,78,0,0,0,0,2
55,3468,0,0,4,288,0,6,12,2,144,0,0,2,4,4,0,0,0,14,0,0,0,0,28,0,4,2,4,0,4,10,0,0,817,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,2,0
60,3793,0,0,20,460,0,2,6,0,182,0,0,0,4,2,0,0,0,10,0,0,2,0,42,0,0,0,2,0,6,10,6,0,924,4,4,10,0,6,2,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,2
65,4117,0,0,10,364,0,2,16,0,198,0,0,0,2,10,0,0,2,16,0,0,0,0,22,0,2,2,4,0,6,2,2,0,715,4,0,6,0,2,2,0,0,0,2,0,0,0,0,2,0,36,0,0,0,0,8
70,4442,0,0,10,400,0,2,0,0,214,0,0,0,4,0,2,0,0,14,0,0,2,0,20,0,4,2,2,0,6,10,0,0,691,2,2,5,0,6,2,0,0,0,2,0,0,0,0,4,4,30,0,0,0,0,2
75,4767,0,0,14,482,0,4,10,0,224,0,0,0,0,16,0,0,0,8,0,0,0,0,14,0,8,0,0,2,4,2,0,0,623,6,4,6,0,4,2,0,2,0,4,0,2,0,0,0,0,36,0,0,0,0,2
80,5091,0,0,30,702,2,4,6,0,380,0,0,0,0,2,0,0,2,0,0,2,2,0,26,0,6,4,0,0,6,6,0,0,693,18,2,6,0,4,2,0,0,0,0,0,0,0,0,2,0,26,0,0,0,0,0
85,5416,0,0,4,558,2,4,4,2,312,0,0,0,0,6,0,0,2,6,2,0,2,0,8,0,2,0,2,0,6,8,2,2,608,4,2,2,0,2,0,0,0,0,4,0,0,0,0,6,0,8,0,0,0,0,8
90,5741,0,0,0,356,2,6,6,2,202,0,0,0,0,10,0,0,0,2,0,0,2,0,16,0,0,4,2,2,2,8,2,0,440,4,0,10,0,4,4,0,0,0,0,0,0,0,0,0,0,32,0,0,0,2,4
95,6065,0,0,2,384,4,2,6,0,162,0,0,0,4,10,0,0,0,8,0,0,0,0,8,0,6,0,4,0,6,0,0,0,547,2,0,4,0,2,4,0,0,0,2,0,0,0,0,0,0,24,0,0,2,2,4
100,6390,0,0,10,134,4,4,24,4,264,2,0,0,86,46,0,0,0,44,0,0,2,0,22,0,62,6,24,0,18,2,0,2,336,0,0,8,4,34,6,30,0,0,10,0,0,0,0,34,0,48,0,0,2,0,14
