"sample.depths","sample.ages","Eucalyptus.spike..number.counted.","Sample.volume..ml.","Eucalyptus.suspension..volume.added..ml.","Eucalyptus.suspension..concentration..grains.ml.","Picea","Pinus","Abies","Tsuga","Larix","Betula","Populus","Quercus","Ulmus","Acer","Fraxinus","Ostrya.Carpinus","Juniperus","Alnus","Salix","Corylus","Myrica","Cornus","Ericaceae.undiff.","Poaceae","Asteraceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Ambrosia","Artemisia","Aster","Solidago","Arctostaphylos","Chenopodiineae","Rosaceae.undiff.","Potentilla","Rubus","Dryas","Polygonum","Polygonaceae.undiff.","Rumex","Oxyria.digyna","Caryophyllaceae","Ranunculaceae","Brassicaceae","Saxifragaceae.undiff.","Saxifraga","Apiaceae","Scrophulariaceae","Plantaginaceae.undiff.","Plantago","Unknown","Cyperaceae","Lycopodiaceae.undiff.","Lycopodium","Selaginella","Equisetum","Pteridophyta.undiff.","Botrychium","Polypodiaceae.undiff.","Polypodium","Pteridium","Dryopteris","Sphagnum","Typha","Nymphaea","Nuphar","Myriophyllum","Isoëtes","Bryophyta.undiff.","Pediastrum"
0,-35,181,1,0,102700,196,51,0,0,0,31,0,0,0,0,0,0,0,14,3,0,0,0,122,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,211,0,0,0,0,0,0,0
5,102,187,1,0,102700,186,43,0,0,0,27,0,0,0,0,0,0,0,11,2,0,0,0,112,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0
10,238,381,1,0,102700,166,24,0,0,0,21,0,0,0,0,0,0,0,7,3,0,0,0,43,53,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,1221,0,0,0,0,0,0,0
15,373,231,1,0,102700,156,27,0,0,0,29,0,0,0,0,0,0,0,5,2,0,0,0,39,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0
20,509,225,1,0,102700,159,19,0,0,0,24,0,0,0,0,0,0,0,6,6,0,0,0,36,49,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,11,0,0,0,1,0,0,0,0,0,0,168,0,0,0,0,0,0,0
25,624,192,1,0,102700,186,55,0,0,0,26,0,0,0,0,0,0,0,7,4,0,0,0,31,7,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,95,0,0,0,0,0,0,0,0,0,0,671,0,0,0,0,0,0,0
30,717,387,1,0,102700,91,18,0,0,0,31,1,0,0,0,0,0,0,15,3,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,171,0,0,0,0,0,0,0,0,0,1,123,0,0,0,0,0,0,0
35,811,384,1,0,102700,139,17,0,0,0,19,0,0,0,0,0,0,0,9,6,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,109,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
40,904,269,1,0,102700,272,49,0,0,0,21,0,0,0,0,0,0,0,9,3,0,0,0,11,7,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,49,0,0,0,11,0,0,0,0,0,0,291,0,0,0,0,0,0,0
45,1317,189,1,0,102700,269,51,0,0,0,23,0,0,0,0,0,0,0,7,4,0,0,0,13,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,53,0,0,0,1,0,0,0,0,0,0,288,0,0,0,0,0,0,0
