"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ephedra.nevadensis.type","Equisetum","Ericales","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Galium","Humulus","Ilex.Nemopanthus","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Menyanthes.trifoliata","Myrica","Osmunda","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Populus","Pteridium","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown"
1,-24,3,0,10,12,2,6,0,0,0,0,78,0,0,0,0,2,0,0,13,0,1,1,0,1,10,1,0,0,0,0,1,0,0,0,0,1,6,83,213,0,0,0,4,4,3,11,0,0,0,0,0,6,0,0,0,1,0,3
10,11,14,0,0,3,0,4,0,0,0,2,117,1,0,0,0,0,0,0,12,1,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,43,84,91,0,1,0,0,0,2,6,0,0,1,0,0,4,0,0,1,0,1,1
20,51,10,0,0,9,0,22,0,0,0,0,62,0,0,0,1,0,0,0,3,1,0,1,0,0,3,2,0,0,0,0,3,2,0,0,0,0,34,73,146,0,0,0,2,1,4,3,0,1,1,0,0,34,0,0,2,0,2,0
30,90,10,1,2,8,0,5,0,0,1,0,74,0,0,0,3,0,0,0,4,1,0,1,3,0,17,2,0,0,0,0,1,0,0,0,0,2,40,138,108,0,0,0,0,0,6,5,0,0,21,0,0,14,0,0,2,0,2,2
40,413,13,1,0,12,1,0,0,0,0,0,79,1,0,0,5,1,1,0,33,3,1,0,0,0,2,6,0,0,0,0,5,2,0,0,1,4,43,62,152,0,0,0,0,0,2,7,0,0,0,0,0,20,0,0,3,0,4,3
50,1020,6,0,4,11,0,1,0,8,0,0,85,0,0,0,12,0,0,0,1,3,0,2,0,0,3,2,0,0,0,1,7,1,0,0,0,6,27,54,145,0,0,0,0,0,0,8,0,0,1,0,0,4,0,0,1,0,5,1
60,1626,2,0,1,13,0,0,0,7,1,0,97,0,0,0,3,0,0,0,2,4,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,42,71,215,0,0,0,0,1,2,9,0,0,4,0,0,4,0,0,2,0,3,3
70,1798,2,0,3,6,0,0,0,0,1,0,74,0,0,0,1,0,0,0,1,2,0,2,0,0,0,4,0,0,0,0,1,0,1,0,0,2,8,80,195,0,0,1,0,0,0,10,0,0,2,0,0,33,0,1,1,0,0,2
80,1971,5,0,2,9,1,0,0,0,0,0,130,1,0,0,2,0,0,0,2,2,0,0,0,0,1,2,0,0,0,0,2,1,0,0,0,2,19,88,186,0,0,0,2,0,1,11,0,0,2,0,0,4,0,0,7,0,3,2
90,2143,5,0,1,10,0,0,0,0,1,0,71,0,1,0,4,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,2,0,0,0,0,1,21,51,207,0,0,0,0,1,2,10,0,0,0,0,0,22,0,0,2,0,1,1
