"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Herbs.undiff.","Picea","Salix","Sarcobatus.vermiculatus","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Alnus","Pinus","Populus","Poaceae","Asteraceae.subf..Cichorioideae","Trees.undiff.","Cupressaceae","Polygonaceae.undiff.","Rumex","Rosaceae","Ulmus","Corylus","Elaeagnus","Ostrya.Carpinus","Fraxinus","Quercus","Plantago","Shepherdia"
0,-3,254,1,4,70,10,70,7,1,5,7,1,2,5,7,46,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,7,355,0,3,115,2,80,12,0,6,5,2,0,2,6,74,3,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20,18,370,0,5,122,8,84,19,1,3,14,0,1,5,10,55,3,36,0,0,1,1,1,1,0,0,0,0,0,0,0,0
30,28,385,0,2,123,10,110,6,12,5,7,2,0,3,11,52,4,34,2,0,0,0,0,2,0,0,0,0,0,0,0,0
50,49,278,0,3,83,4,108,6,3,3,8,0,0,1,2,32,0,20,0,0,1,1,1,2,0,0,0,0,0,0,0,0
60,60,327,0,2,136,6,43,18,4,2,7,2,0,7,11,42,1,44,0,0,0,0,0,2,0,0,0,0,0,0,0,0
70,96,323,1,8,174,8,6,7,2,1,5,2,0,11,7,48,0,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0
110,341,326,1,2,149,10,15,10,5,10,2,2,0,15,9,62,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,830,338,0,13,173,8,21,18,0,2,3,0,1,10,7,37,0,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0
270,1320,257,0,3,126,10,12,7,3,4,3,3,1,8,13,33,0,29,0,0,0,0,0,0,2,0,0,0,0,0,0,0
350,1810,342,0,4,125,20,15,13,1,6,7,0,0,5,6,61,0,77,0,0,0,0,0,0,0,1,1,0,0,0,0,0
430,2300,287,0,9,120,7,16,23,4,4,12,2,0,9,8,34,1,33,0,0,0,2,2,0,0,1,0,0,0,0,0,0
510,2790,387,0,5,167,8,15,28,2,7,4,0,0,6,7,73,0,63,0,0,0,0,0,1,0,1,0,0,0,0,0,0
590,3279,314,0,2,121,25,19,3,1,2,7,0,0,7,17,58,0,51,0,0,0,0,0,0,0,0,0,1,0,0,0,0
670,3769,386,0,3,157,7,42,34,3,6,10,0,0,7,8,35,2,69,0,0,0,0,0,1,1,1,0,0,0,0,0,0
750,4259,338,0,13,129,10,14,35,3,7,4,1,0,7,14,48,0,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0
790,4504,330,0,4,192,16,19,13,9,4,4,0,1,7,9,30,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,4749,339,1,4,151,11,17,26,3,4,4,3,1,9,10,64,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0
870,4994,320,0,15,123,11,23,21,2,5,7,0,0,8,9,57,0,37,1,0,0,0,0,0,0,0,0,0,1,0,0,0
910,5239,266,1,4,0,7,42,22,2,7,4,2,0,3,21,88,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950,5484,368,0,28,135,23,33,22,5,4,10,3,1,20,9,42,0,31,0,0,0,0,0,2,0,0,0,0,0,0,0,0
990,5729,340,0,13,113,12,20,20,2,4,3,2,0,14,12,109,0,14,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1030,5974,372,0,6,127,8,47,29,5,5,3,1,0,17,20,53,0,44,0,0,0,2,2,0,0,1,2,0,0,0,0,0
1070,6218,371,0,1,172,15,39,17,0,9,3,4,0,5,16,63,1,24,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1120,6525,357,1,4,160,4,29,25,1,5,7,3,0,2,12,44,0,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1160,6769,320,0,14,149,12,51,10,0,8,2,0,0,14,15,32,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,7014,304,0,26,97,8,40,26,0,5,0,1,0,10,12,34,0,38,0,0,0,2,2,0,0,0,0,0,0,1,0,2
1210,7076,378,1,36,99,13,56,37,1,21,6,0,1,6,12,58,0,29,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1220,7137,337,0,67,57,7,66,21,1,10,2,1,0,3,15,53,0,29,0,0,0,2,2,0,0,0,0,0,0,1,0,0
1230,7198,294,0,11,88,2,53,22,1,8,1,0,0,6,13,47,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1240,7259,374,0,22,121,2,57,38,1,7,4,3,0,6,11,57,0,42,0,0,0,1,1,0,0,0,0,0,0,0,0,1
1250,7321,356,1,56,77,2,56,38,2,10,1,4,1,7,10,46,4,36,2,0,0,0,0,0,0,0,0,0,0,0,0,3
1258,NA,382,0,15,92,11,88,29,1,22,2,0,0,4,16,54,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1262,NA,352,0,20,89,5,68,29,0,15,1,0,0,9,11,46,2,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
