"sample.depths","sample.ages","Abies","Acer.undiff.","Ambrosia.type","Betula","Carya","Corylus","Cyperaceae","Ericaceae","Fagus","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Tsuga","Alnus","Myrica","Poaceae","Acer.rubrum","Fraxinus.nigra.type","Salix","Amaranthaceae","Ilex","Tilia","Ulmus","Artemisia","Cannabaceae","Fraxinus.pennsylvanica.type","Nyssa","Cornus","Platanus","Asteraceae.undiff.","Pinus.subg..Pinus","Castanea","Juglans.cinerea","Rosaceae","Thalictrum","Juglans.nigra","Nemopanthus","Ranunculus","Rhamnaceae.Vitaceae.undiff.","Sambucus","Liliaceae","Liquidambar","Lamiaceae","Polygonaceae.undiff.","Arceuthobium","Vitis","Epilobium"
10,34,0.0432432432432432,0.00540540540540541,0.0918918918918919,0.194594594594595,0.00540540540540541,0.027027027027027,0.0216216216216216,0.0108108108108108,0.0432432432432432,0.00540540540540541,0.4,0.00540540540540541,0.0324324324324324,0.0216216216216216,0.00540540540540541,0.0432432432432432,0.0216216216216216,0.0162162162162162,0.00540540540540541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,69,0.0179372197309417,0.0134529147982063,0.0403587443946188,0.291479820627803,0,0.0134529147982063,0.0269058295964126,0.0403587443946188,0.0852017937219731,0,0.233183856502242,0.00448430493273543,0.0717488789237668,0.0179372197309417,0,0.0986547085201794,0,0.0224215246636771,0.00448430493273543,0.00448430493273543,0.00448430493273543,0.00448430493273543,0.00448430493273543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,103,0.0163934426229508,0.0218579234972678,0.00546448087431694,0.311475409836066,0,0,0.0109289617486339,0.0273224043715847,0.098360655737705,0.0491803278688525,0.185792349726776,0.00546448087431694,0.0546448087431694,0,0,0.114754098360656,0.0327868852459016,0.0163934426229508,0,0,0,0,0,0.00546448087431694,0.0163934426229508,0.0273224043715847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,325,0.027972027972028,0.0314685314685315,0.00174825174825175,0.274475524475524,0.00174825174825175,0.006993006993007,0.0402097902097902,0.0524475524475524,0.0821678321678322,0.013986013986014,0.243006993006993,0.006993006993007,0.0402097902097902,0.0192307692307692,0,0.097902097902098,0.0034965034965035,0.0227272727272727,0.00174825174825175,0.00174825174825175,0.0034965034965035,0.00174825174825175,0,0,0.00174825174825175,0.006993006993007,0.00174825174825175,0.00174825174825175,0.00174825174825175,0.00874125874125874,0.00174825174825175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,546,0.0198300283286119,0.0254957507082153,0.0056657223796034,0.345609065155807,0.0028328611898017,0.0028328611898017,0,0.0481586402266289,0.093484419263456,0.0254957507082153,0.0339943342776204,0.0198300283286119,0.0736543909348442,0.0169971671388102,0,0.254957507082153,0.0056657223796034,0.0028328611898017,0,0.0028328611898017,0,0.0028328611898017,0,0,0,0.0113314447592068,0,0,0,0.0028328611898017,0,0.0028328611898017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,768,0.015625,0.0104166666666667,0,0.296875,0.00520833333333333,0,0.0104166666666667,0.0520833333333333,0.130208333333333,0.03125,0.0729166666666667,0.0208333333333333,0.0625,0.0364583333333333,0,0.213541666666667,0.00520833333333333,0.0104166666666667,0,0,0,0,0,0.0104166666666667,0,0.0104166666666667,0,0,0,0.00520833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,989,0.0260586319218241,0.0162866449511401,0.00325732899022801,0.159609120521173,0.00325732899022801,0,0.00651465798045603,0.00651465798045603,0.120521172638436,0.00651465798045603,0.218241042345277,0.0162866449511401,0.0716612377850163,0.0390879478827362,0,0.241042345276873,0.00977198697068404,0.0228013029315961,0,0.00325732899022801,0.00325732899022801,0,0,0,0,0.00651465798045603,0,0,0,0.00977198697068404,0,0.00325732899022801,0.00325732899022801,0.00325732899022801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1211,0.0101522842639594,0.0355329949238579,0,0.243654822335025,0,0,0.050761421319797,0.0761421319796954,0.116751269035533,0.0406091370558376,0.0812182741116751,0.0203045685279188,0.0304568527918782,0.0456852791878173,0.0050761421319797,0.152284263959391,0.0152284263959391,0.0152284263959391,0,0,0.0050761421319797,0.0050761421319797,0,0,0,0.0253807106598985,0,0,0,0.0101522842639594,0,0,0,0.0050761421319797,0.0101522842639594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1701,0.0167597765363128,0.0223463687150838,0.00558659217877095,0.251396648044693,0.0167597765363128,0,0.0223463687150838,0.0111731843575419,0.145251396648045,0.0111731843575419,0.0167597765363128,0.0502793296089385,0.0223463687150838,0.0111731843575419,0,0.318435754189944,0,0.0223463687150838,0.00558659217877095,0,0.00558659217877095,0,0,0,0,0.00558659217877095,0,0,0.00558659217877095,0.0167597765363128,0.0111731843575419,0,0,0,0,0.00558659217877095,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2191,0.013262599469496,0.026525198938992,0.0026525198938992,0.188328912466843,0.0026525198938992,0,0.114058355437666,0.0238726790450928,0.0954907161803713,0.00530503978779841,0.0159151193633952,0.0663129973474801,0.0848806366047745,0.0291777188328912,0.0026525198938992,0.249336870026525,0.0026525198938992,0.0106100795755968,0,0,0,0.0106100795755968,0,0,0.00530503978779841,0.0238726790450928,0,0,0.0026525198938992,0.00530503978779841,0,0.00795755968169761,0,0.00530503978779841,0,0,0.00530503978779841,0,0,0,0,0,0,0,0,0,0,0,0,0
