"sample.depths","sample.ages","Abies.balsamea","Abies.undiff.","Acer.negundo","Acer.nigrum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis.subsp..crispa","Andromeda","Arctostaphylos","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus.canadensis","Cornus.sericea","Cornus.suecica","Corylus","Cupressaceae","Elaeagnus","Empetrum.type","Ephedra","Ericaceae.undiff.","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica","Hippophae.rhamnoides","Ilex","Juglans","Larix","Ledum","Liquidambar","Morus","Myrica","Ostrya","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Populus.balsamifera","Populus.tremuloides","Prunus","Quercus","Rhus","Ribes.undiff.","Ribes.aureum","Rubus","Salix","Sambucus","Shepherdia.canadensis","Sorbus","Taxus","Tilia","Tsuga.canadensis","Ulmus","Vaccinium.type","Viburnum","Allium","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Astragalus","Brassicaceae","Campanulaceae","Caryophyllaceae.undiff.","Chenopodiaceae","Convolvulus","Cyperaceae.undiff.","Dipsacaceae","Dryas","Epilobium.latifolium","Euphorbiaceae","Fabaceae.undiff.","Fragaria","Galium","Gentianaceae","Geum","Humulus","Hypericum","Iris","Iva","Juncaceae","Lamiaceae.undiff.","Liliaceae","Linum","Lotus","Lysimachia","Moneses.uniflora","Oenothera","Oxalis","Papaver.argemone","Parnassia","Plantago","Poaceae","Polygonaceae.undiff.","Polygonum.aviculare.type","Polygonum.viviparum.type","Polygonum.type","Potentilla","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex.acetosa","Rumex.type.undiff.","Rumex.Oxyria.digyna.undiff.","Sanguisorba","Saxifraga.cernua","Saxifraga.stellaris","Saxifragaceae.undiff.","Scrophularia","Solanum","Spergula","Stachys","Thalictrum","Trientalis","Urtica","Adiantum","Athyrium","Botrychium","Cheilanthes","Cystopteris","Dennstaedtia","Diphasiastrum.complanatum","Dryopteris.carthusiana","Dryopteris.cristata","Dryopteris.type.undiff.","Equisetum","Huperzia.selago.H..lucidula","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Matteuccia.struthiopteris","Ophioglossum","Osmunda.cinnamomea","Osmunda.regalis","Polypodium","Polystichum","Pteridium.aquilinum","Selaginella","Thelypteris.palustris","Sphagnum","Brasenia.schreberi","Caltha","Drosera","Hippuris.vulgaris","Hottonia.type.undiff.","Isoëtes","Lemnaceae","Menyanthes.trifoliata","Myriophyllum.alterniflorum","Myriophyllum.sibiricum.type","Nuphar","Nymphaea","Potamogeton.natans","Rhynchospora.alba","Sagittaria","Samolus","Sparganium","Stuckenia.cf..S..pectinata","Typha","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..degraded.","Indeterminable..hidden.","Unknown.spore","Unknown.undiff."
380,NA,4,5,0,1,2,0,2,1,6,23,0,0,0,0,77,0,3,0,0,0,0,0,2,21,0,0,0,0,4,8,0,0,2,0,0,0,0,0,0,4,44,1,100,78,1,5,1,0,66,0,0,0,0,0,0,0,0,0,0,86,12,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,3,4,0,2,2,0,15,0,2,0,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,3,0,0,0,0,0,1,9,3,6,0,6,0,1
390,NA,6,6,0,0,6,0,0,0,6,34,0,9,0,0,92,0,0,0,0,0,0,0,5,11,0,0,0,0,0,4,0,0,3,0,0,0,1,0,7,2,34,4,118,93,2,0,2,0,58,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,1,0,1,7,1,27,3,0,0,2,0,3,0,0,0,1,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,3,0,4,3,0
400,NA,12,14,0,0,6,0,0,0,8,41,0,14,0,0,131,3,0,0,0,2,1,0,11,13,0,0,0,1,0,6,0,0,1,0,0,0,0,0,15,7,28,7,90,73,3,7,4,0,38,1,0,0,0,1,0,0,0,0,0,6,2,0,2,0,0,0,0,1,0,0,NA,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,2,4,0,27,1,0,0,4,0,1,0,0,0,1,0,0,2,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,13,5,0,7,3,1
410,NA,12,16,0,0,0,1,0,0,11,7,0,1,0,0,96,0,0,0,0,0,0,0,12,25,0,0,0,0,0,5,0,0,0,0,0,0,0,2,7,10,24,6,102,78,1,12,14,0,36,0,0,0,0,3,0,0,0,0,0,5,4,0,0,0,3,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,1,5,0,15,0,1,2,1,0,0,0,0,1,1,0,0,5,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,13,1,1,4,10
415,NA,16,20,0,0,2,0,0,0,2,1,0,9,0,0,169,0,1,0,0,3,0,0,9,17,0,0,0,0,2,2,1,0,0,0,0,0,0,0,4,1,33,1,142,66,2,29,2,0,27,0,0,0,0,2,1,0,0,0,0,0,6,0,0,0,0,1,6,9,0,0,0,1,0,0,1,0,11,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,6,15,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,3,3,0,0,0,1,4,0,39,4,1,0,2,1,1,0,0,1,0,4,0,8,0,2,2,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,4,2,0,0,0
420,NA,4,6,0,2,0,0,0,0,2,28,0,24,0,0,292,0,0,0,0,0,0,0,9,30,0,0,0,2,0,8,3,0,0,0,0,0,0,0,14,7,22,5,33,15,2,21,11,0,35,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,1,0,0,1,0,4,0,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,7,3,0,26,1,0,1,5,0,1,0,0,0,1,0,0,5,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,1,17,8,0,2,3,1
423,NA,25,31,0,0,5,0,0,0,5,3,2,38,0,0,352,1,0,0,0,0,0,2,10,28,0,0,0,3,2,6,2,0,1,0,0,0,0,0,21,11,44,3,65,28,0,0,6,0,19,0,0,0,0,10,1,0,0,0,0,1,5,1,0,0,3,0,1,7,0,0,0,0,0,0,1,1,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6,7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,1,0,3,5,0,103,9,1,0,13,3,1,0,0,1,0,3,0,13,1,1,3,0,0,0,0,0,36,0,0,1,5,0,0,0,0,0,0,0,0,1,8,0,6,1,1,0,0
425,NA,16,20,0,0,0,0,0,0,0,1,2,19,0,0,151,0,0,0,0,0,0,0,11,28,0,0,0,4,0,8,2,0,0,0,0,0,0,0,10,5,38,10,38,24,0,32,5,0,30,0,0,0,0,9,2,0,0,2,0,2,2,1,0,0,0,0,7,9,0,0,0,0,0,0,0,1,10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,2,0,3,10,0,112,2,1,0,8,2,0,0,0,0,0,1,0,23,0,2,3,0,1,0,0,0,19,0,1,0,3,0,0,1,0,0,0,1,0,0,7,4,6,0,3,1,0
427,NA,24,32,0,0,1,0,0,0,3,1,1,16,0,0,141,0,2,0,0,1,1,0,13,51,0,0,0,7,0,7,0,0,0,0,0,0,0,0,33,6,52,19,41,46,0,44,10,0,20,0,0,0,0,15,2,0,0,0,0,4,5,1,0,0,0,0,3,14,0,0,0,0,0,0,0,0,12,1,0,2,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,3,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,11,8,0,184,18,2,1,17,5,0,0,0,0,1,5,0,43,0,2,4,0,0,0,0,0,31,1,0,2,0,0,0,2,0,0,0,0,0,1,10,0,7,2,0,2,0
429,NA,26,34,0,0,1,0,1,0,2,3,2,14,0,1,95,0,1,1,0,1,1,1,9,64,0,NA,0,13,0,6,1,0,2,1,2,0,0,1,25,10,54,8,20,22,0,35,8,0,9,0,0,0,0,10,5,0,0,0,0,1,5,0,0,0,2,0,1,13,0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,3,0,6,3,0,177,9,0,1,13,4,0,0,0,0,0,3,0,12,0,8,2,1,0,0,0,0,39,0,0,0,1,0,0,1,0,0,1,0,0,0,4,0,5,3,3,2,0
