"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Carya","Caryophyllaceae","Celtis","Cephalanthus","Corylus","Cyperaceae","Diphasiastrum.complanatum","Fabaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Galium","Humulus.Cannabis.sativa","Indeterminable","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Liquidambar","Lycopodium.clavatum","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.lanceolata","Plantago.major","Plantago.undiff.","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae","Rumex","Sagittaria","Salix","Sambucus","Selaginella.selaginoides","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica"
10,NA,0,0,1,0,5,0,3,52,0,0,3,3,0,3,1,14,0,0,1,1,38,0,0,4,2,6,0,0,41,1,2,0,0,0,0,0,1,0,1,0,3,0,2,3,22,5,4,0,5,15,2,1,1,213,2,2,0,1,0,0,0,3,3,0,0,0,7,0,1,0,0
20,NA,0,0,0,0,0,2,3,16,1,0,2,3,0,11,18,10,0,0,0,3,43,0,0,14,8,1,0,0,71,1,1,0,0,3,1,0,0,1,8,0,7,5,3,0,23,0,0,3,3,13,4,0,0,327,1,0,0,2,0,0,0,1,0,1,0,0,14,2,0,0,0
30,NA,0,0,0,0,3,2,2,15,0,0,5,2,0,6,18,16,0,0,0,1,54,0,1,3,2,1,0,0,46,3,1,0,0,1,0,1,0,2,1,1,3,1,1,0,33,0,0,0,3,12,0,1,0,252,1,4,0,0,0,0,0,1,0,1,1,1,16,7,2,0,0
50,NA,0,0,1,1,6,6,3,5,0,0,1,5,0,2,10,11,1,0,0,0,34,0,0,7,0,7,0,0,45,3,2,0,1,0,0,0,0,4,0,1,4,2,4,1,28,0,0,0,2,26,0,0,0,238,0,1,0,3,0,0,0,1,1,2,0,0,7,1,7,0,0
60,NA,0,0,0,0,1,0,1,11,0,0,3,2,0,6,8,19,0,1,0,1,45,0,0,13,7,3,1,0,84,4,3,0,1,1,0,0,1,5,1,1,8,0,8,1,18,0,0,0,1,10,4,5,1,224,1,6,0,6,1,0,0,1,0,4,0,2,11,1,4,0,0
80,NA,0,0,0,0,3,2,3,7,0,0,1,5,0,6,8,27,0,0,0,2,48,0,0,9,1,6,0,1,72,7,2,0,0,2,0,0,0,6,4,3,7,2,1,0,24,0,0,0,8,9,7,5,0,340,3,2,27,3,0,0,0,0,1,0,0,3,30,8,1,0,0
100,3408,0,0,0,0,3,2,8,18,0,0,4,1,0,5,38,16,0,0,6,1,20,0,0,0,3,5,0,0,40,2,1,0,0,0,0,0,0,5,0,2,6,2,3,1,21,0,0,0,5,12,1,0,1,279,2,21,2,1,0,1,0,1,0,0,0,0,12,0,6,0,0
110,3735,0,0,0,0,3,1,2,10,0,0,5,2,0,3,30,27,0,0,0,1,36,0,0,4,5,5,0,0,12,1,0,0,0,0,0,0,2,0,0,1,5,0,5,2,26,0,0,0,0,19,0,0,1,248,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0
130,4388,0,0,0,0,3,5,4,7,0,0,9,0,0,4,6,17,0,0,0,3,24,0,0,4,4,5,0,0,70,4,4,0,0,2,0,0,1,1,0,0,3,0,3,1,30,0,0,0,7,11,0,1,0,318,0,0,1,0,0,0,0,0,0,1,0,0,12,5,0,0,0
150,5042,0,0,0,0,1,3,11,25,0,0,0,4,0,7,6,32,0,0,0,2,27,1,0,5,1,2,0,0,99,1,1,1,0,2,0,0,0,3,0,2,4,4,2,0,17,0,0,0,9,10,3,7,0,410,0,0,1,2,0,0,0,1,0,0,1,0,16,0,2,0,0
