"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Corylus","Cupressaceae","Cyperaceae","Picea","Quercus","Rumex","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Pinus","Amaranthaceae","Poaceae","Ericaceae","Polygonaceae.undiff.","Thalictrum","Fraxinus","Myrica","Acer.negundo","Larix","Ostrya.Carpinus","Shepherdia","Populus"
5,360,1306,8,69,205,9,5,35,279,10,1,26,11,4,124,478,11,31,0,0,0,0,0,0,0,0,0,0
15,1058,1779,10,103,324,8,1,25,328,10,0,34,20,1,151,687,20,45,2,1,7,1,1,0,0,0,0,0
25,1755,2458,11,113,389,13,0,23,493,17,1,38,19,1,204,1045,27,50,1,0,6,1,2,2,1,1,0,0
35,2453,2070,13,99,345,9,4,40,398,23,0,48,15,5,164,811,19,63,0,1,5,1,4,0,0,2,1,0
45,3151,1333,17,77,209,8,3,27,231,12,2,26,9,2,100,551,15,30,0,0,8,1,4,0,0,1,0,0
55,3849,1373,10,77,274,9,3,30,257,12,0,27,10,1,106,496,19,33,0,2,3,0,1,0,0,3,0,0
65,4547,1403,9,75,240,6,2,38,121,8,0,31,13,4,94,701,20,32,0,2,2,0,3,0,0,0,2,0
75,4902,2364,18,86,333,11,2,101,232,10,0,42,19,2,134,1234,26,104,0,2,0,1,4,0,0,1,2,0
85,5258,2615,24,172,295,13,9,95,190,11,1,71,20,2,190,1350,40,123,0,0,6,0,3,0,0,0,0,0
95,5613,1260,13,90,129,7,7,128,61,8,1,31,11,3,104,549,27,68,0,0,13,2,0,2,0,2,3,1
105,5969,3159,23,109,231,80,80,31,176,130,1,190,17,10,1000,917,34,97,0,0,9,10,2,0,0,10,2,0
115,6325,1835,36,159,251,10,15,120,208,13,2,47,30,3,156,551,46,172,0,0,4,3,2,0,0,3,1,3
125,6680,800,26,87,93,7,15,63,108,7,1,41,8,0,76,147,35,83,0,0,2,0,0,0,0,0,1,0
135,7036,791,38,89,90,4,12,52,116,3,1,31,13,1,50,145,46,92,0,0,0,1,4,1,0,1,1,0
145,7182,1046,59,143,117,7,14,40,128,14,1,39,23,2,80,173,50,138,0,0,4,1,2,0,0,6,3,2
155,7327,745,54,113,62,3,30,81,60,4,0,18,20,4,58,83,45,87,0,1,0,1,3,1,0,5,1,11
165,7473,632,40,96,55,2,30,73,37,6,0,21,10,3,46,42,54,107,0,1,2,0,3,0,0,2,2,0
175,7618,825,46,111,80,3,35,97,65,4,0,25,14,3,48,65,50,162,0,1,0,0,4,4,0,3,3,2
185,7764,1070,77,133,110,2,67,147,122,8,1,48,19,1,53,70,80,111,0,0,2,1,5,1,0,5,2,5
195,7910,1431,47,184,204,4,89,271,177,5,2,60,24,1,37,129,70,109,0,0,5,0,5,0,1,1,3,3
200,7982,443,34,93,41,0,41,26,76,1,0,16,4,0,7,53,28,16,0,2,2,0,0,0,0,0,3,0
205,8055,303,21,58,31,1,22,28,33,0,0,10,3,2,4,28,26,24,0,2,0,1,1,0,1,2,1,4
210,NA,413,56,90,26,1,25,19,45,1,0,9,6,0,1,67,49,9,0,2,2,1,0,0,0,1,3,0
215,NA,368,15,42,22,1,26,46,70,1,0,16,7,0,4,49,23,33,0,2,0,0,1,0,1,2,0,7
220,NA,234,3,31,4,0,3,23,23,0,0,2,3,0,0,99,18,20,0,2,0,0,0,0,0,0,3,0
