"sample.depths","sample.ages","Acer.negundo","Acer.rubrum","Acer.saccharum","Acer.undiff.","Ailanthus","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae.type","Caprifoliaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Cyperaceae","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus","Galium","Indeterminable","Juglans","Larix","Liliaceae","Liquidambar","Lycopodium","Morus","Myrica","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.lanceolata","Plantago.major","Platanus","Poaceae.undiff.","Populus","Prunus.type","Quercus","Ranunculus","Rhamnus","Rosaceae.undiff.","Rumex","Salix","Sambucus","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown","Unknown..monolete..undiff.","Unknown..trilete..undiff.","Viburnum","Vitis","Zea"
0.5,-34,0,20,2,0,2,26,2,40,0,4,0,2,0,144,0,0,12,14,0,0,0,0,16,0,18,0,0,14,28,0,66,2,2,0,2,0,0,0,0,0,2,8,2,26,6,38,0,0,4,26,4,0,276,0,0,0,10,2,0,0,0,0,26,0,2,2,0,4,2,2,0
4.5,-19,0,2,14,6,0,34,0,62,0,0,0,2,0,130,2,0,12,24,0,0,2,0,20,2,18,2,2,12,8,0,60,2,0,0,4,0,2,2,0,4,6,2,0,18,6,40,6,0,4,26,4,0,224,0,0,0,2,0,0,0,0,0,20,0,4,2,6,2,0,0,2
7.5,-8,0,12,4,2,0,28,2,82,2,2,0,6,0,130,0,2,10,26,4,0,0,2,10,2,116,0,0,16,12,2,0,4,0,0,0,0,0,10,0,2,6,8,2,22,18,60,2,0,0,18,6,2,252,0,0,0,20,2,0,2,0,0,38,2,8,0,4,10,0,0,0
11.5,6,6,12,4,0,0,38,0,82,2,2,2,6,0,112,2,0,18,40,0,2,2,0,12,2,120,0,0,18,14,0,68,10,0,2,0,0,2,4,0,0,14,8,6,16,6,68,0,2,2,18,6,0,226,0,0,0,20,0,2,2,2,0,36,0,6,4,4,12,0,0,0
13.5,14,0,6,8,0,0,50,2,82,4,0,0,2,0,102,4,0,14,34,2,2,0,0,4,4,104,2,0,22,12,0,0,8,0,0,6,0,2,10,0,2,2,18,8,20,8,46,4,2,2,50,0,0,318,0,0,0,28,2,0,0,0,0,36,2,12,0,8,6,2,0,6
17.5,28,0,4,4,6,0,20,0,84,2,2,0,0,0,148,0,0,4,48,0,0,0,0,8,6,134,0,2,26,8,0,80,8,0,0,2,0,0,0,0,0,4,10,4,18,8,56,4,0,6,30,0,0,262,0,0,0,20,0,2,0,2,2,28,0,6,6,10,14,0,2,4
19.5,36,2,4,8,4,0,30,0,76,0,0,0,2,0,110,2,0,16,16,0,0,0,0,4,2,128,6,0,18,10,0,72,2,0,0,4,2,2,0,0,2,0,22,4,48,16,76,0,0,2,24,0,0,206,2,0,0,14,0,0,0,0,0,44,2,16,4,0,0,0,2,0
23.5,50,0,8,14,0,0,26,2,76,0,2,0,2,0,90,12,0,14,72,2,2,0,10,12,2,174,2,0,22,12,0,70,2,0,0,0,0,0,4,0,0,0,0,12,52,22,58,4,0,0,34,0,0,226,0,0,4,18,0,0,0,0,2,46,0,4,2,4,10,0,0,0
25.5,58,0,2,8,0,0,22,0,34,0,2,0,4,0,80,2,0,22,42,0,0,0,2,6,0,0,0,0,32,14,0,58,2,0,0,0,0,0,2,0,2,4,8,4,38,10,58,2,0,2,10,0,0,232,0,0,0,14,0,0,0,0,2,72,2,6,0,2,12,0,0,2
31.5,80,0,0,8,0,0,30,0,40,0,0,0,0,0,90,0,0,14,34,0,0,2,0,0,0,0,4,0,34,0,0,82,2,0,0,2,0,0,8,0,0,0,16,4,42,22,82,0,0,4,16,0,0,238,0,0,0,16,0,0,0,0,0,68,0,10,0,4,10,2,0,0
