"sample.depths","sample.ages","Abies","Acer.saccharum.type","Acer.rubrum","Alnus.viridis.type","Alnus.undiff.","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Quercus","Rumex","Tsuga","Ulmus","Fraxinus","Pinus","Rosaceae","Larix","Platanus","Juglans","Myrica","Populus","Carya","Herbs.undiff.","Salix","Acer.undiff.","Sarcobatus.vermiculatus","Corylus","Ericaceae","Shrubs.undiff.","Tilia","Acer.saccharinum.type","Taxus","Morus","Trees.undiff."
0,105,0.0152838427947598,0.0283842794759825,0.00436681222707424,0.0327510917030568,0.00655021834061135,0.0720524017467249,0.0109170305676856,0.255458515283843,0.0109170305676856,0.0393013100436681,0.0131004366812227,0.00218340611353712,0.0218340611353712,0.0545851528384279,0.152838427947598,0.0196506550218341,0.00218340611353712,0.0152838427947598,0.0109170305676856,0.00873362445414847,0.205240174672489,0.0174672489082969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,154,0.00854700854700855,0.0136752136752137,0,0.0153846153846154,0.00683760683760684,0.00683760683760684,0.00683760683760684,0.208547008547009,0.00170940170940171,0.0136752136752137,0.0170940170940171,0.0102564102564103,0.0564102564102564,0.052991452991453,0.218803418803419,0.0290598290598291,0,0.0290598290598291,0.0136752136752137,0.00512820512820513,0.27008547008547,0,0.00512820512820513,0.00341880341880342,0.00170940170940171,0.00341880341880342,0.00170940170940171,0,0,0,0,0,0,0,0,0,0,0,0,0
25,231,0.0089126559714795,0.0160427807486631,0,0.0053475935828877,0.0071301247771836,0.0017825311942959,0.0035650623885918,0.219251336898396,0,0.0249554367201426,0.0106951871657754,0.0071301247771836,0.0249554367201426,0.0499108734402852,0.242424242424242,0.0285204991087344,0,0.0285204991087344,0.0035650623885918,0.0017825311942959,0.299465240641711,0,0.0035650623885918,0.0017825311942959,0,0,0.0035650623885918,0.0017825311942959,0.0017825311942959,0.0035650623885918,0,0,0,0,0,0,0,0,0,0
50,370,0.014519056261343,0.0127041742286751,0.00362976406533575,0.00362976406533575,0.00181488203266788,0.00544464609800363,0.00181488203266788,0.188747731397459,0.00181488203266788,0.014519056261343,0.014519056261343,0.00362976406533575,0.0344827586206897,0.0471869328493648,0.268602540834846,0.0199637023593466,0,0.0308529945553539,0.00181488203266788,0.00181488203266788,0.317604355716878,0.00181488203266788,0.00362976406533575,0,0,0.00181488203266788,0,0,0.00362976406533575,0,0,0,0,0,0,0,0,0,0,0
75,522,0.00342465753424658,0.0102739726027397,0,0.011986301369863,0.00342465753424658,0.00171232876712329,0.00513698630136986,0.24486301369863,0,0.0102739726027397,0.00513698630136986,0.00684931506849315,0.0273972602739726,0.0530821917808219,0.253424657534247,0.0273972602739726,0,0.0291095890410959,0.00513698630136986,0.00171232876712329,0.292808219178082,0,0,0,0,0,0,0.00171232876712329,0,0,0.00342465753424658,0.00171232876712329,0,0,0,0,0,0,0,0
100,687,0.00501672240802676,0.0183946488294314,0.00501672240802676,0.0117056856187291,0.00501672240802676,0.00167224080267559,0.0150501672240803,0.24247491638796,0.00167224080267559,0.00836120401337793,0.00668896321070234,0.00334448160535117,0.0217391304347826,0.0568561872909699,0.235785953177258,0.0234113712374582,0,0.0217391304347826,0.0100334448160535,0,0.292642140468227,0,0.00668896321070234,0,0.00167224080267559,0,0.00167224080267559,0,0.00167224080267559,0.00167224080267559,0,0,0,0,0,0,0,0,0,0
125,865,0.00982318271119843,0.0137524557956778,0,0.0137524557956778,0.00392927308447937,0.0117878192534381,0,0.235756385068762,0,0.00785854616895874,0.00589390962671906,0.00589390962671906,0.0353634577603143,0.0609037328094303,0.218074656188605,0.0432220039292731,0,0.0235756385068762,0.00982318271119843,0.00589390962671906,0.284872298624754,0,0.00196463654223969,0,0,0.00196463654223969,0,0,0.00392927308447937,0,0,0.00196463654223969,0,0,0,0,0,0,0,0
150,1056,0.010752688172043,0.0122887864823349,0.00153609831029186,0.0122887864823349,0.00460829493087558,0.00614439324116743,0.00614439324116743,0.23963133640553,0.00153609831029186,0.00153609831029186,0.0199692780337942,0.0138248847926267,0.0384024577572965,0.0522273425499232,0.211981566820276,0.032258064516129,0,0.0384024577572965,0.0138248847926267,0.00460829493087558,0.262672811059908,0,0.00307219662058372,0.00153609831029186,0,0.00307219662058372,0.00153609831029186,0,0,0,0.00153609831029186,0,0.00153609831029186,0.00153609831029186,0.00153609831029186,0,0,0,0,0
175,1260,0.00754716981132075,0.0113207547169811,0,0.0132075471698113,0.0150943396226415,0.00377358490566038,0.00377358490566038,0.194339622641509,0.00566037735849057,0.00377358490566038,0.00943396226415094,0.00566037735849057,0.0358490566037736,0.0547169811320755,0.250943396226415,0.0264150943396226,0,0.0207547169811321,0.00566037735849057,0.00943396226415094,0.30377358490566,0,0.00377358490566038,0.00188679245283019,0,0.00377358490566038,0,0,0.00377358490566038,0.00188679245283019,0,0,0.00377358490566038,0,0,0,0,0,0,0
200,1477,0.0120481927710843,0.00803212851405622,0,0.0200803212851406,0.00200803212851406,0.00200803212851406,0.00401606425702811,0.28714859437751,0,0.0160642570281124,0.0100401606425703,0.0160642570281124,0.0180722891566265,0.0401606425702811,0.22289156626506,0.0240963855421687,0,0.0261044176706827,0.00803212851405622,0.00200803212851406,0.263052208835341,0,0.00602409638554217,0,0,0,0.00602409638554217,0,0,0,0,0.00200803212851406,0.00200803212851406,0,0,0.00200803212851406,0,0,0,0
