"sample.depths","sample.ages","Abies","Alnus.undiff.","Artemisia","Cyperaceae","Ericaceae","Fraxinus.undiff.","Larix","Pinus.undiff.","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.incana","Betulaceae.undiff.","Myrica","Pinus.strobus","Betula","Betula.undiff.","Coniferophyta.undiff.","Picea.mariana","Alnus.viridis.subsp..crispa","Cupressaceae","Pinus.banksiana.P..resinosa","Picea.glauca","Populus","Picea.undiff.","Fraxinus.nigra","Platanus","Salix","Ambrosia","Symphoricarpos.albus","Ostrya.Carpinus","Thalictrum","Acer.saccharum","Corylus","Tsuga","Amaranthaceae","Poaceae","Fraxinus.pennsylvanica","Acer.rubrum","Acer.saccharinum","Rubus.chamaemorus","Epilobium","Fabaceae","Caryophyllaceae","Shepherdia.canadensis"
868,4418,0.0435835351089588,0.00242130750605327,0.00242130750605327,0.00484261501210654,0.00242130750605327,0.00242130750605327,0.00484261501210654,0.0338983050847458,0.00484261501210654,0.00242130750605327,0.00242130750605327,0.00484261501210654,0.026634382566586,0.00242130750605327,0.0217917675544794,0.026634382566586,0.152542372881356,0.0314769975786925,0.60774818401937,0.0193704600484262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
888,5130,0.0404040404040404,0.00252525252525253,0,0,0,0,0.00505050505050505,0.0303030303030303,0.00505050505050505,0,0,0.00505050505050505,0.0328282828282828,0,0.0202020202020202,0.053030303030303,0.171717171717172,0.0252525252525253,0.558080808080808,0.0126262626262626,0.00252525252525253,0.00505050505050505,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
902,5627,0.0417910447761194,0,0.00298507462686567,0.00298507462686567,0,0,0.00597014925373134,0.0119402985074627,0.00298507462686567,0,0.00298507462686567,0.00597014925373134,0.0507462686567164,0,0.00895522388059702,0.0746268656716418,0.211940298507463,0.0238805970149254,0,0.00597014925373134,0.00298507462686567,0.00597014925373134,0,0.00298507462686567,0.528358208955224,0.00597014925373134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905,5734,0.0311526479750779,0.00623052959501558,0.00311526479750779,0.00623052959501558,0,0,0,0.0155763239875389,0,0,0.00311526479750779,0,0.0747663551401869,0.00311526479750779,0.00623052959501558,0.0716510903426791,0.320872274143302,0.0124610591900312,0.364485981308411,0.043613707165109,0,0.00311526479750779,0.0186915887850467,0,0,0.00311526479750779,0.00311526479750779,0.00311526479750779,0.00311526479750779,0.00311526479750779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
907,5805,0.0358208955223881,0.00298507462686567,0,0.00298507462686567,0,0,0.00298507462686567,0.0298507462686567,0,0,0.00597014925373134,0.00298507462686567,0.0417910447761194,0.00298507462686567,0.017910447761194,0.0567164179104478,0.301492537313433,0.0208955223880597,0,0.0597014925373134,0,0.0119402985074627,0,0.00298507462686567,0.391044776119403,0,0,0,0,0,0.00298507462686567,0.00298507462686567,0.00298507462686567,0,0,0,0,0,0,0,0,0,0,0,0
910,5933,0.0586854460093897,0.00704225352112676,0.00234741784037559,0.00234741784037559,0,0,0,0.0211267605633803,0,0.00234741784037559,0,0.00704225352112676,0.0469483568075117,0,0.0164319248826291,0.0446009389671361,0.2018779342723,0.0234741784037559,0,0.0234741784037559,0.00234741784037559,0.00704225352112676,0,0,0.532863849765258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913,6065,0.0453172205438066,0.00302114803625378,0,0.00604229607250755,0,0,0,0.0120845921450151,0,0.00302114803625378,0,0.0120845921450151,0.0966767371601208,0.00604229607250755,0.0392749244712991,0.0392749244712991,0.166163141993958,0.0151057401812689,0,0.0302114803625378,0,0.00302114803625378,0,0.0120845921450151,0.492447129909366,0,0,0,0,0,0,0,0.00302114803625378,0.00302114803625378,0.00302114803625378,0.00302114803625378,0.00302114803625378,0.00302114803625378,0,0,0,0,0,0,0
918,6285,0.0733590733590734,0.00386100386100386,0.00193050193050193,0.00386100386100386,0,0.00386100386100386,0,0.00965250965250965,0,0,0,0.00386100386100386,0.0444015444015444,0,0.028957528957529,0.0424710424710425,0.158301158301158,0.0154440154440154,0.519305019305019,0.0115830115830116,0,0.00386100386100386,0.0579150579150579,0.00193050193050193,0,0,0,0,0.00579150579150579,0,0.00579150579150579,0,0,0.00193050193050193,0,0,0.00193050193050193,0,0,0,0,0,0,0,0
924,6550,0.0316027088036117,0.0090293453724605,0,0.00677200902934537,0,0,0,0.00677200902934537,0,0,0.00451467268623025,0.00225733634311512,0.0767494356659142,0.00225733634311512,0.00451467268623025,0.110609480812641,0.347629796839729,0.0112866817155756,0.304740406320542,0.0406320541760722,0.00677200902934537,0.00225733634311512,0.0158013544018059,0.00451467268623025,0,0,0,0.00225733634311512,0,0.00451467268623025,0.00451467268623025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
928,6726,0.0595744680851064,0.00638297872340425,0.00212765957446809,0.00851063829787234,0,0,0,0.00851063829787234,0.00212765957446809,0,0.00425531914893617,0,0.0829787234042553,0.00212765957446809,0.0127659574468085,0.0872340425531915,0.268085106382979,0.0191489361702128,0,0.0340425531914894,0.00638297872340425,0.00638297872340425,0,0.00212765957446809,0.380851063829787,0.00212765957446809,0,0,0,0,0,0,0,0,0,0.00212765957446809,0.00212765957446809,0,0,0,0,0,0,0,0
933,6946,0.0828729281767956,0.00828729281767956,0.00276243093922652,0.00276243093922652,0,0.00552486187845304,0,0.0303867403314917,0,0,0.00552486187845304,0.00276243093922652,0.0441988950276243,0,0.0303867403314917,0.102209944751381,0.325966850828729,0.0248618784530387,0.237569060773481,0.0248618784530387,0,0.00276243093922652,0.0441988950276243,0,0,0,0,0.00276243093922652,0,0,0,0,0,0.00276243093922652,0.00552486187845304,0,0,0,0.00276243093922652,0.00552486187845304,0.00276243093922652,0,0,0,0
934,6990,0.0638977635782748,0.00638977635782748,0.00638977635782748,0.00958466453674121,0,0,0,0.0255591054313099,0.00319488817891374,0,0,0,0.0543130990415335,0.00319488817891374,0.0159744408945687,0.0926517571884984,0.370607028753994,0.0287539936102236,0,0.0575079872204473,0.0159744408945687,0,0,0,0.242811501597444,0,0,0,0,0,0,0,0,0,0,0,0.00319488817891374,0,0,0,0,0,0,0,0
938,7166,0.11482254697286,0.0104384133611691,0,0.00208768267223382,0,0,0,0.0187891440501044,0.00208768267223382,0.00208768267223382,0,0.00417536534446764,0.0793319415448852,0.00208768267223382,0.022964509394572,0.135699373695198,0.384133611691023,0.0146137787056367,0.093945720250522,0.0417536534446764,0,0.00417536534446764,0.0459290187891441,0.00626304801670146,0,0.00417536534446764,0,0,0,0.00208768267223382,0,0,0,0,0,0.00208768267223382,0.00208768267223382,0,0,0,0,0.00208768267223382,0.00208768267223382,0,0
940,7254,0.070048309178744,0.0314009661835749,0.00483091787439614,0.00241545893719807,0,0,0,0.0265700483091787,0.00483091787439614,0,0.00483091787439614,0.00241545893719807,0.072463768115942,0,0.0217391304347826,0.144927536231884,0.359903381642512,0.0314009661835749,0,0.0772946859903382,0.00241545893719807,0,0,0.0072463768115942,0.128019323671498,0.00241545893719807,0,0,0.00241545893719807,0,0,0,0,0,0,0,0.00241545893719807,0,0,0,0,0,0,0,0
943,7386,0.0778588807785888,0.0218978102189781,0.0048661800486618,0.0121654501216545,0,0,0,0.0194647201946472,0.0024330900243309,0,0,0,0.0632603406326034,0,0.0218978102189781,0.143552311435523,0.311435523114355,0.0316301703163017,0.0559610705596107,0.138686131386861,0.0170316301703163,0.0121654501216545,0.0437956204379562,0.0072992700729927,0,0,0,0.0072992700729927,0.0024330900243309,0.0024330900243309,0,0,0,0,0.0024330900243309,0,0,0,0,0,0,0,0,0,0
945,7474,0.0736040609137056,0.0532994923857868,0.0050761421319797,0.0050761421319797,0,0,0,0.0279187817258883,0.0050761421319797,0,0,0.00253807106598985,0.129441624365482,0.00253807106598985,0.0355329949238579,0.065989847715736,0.218274111675127,0.0304568527918782,0,0.218274111675127,0.00253807106598985,0.00761421319796954,0,0.00253807106598985,0.0964467005076142,0,0,0.00253807106598985,0.00253807106598985,0.0050761421319797,0,0,0,0,0,0.00253807106598985,0.00253807106598985,0,0,0,0,0,0,0.00253807106598985,0
948,7607,0.047945205479452,0.0993150684931507,0,0,0.00342465753424658,0,0,0.0445205479452055,0,0.0102739726027397,0,0.00684931506849315,0.065068493150685,0,0.0205479452054795,0.0410958904109589,0.143835616438356,0.0410958904109589,0.0787671232876712,0.273972602739726,0,0.0136986301369863,0.0616438356164384,0.00684931506849315,0,0,0,0.00684931506849315,0,0.00342465753424658,0.0136986301369863,0,0,0,0,0.00342465753424658,0.0136986301369863,0,0,0,0,0,0,0,0
953,NA,0.0254545454545455,0.152727272727273,0,0.0472727272727273,0.00727272727272727,0,0,0.0618181818181818,0,0.00363636363636364,0,0,0.0581818181818182,0,0.0254545454545455,0.0109090909090909,0.04,0.0218181818181818,0,0.305454545454545,0.0181818181818182,0.0218181818181818,0,0.0254545454545455,0.123636363636364,0.00363636363636364,0,0.0218181818181818,0,0.00363636363636364,0.0145454545454545,0,0,0,0,0.00363636363636364,0,0,0,0,0,0.00363636363636364,0,0,0
958,NA,0.0319488817891374,0.0543130990415335,0.00958466453674121,0.0287539936102236,0,0.00319488817891374,0,0.12779552715655,0,0,0.00319488817891374,0.00319488817891374,0.0575079872204473,0,0.0287539936102236,0.0351437699680511,0.124600638977636,0.0415335463258786,0.0479233226837061,0.162939297124601,0.012779552715655,0.00958466453674121,0.150159744408946,0.00319488817891374,0,0.00319488817891374,0,0.00319488817891374,0,0.0191693290734824,0.012779552715655,0,0,0.00638977635782748,0.00319488817891374,0.00319488817891374,0,0,0,0,0,0,0,0,0.012779552715655
963,NA,0.020066889632107,0.0334448160535117,0.0167224080267559,0.0301003344481605,0,0,0.00334448160535117,0.0735785953177258,0.0100334448160535,0.0133779264214047,0.00334448160535117,0.00668896321070234,0.100334448160535,0,0.0100334448160535,0.0367892976588629,0.240802675585284,0.0267558528428094,0,0.207357859531773,0.0100334448160535,0.00334448160535117,0,0.00334448160535117,0.0735785953177258,0,0,0.0267558528428094,0.00668896321070234,0.0133779264214047,0.020066889632107,0,0,0,0.00334448160535117,0,0,0,0,0,0,0,0,0,0.00668896321070234
