"sample.depths","sample.ages","upland.sum","Asteraceae.undiff.","Salix","Ambrosia","Myrica","Pinus","Amaranthaceae","Annona","Cephalanthus","Cyperaceae.undiff.","Celtis","Poaceae","Polygonaceae","Iva","Waltheria","Quercus","Alnus","Cupressaceae.Taxaceae","Ericaceae","Fabaceae","Onagraceae"
0.5,-39,38,2,2,2,2,8,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,31,70,2,2,4,2,12,34,0,14,0,0,0,0,0,0,0,0,0,0,0,0
10.5,137,24,6,4,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.5,193,38,4,6,0,0,4,20,0,2,2,0,0,0,0,0,0,0,0,0,0,0
15.5,288,74,0,0,2,2,6,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,461,168,4,4,0,0,4,130,0,20,0,4,2,0,0,0,0,0,0,0,0,0
25,587,228,4,0,0,4,16,164,0,30,2,0,2,4,2,0,0,0,0,0,0,0
29,713,422,40,6,0,0,24,322,0,24,2,0,0,2,0,2,0,0,0,0,0,0
33,915,184,12,0,0,2,58,96,0,2,2,0,0,8,0,2,2,0,0,0,0,0
35,1016,398,16,6,0,0,32,296,0,40,2,0,0,2,0,0,0,2,2,0,0,0
37,1117,266,2,0,0,0,44,200,0,14,0,0,0,4,0,0,0,0,0,2,0,0
41,1319,358,12,2,0,0,32,296,0,10,0,0,0,4,0,0,2,0,0,0,0,0
45,1521,462,14,2,0,0,26,388,0,26,0,0,0,2,0,0,0,0,0,0,2,2
47,1622,586,28,4,0,0,14,528,0,4,4,0,0,4,0,0,0,0,0,0,0,0
49,1723,618,10,0,0,0,22,570,0,16,0,0,0,0,0,0,0,0,0,0,0,0
53,1969,648,16,6,0,0,30,570,0,12,6,0,0,8,0,0,0,0,0,0,0,0
55,2114,582,2,0,0,2,26,548,0,0,0,0,0,0,0,0,0,0,2,0,2,0
59,2404,576,10,2,0,0,40,500,0,8,0,0,0,8,2,0,6,0,0,0,0,0
