"sample.depths","sample.ages","Alnus","Amaranthaceae","Ambrosia","Annona","Asteraceae.undiff.","Celtis","Cephalanthus","Cladium","Cupressaceae.Taxaceae","Cyperaceae.undiff.","Ericaceae","Fabaceae","Iva","Myrica","Nymphaea","Onagraceae","Osmunda.regalis","Pinus","Poaceae","Polygonaceae","Quercus","Sagittaria","Salix","Typha","Unknown..monolete.","Unknown..tricolpate.","Unknown..tricolporate.","Unknown..trilete.","Unknown..triporate.","Unknown.undiff.","Waltheria"
0.5,-39,0,20,2,2,2,0,0,0,0,0,0,0,0,2,0,0,4,8,0,0,0,2,2,0,82,0,0,576,0,0,0
4.5,31,0,34,4,0,2,0,14,0,0,0,0,0,0,2,0,0,478,12,0,0,0,2,2,2,52,0,0,140,0,2,0
10.5,137,0,8,0,0,6,0,0,2,0,0,0,0,0,0,0,0,32,6,0,0,0,0,4,0,30,0,0,614,0,0,0
12.5,193,0,20,0,0,4,0,2,0,0,2,0,0,0,0,0,0,152,4,0,0,0,0,6,0,18,0,0,420,0,4,0
15.5,288,0,64,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,12,0,2,526,0,0,0
21,461,0,130,0,0,4,4,20,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,4,0,40,0,0,524,0,2,0
25,587,0,164,0,0,4,0,30,8,0,2,0,0,2,4,0,0,112,16,2,4,0,0,0,0,62,0,4,326,2,4,0
29,713,0,322,0,0,40,0,24,0,0,2,0,0,0,0,0,0,0,24,0,2,0,2,6,0,62,0,0,168,0,0,2
33,915,0,96,0,0,12,0,2,12,0,2,0,0,0,2,4,0,106,58,0,8,2,0,0,0,220,0,2,176,2,12,2
35,1016,2,296,0,0,16,0,40,8,2,2,0,0,0,0,4,0,14,32,0,2,0,2,6,0,134,0,0,250,2,4,0
37,1117,0,200,0,0,2,0,14,14,0,0,2,0,0,0,2,0,16,44,0,4,0,12,0,0,172,0,0,100,0,8,0
41,1319,0,296,0,0,12,0,10,0,0,0,0,0,0,0,0,0,0,32,0,4,2,12,2,0,90,0,0,174,0,0,0
45,1521,0,388,0,0,14,0,26,8,0,0,0,2,0,0,0,2,22,26,0,2,0,8,2,0,68,0,2,96,0,14,0
47,1622,0,528,0,0,28,0,4,10,0,4,0,0,0,0,0,0,6,14,0,4,0,4,4,0,24,2,0,24,0,0,0
49,1723,0,570,0,0,10,0,16,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,12,0,0,68,0,2,0
53,1969,0,570,0,0,16,0,12,6,0,6,0,0,0,0,2,0,0,30,0,8,0,2,6,0,48,0,0,28,0,4,0
55,2114,0,548,0,0,2,0,0,2,2,0,0,2,0,2,0,0,0,26,0,0,0,4,0,0,44,0,0,16,0,0,0
59,2404,0,500,0,0,10,0,8,0,0,0,0,0,2,0,0,0,0,40,0,8,6,2,2,0,2,0,0,0,0,0,0
