"sample.depths","sample.ages","Abies.balsamea","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","Celtis.occidentalis","cf..Oxyria.digyna","Corylus.cornuta","Cyperaceae","Diphasiastrum.complanatum.type","Dryopteris.type","Equisetum","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Myriophyllum","Onagraceae","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Quercus","Ranunculaceae.undiff.","Ribes","Rosaceae.undiff.","Rubus.chamaemorus","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Saxifraga.cernua.type","Saxifraga.oppositifolia.type","Saxifraga.stellaris.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica.type"
5,493,0,0,0,1,106,1,2,1,1,260,0,0,0,0,0,0,0,292,0,0,0,24,0,0,0,0,2,0,0,0,2,0,8,1,4,0,0,3,0,1,0,0,0,113,56,9,0,1,2,10,0,0,0,0,0,0,0,0,4,1,0,8,0,0,0,0,30,0,1,0,1,0,2,3,0,0,0
17,1677,0,0,0,3,78,0,0,3,5,204,0,0,0,0,0,0,0,239,0,0,0,16,0,1,0,0,1,0,1,0,0,1,2,0,9,1,0,1,0,0,0,0,0,138,22,14,0,0,1,6,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
25,1892,0,0,0,0,50,3,0,3,0,167,0,0,0,0,0,0,1,138,0,0,0,15,0,0,0,0,0,0,0,0,2,0,2,0,3,1,0,1,0,0,1,0,0,76,8,7,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,15,0,0,0,2,0,0,1,3,0,0
37,2156,1,0,0,3,112,1,2,6,2,224,0,0,0,0,0,0,0,201,0,0,0,12,0,0,1,0,0,0,4,1,0,0,1,0,4,0,0,14,0,0,0,0,0,134,20,14,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0
50,2401,0,1,0,0,46,0,0,4,0,112,0,0,1,0,0,0,0,56,0,0,0,3,0,0,2,1,1,4,0,1,14,0,2,0,5,0,0,4,0,0,1,0,10,98,32,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,1,0
67,2637,0,0,0,0,82,0,1,4,1,143,0,0,0,0,0,0,0,68,0,0,0,9,0,0,1,0,0,0,2,0,3,0,2,0,3,0,0,2,0,0,0,0,0,165,28,9,0,0,1,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
75,2747,0,0,0,0,37,0,0,1,0,92,0,0,0,0,0,0,0,23,0,0,0,5,0,0,0,0,0,0,1,0,3,0,3,0,1,0,0,2,0,0,0,0,0,127,91,3,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11,0,0,0,0,0,0,1,0,0,0
87,2914,0,0,0,0,95,0,1,2,2,138,0,0,0,0,0,0,0,38,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,211,40,11,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0
100,3122,0,0,0,0,117,0,1,5,1,141,0,0,0,0,0,0,1,34,1,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,7,1,0,0,0,0,196,120,2,0,0,4,10,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0
112,3354,0,0,0,4,131,0,3,5,0,172,0,0,0,0,0,0,0,20,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,99,22,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
125,3607,1,0,0,2,143,0,1,2,0,180,0,0,0,0,0,0,0,15,0,0,0,2,0,0,1,0,0,1,9,1,4,0,2,0,1,0,0,3,0,0,0,0,1,212,9,3,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
137,4079,0,0,0,0,209,0,1,2,0,142,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,0,2,0,1,0,0,0,180,28,4,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
150,4779,0,0,0,2,152,0,0,0,1,108,0,0,0,0,0,0,3,38,0,0,0,5,0,1,0,0,0,0,4,0,0,0,5,0,7,1,0,6,0,0,1,0,5,90,22,6,0,10,5,11,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0
160,5018,1,0,0,0,312,0,0,3,1,231,0,0,0,0,0,0,1,19,0,0,0,9,0,0,0,0,0,0,1,0,0,0,9,0,6,0,0,17,0,0,0,0,0,156,14,12,0,0,1,15,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
167,5185,0,0,0,0,319,0,2,3,1,238,0,0,0,0,0,0,0,24,0,0,0,5,0,0,0,0,0,0,2,0,0,0,6,0,12,0,0,11,0,0,0,0,0,144,20,15,0,0,1,8,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0
175,5376,0,0,0,0,227,0,0,5,2,288,0,0,0,0,0,1,2,39,2,0,0,6,0,0,1,0,0,0,5,0,3,0,6,3,7,0,0,5,0,0,0,0,0,36,12,4,0,2,2,9,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
185,5615,0,0,1,0,209,0,1,3,2,322,0,1,0,0,0,0,0,35,0,0,0,14,0,0,0,0,0,0,15,0,1,0,0,0,9,0,0,6,0,0,0,0,0,51,4,6,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
192,NA,0,0,0,0,58,0,3,4,0,182,0,0,1,0,0,0,0,54,0,0,0,2,0,0,0,0,0,0,4,0,0,0,4,0,22,3,0,0,0,0,0,0,0,49,7,7,1,0,0,7,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0
200,NA,0,0,0,4,61,2,1,2,2,189,0,0,1,0,0,0,0,84,0,1,0,3,0,0,1,0,1,4,0,0,10,0,0,0,20,0,1,0,0,0,1,0,0,13,3,7,0,3,6,8,0,1,0,0,3,2,0,0,0,0,0,4,0,0,0,0,17,2,0,0,0,0,1,3,5,2,0
205,NA,0,0,0,1,61,0,0,4,0,561,0,0,1,0,0,0,1,33,0,0,0,1,1,1,1,0,0,1,0,0,3,0,0,0,8,0,0,1,0,0,0,0,0,12,4,2,0,5,4,2,0,6,2,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
210,NA,0,0,0,2,49,6,0,3,4,50,0,0,0,0,0,0,0,264,14,2,0,10,0,0,4,0,0,3,0,0,10,0,1,0,13,1,0,1,0,0,0,0,0,51,14,31,0,6,7,9,1,4,1,0,0,1,0,0,3,0,2,29,2,0,1,0,60,0,0,0,0,0,8,1,8,2,0
215,NA,0,0,0,0,72,4,0,9,2,77,0,0,1,1,1,0,0,199,2,0,1,16,0,0,0,0,0,1,0,0,3,0,1,0,3,0,0,0,0,0,0,6,0,17,7,14,0,5,8,69,0,2,0,0,0,1,0,0,7,0,1,37,1,0,0,1,26,0,0,0,0,0,0,1,4,1,0
220,NA,0,1,0,1,101,6,2,11,2,46,2,1,0,0,0,0,1,44,1,0,0,2,1,0,0,1,0,5,0,0,14,0,0,0,0,2,0,1,0,0,2,0,0,144,21,101,0,0,9,38,0,5,1,0,0,4,0,1,1,0,2,11,1,1,0,0,48,0,0,0,0,0,4,1,3,0,0
