"sample.depths","sample.ages","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Larix","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Juniperus.type","Amaranthaceae","Poaceae","Abies.balsamea","Acer.saccharum","Morus.rubra.type","Myrica.gale","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Plantaginaceae","Rhamnus.cathartica","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Salix.undiff.","Ilex.Nemopanthus.undiff.","Fraxinus.pennsylvanica.type","Acer.cf..A..pensylvanicum","Carya.ovata","Rhamnus.alnifolia.R..frangula","Ostrya.Carpinus","Picea.glauca.type","Taxus","Tilia","Corylus.cornuta","Nemopanthus.mucronatus","Juglans.cinerea","Populus.balsamifera.type","Lamiaceae","Potentilla.palustris.type","Acer.saccharinum","Prunus.pensylvanica","Rubiaceae","Viburnum.nudum","Sambucus","Thalictrum","Castanea.dentata","Campanula.type","Cornus.canadensis","Acer.pensylvanicum","Polygonum.lapathifolium.type","cf..Taxus","Impatiens","Rhamnus.Vitis.undiff.","Shepherdia.canadensis","Urtica.type","Prunus.undiff.","Fabaceae","cf..Oxyria.digyna","Saxifragaceae","Ranunculaceae.undiff.","Brassicaceae","Salix.vestita.type","Polygonum.viviparum","Salix.herbacea.type","Armeria.maritima","Asteraceae.undiff.","Onagraceae"
5,41,0.00487012987012987,0.00324675324675325,0.0584415584415584,0.012987012987013,0.051948051948052,0.00162337662337662,0.547077922077922,0.00324675324675325,0.00974025974025974,0.00162337662337662,0.0243506493506494,0.00162337662337662,0.00162337662337662,0.0227272727272727,0.051948051948052,0.00324675324675325,0.0275974025974026,0.0064935064935065,0.00811688311688312,0.00162337662337662,0.0064935064935065,0.00162337662337662,0.0292207792207792,0.00974025974025974,0.0113636363636364,0.00162337662337662,0.00162337662337662,0.012987012987013,0.00162337662337662,0.0340909090909091,0.00162337662337662,0.00162337662337662,0.00487012987012987,0.00162337662337662,0.0178571428571429,0.0146103896103896,0.00162337662337662,0.00162337662337662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,203,0.00408163265306122,0,0.0204081632653061,0.00408163265306122,0.00408163265306122,0,0.675510204081633,0,0.00816326530612245,0,0.0448979591836735,0.00408163265306122,0.00612244897959184,0.0163265306122449,0.0142857142857143,0,0.0306122448979592,0.00408163265306122,0.0122448979591837,0,0,0,0.00408163265306122,0,0.0163265306122449,0,0,0.0448979591836735,0,0.0408163265306122,0,0,0,0,0.0306122448979592,0.00612244897959184,0,0,0.00204081632653061,0.00204081632653061,0.00204081632653061,0.00204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,405,0.00267022696929239,0.00267022696929239,0.00667556742323097,0.00534045393858478,0,0.00133511348464619,0.559412550066756,0,0.0226969292389853,0.00133511348464619,0.0213618157543391,0.00801068090787717,0.00934579439252336,0.0440587449933244,0.041388518024032,0.00667556742323097,0.0267022696929239,0.00267022696929239,0.0133511348464619,0,0.00801068090787717,0.00267022696929239,0.00400534045393859,0.00667556742323097,0.0280373831775701,0,0.00801068090787717,0.00133511348464619,0,0.0373831775700935,0,0,0,0.00801068090787717,0.0560747663551402,0.0333778371161549,0.00801068090787717,0,0.00267022696929239,0,0.00400534045393859,0,0.00534045393858478,0.00133511348464619,0.00400534045393859,0.00267022696929239,0.00133511348464619,0.00133511348464619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,608,0.00532859680284192,0,0.024866785079929,0,0.00177619893428064,0.00710479573712256,0.587921847246892,0,0.0159857904085258,0.00710479573712256,0.0568383658969805,0.0106571936056838,0.00532859680284192,0.0142095914742451,0.019538188277087,0,0.024866785079929,0,0.0124333925399645,0,0,0.00177619893428064,0.00177619893428064,0,0.0301953818827709,0,0,0.0284191829484902,0,0.0781527531083481,0,0,0,0,0.0532859680284192,0.00532859680284192,0,0,0.00355239786856128,0,0.00177619893428064,0,0,0,0,0,0,0,0.00177619893428064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,811,0.00418410041841004,0,0.0230125523012552,0.00209205020920502,0,0,0.569037656903766,0,0.0125523012552301,0.00418410041841004,0.0836820083682008,0.0125523012552301,0.00627615062761506,0.00836820083682008,0.0209205020920502,0,0.0188284518828452,0,0.0104602510460251,0,0.00418410041841004,0.00209205020920502,0,0.00418410041841004,0.0230125523012552,0,0,0.0334728033472803,0,0.0334728033472803,0,0,0,0,0.0690376569037657,0.00627615062761506,0.00209205020920502,0,0.00418410041841004,0,0.00836820083682008,0,0.0271966527196653,0,0,0.00209205020920502,0.00209205020920502,0,0.00209205020920502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1013,0,0,0.0230414746543779,0,0.00230414746543779,0,0.709677419354839,0,0,0.00230414746543779,0.0460829493087558,0.0115207373271889,0.00230414746543779,0.00230414746543779,0.0138248847926267,0,0.0138248847926267,0,0.00921658986175115,0.0115207373271889,0,0,0.00921658986175115,0.00921658986175115,0.0184331797235023,0,0.00230414746543779,0.0115207373271889,0,0.0529953917050691,0,0,0,0,0.032258064516129,0.00230414746543779,0,0.00691244239631336,0,0,0.00230414746543779,0,0,0,0,0.00230414746543779,0,0,0.00230414746543779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1216,0,0.00503778337531486,0.0100755667506297,0.0075566750629723,0.00503778337531486,0,0.556675062972292,0,0.0201511335012594,0.00503778337531486,0.0453400503778338,0.00503778337531486,0.0125944584382872,0.00503778337531486,0.0604534005037783,0.017632241813602,0.035264483627204,0,0.0100755667506297,0.0075566750629723,0.00251889168765743,0,0.00251889168765743,0,0.0377833753148615,0,0.0125944584382872,0.0478589420654912,0,0.0125944584382872,0,0,0,0.00251889168765743,0.0428211586901763,0.00503778337531486,0,0,0,0,0,0,0.0075566750629723,0,0,0.00251889168765743,0,0.00251889168765743,0,0.0075566750629723,0.00251889168765743,0.00251889168765743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,1419,0.00253164556962025,0.00506329113924051,0.00126582278481013,0.0189873417721519,0,0,0.527848101265823,0,0.0189873417721519,0,0.0443037974683544,0.010126582278481,0.010126582278481,0.00886075949367089,0.0620253164556962,0.00253164556962025,0.0227848101265823,0.00253164556962025,0.0151898734177215,0,0,0,0.00759493670886076,0.0291139240506329,0.0379746835443038,0,0.0113924050632911,0.010126582278481,0,0.0531645569620253,0,0,0,0.00126582278481013,0.0455696202531646,0.00632911392405063,0.00379746835443038,0,0.00379746835443038,0,0.00506329113924051,0.00126582278481013,0.0113924050632911,0,0.00126582278481013,0.00506329113924051,0.0113924050632911,0,0.00126582278481013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,1621,0.00396825396825397,0.00198412698412698,0.0119047619047619,0.0119047619047619,0.00198412698412698,0.00396825396825397,0.561507936507937,0,0.0218253968253968,0.00198412698412698,0.0634920634920635,0.00992063492063492,0.00595238095238095,0.00992063492063492,0.0595238095238095,0.00396825396825397,0.0178571428571429,0,0.00992063492063492,0.00198412698412698,0.00992063492063492,0,0.00793650793650794,0.0119047619047619,0.0178571428571429,0,0.0178571428571429,0.00595238095238095,0,0.0496031746031746,0,0,0,0.00793650793650794,0.0317460317460317,0.00396825396825397,0.00198412698412698,0,0.00595238095238095,0,0,0,0.00198412698412698,0,0,0,0.0119047619047619,0,0.00198412698412698,0,0,0,0.00198412698412698,0.00198412698412698,0.00198412698412698,0.00198412698412698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,1824,0.00618556701030928,0,0.0123711340206186,0,0.00412371134020619,0,0.649484536082474,0,0,0,0.0597938144329897,0.0144329896907217,0.00824742268041237,0.00412371134020619,0.0164948453608247,0,0.0391752577319588,0,0.00824742268041237,0.00618556701030928,0,0,0.00824742268041237,0,0.0268041237113402,0,0.00412371134020619,0.0206185567010309,0,0.0556701030927835,0,0,0,0,0.0412371134020619,0.00206185567010309,0,0,0.00206185567010309,0,0.00824742268041237,0.00206185567010309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
