"sample.depths","sample.ages","Abies","Acer.spicatum","Acer.undiff.","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Athyrium","Betula","Botrychium","Brassicaceae","Caltha","Carya","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Herbs.undiff.","Huperzia.lucidula","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Lamiaceae","Larix","Lycopodiaceae.undiff.","Myrica","Myriophyllum","Nuphar","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Plantago","Platanus","Poaceae","Polypodiaceae","Populus","Potamogetonaceae","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown","Urtica.type","Vitis","Woodsia"
1,16,40,0,0,12,2,1,0,0,0,5,0,0,61,0,0,0,0,0,0,1,4,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,10,0,0,0,5,0,0,186,59,8,0,1,2,1,4,0,2,4,0,0,0,0,1,0,0,0,5,0,0,0,1,0,2,0,0,0,0
10,156,44,0,1,13,11,1,3,1,0,1,0,0,69,0,0,1,0,0,0,0,3,2,0,0,0,0,2,0,0,0,1,3,0,0,0,0,7,3,0,0,2,0,0,125,13,11,0,1,3,0,2,0,0,2,0,0,0,0,2,0,0,0,3,0,0,0,2,0,1,0,0,0,0
20,312,16,0,1,42,25,2,8,0,0,3,0,1,82,0,0,0,0,0,0,0,17,3,0,2,0,1,0,1,0,0,0,3,0,1,0,0,9,0,1,0,2,0,3,128,53,7,0,1,2,1,7,0,3,5,0,0,1,0,8,1,0,0,5,0,0,0,0,1,1,0,0,0,0
30,467,18,0,0,50,27,0,10,0,0,2,0,0,71,0,0,0,0,0,0,0,12,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,10,0,0,0,2,0,2,116,31,3,0,0,5,0,9,0,3,3,0,0,1,0,12,0,0,0,8,0,0,0,0,1,1,0,0,0,0
40,623,27,0,1,28,10,0,9,0,0,8,1,0,67,0,0,0,0,0,0,1,3,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,9,1,0,0,1,0,1,122,32,7,0,0,2,0,9,1,2,4,0,0,0,0,2,0,0,0,3,0,0,0,1,0,1,1,0,0,0
50,779,19,0,0,17,15,1,0,0,0,8,1,0,77,0,0,0,0,0,0,0,11,3,0,0,0,2,0,0,1,0,2,1,0,0,0,0,4,1,1,0,1,0,2,145,52,8,0,3,1,0,3,1,1,4,0,0,0,0,0,0,0,0,2,0,0,0,1,2,2,0,0,0,0
60,935,22,0,0,9,11,0,1,0,0,5,0,0,104,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,0,0,1,0,1,124,33,3,0,0,1,2,6,1,1,5,0,0,0,0,2,0,0,0,3,0,0,0,1,4,2,0,0,0,0
70,1090,24,0,0,21,10,0,0,0,0,3,0,0,94,0,0,0,0,0,0,2,3,3,0,0,4,1,1,0,0,0,0,1,0,0,0,0,6,0,0,0,3,0,1,140,48,4,0,0,2,1,5,1,0,5,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0
80,1246,34,1,0,6,3,1,1,0,0,3,1,0,66,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,8,1,0,0,1,0,1,140,35,9,0,1,3,1,5,0,1,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0
90,1402,26,0,0,11,13,1,1,0,0,2,1,0,61,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,3,2,1,0,4,0,0,169,47,11,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0
100,1558,40,0,0,12,12,0,2,0,0,1,0,0,58,0,0,0,0,0,0,1,5,3,0,0,0,3,2,0,0,0,0,2,0,0,0,0,7,2,0,0,2,0,2,142,40,9,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,4,1,1,0,0,0
110,1713,41,0,0,9,7,0,1,0,0,5,0,0,71,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,7,1,0,0,1,0,0,162,43,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0
120,1869,54,0,0,19,2,0,1,0,0,5,0,0,57,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,5,0,2,174,55,9,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,2,1,2,1,0,0,1
130,2025,50,0,1,6,7,1,1,0,0,1,0,0,46,0,0,0,0,0,0,0,3,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,146,43,9,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0
140,2181,28,0,0,13,4,0,0,0,0,3,1,0,61,0,0,0,0,0,0,1,3,1,0,0,0,0,2,0,0,0,2,2,0,0,0,0,5,1,0,0,5,0,1,166,35,15,0,0,0,0,1,0,1,6,0,0,0,0,1,0,0,0,3,0,0,0,1,0,1,0,0,0,0
