"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus..hexaporate.","Alnus..pentaporate.","Alnus..tetraporate.","Alnus..triporate.","Alnus.incana.type","Alnus.undiff.","Alnus.viridis.type","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Betulaceae.undiff.","Botrychium","Campanulaceae","Carya","Caryophyllaceae","Castanea","Chenopodium.type","Cornus","Corylus","Cyperaceae","Epilobium","Ericaceae","Fagus","Filicopsida.undiff.","Fraxinus","Humulus","Huperzia.selago.H..lucidula","Ilex","Indeterminable","Isoëtes","Juglans","Juniperus.Thuja","Larix","Liquidambar","Lycopodium.type","Lycopodium.annotinum.type","Lycopodium.clavatum","Morus","Myrica","Nuphar","Nyssa","Onagraceae.undiff.","Osmunda","Ostrya.Carpinus","Picea","Pinaceae.undiff.","Pinus","Plantago","Platanus","Poaceae","Pontederia","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculaceae.undiff.","Rhus","Rosaceae","Rubiaceae","Rumex","Salix","Sarcobatus.vermiculatus","Sarracenia","Saxifragaceae","Shepherdia","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha","Ulmus","Unknown","Urtica","Viburnum","Vitis"
1,13,1,1,0,0,0,0,3,15,1,0,0,0,5,0,2,0,155,1,0,0,1,0,1,0,0,0,0,0,0,7,3,1,1,1,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,10,0,7.5,0,0,1,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,2,0,0,0,3,0,0,2,0,0,0
25,314,6,4,9,2,1,0,3,9,1,0,0,0,4,1,2,0,243,0,0,0,0,0,0,0,0,0,0,0,0,28,4,5,0,1,1,1,8,0,0,0,0,0,1,0,1,0,6,0,0,0,4,42,4.5,19.5,0,3,2,0,0,0,0,13,0,0,1,0,2,0,0,0,0,0,1,0,0,0,11,0,5,0,0,0,0
30,377,8.5,4,3,0,0,0,2,9,0,0,0,0,2,1,0,0,213,2,0,0,0,0,1,0,0,0,3,0,0,25,9,2,0,1,1,6,27,1,0,0,0,0,1,0,0,1,2,0,0,0,1,28,4,29.5,0,2,3,0,2,0,0,9,0,0,5,0,0,1,0,0,0,0,2,0,0,0,12,1,0,3,0,0,0
50,628,3.5,3,5,0,0,0,4,13,0,0,0,0,6,1,0,0,187,2,0,0,1,0,0,0,0,0,2,0,0,34,6,6,0,1,0,3,61,0,0,0,0,0,0,0,0,0,5,1,0,1,3,45,2.5,33,0,0,4,0,0,1,0,20,0,0,2,1,1,1,0,0,0,0,0,0,0,0,22,3,4,1,0,0,0
75,943,5.5,1,6,0,0,0,2,13,1,0,0,0,2,0,1,0,190,3,0,0,0,0,0,0,0,1,1,0,0,29,2,2,0,1,0,9,33,1,0,0,0,0,0,0,0,1,4,0,0,0,6,55.5,5.5,28,0,3,1,0,0,1,0,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19,1,6,1,0,0,0
100,1257,5,3,2,2,0,0,3,12,0,0,0,0,0,1,0,0,192,3,0,0,0,0,0,0,0,0,0,0,0,27,0,5,0,2,0,6,45,0,0,0,0,0,0,0,0,0,4,0,0,1,6,28.5,2.5,33.5,0,1,0,0,1,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,17,2,1,4,0,0,0
125,2552,10,2,13,0,0,0,8,27,0,0,1,0,0,0,2,0,294,5,0,0,2,0,1,0,0,0,2,0,0,67,2,6,0,0,1,6,78,1,0,2,0,0,0,0,0,1,3,0,0,0,6,8,1,85.5,0,0,2,0,0,1,0,37,0,0,2,0,0,2,0,0,0,0,0,0,0,0,30,1,4,0,0,0,0
150,3196,6,0,6,0,0,0,3,9,0,0,0,0,0,0,3,0,201,4,0,0,0,0,1,0,0,0,0,0,0,46,2,13,1,0,2,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.5,1.5,34.5,0,0,1,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0
175,3841,4.5,0,6,0,0,0,1,10,1,0,1,0,0,0,0,0,204,2,0,0,1,0,0,0,0,0,1,0,0,46,3,8,0,1,1,7,35,1,0,0,0,0,0,0,0,0,1,0,0,0,6,1,1.5,66.5,0,0,1,0,1,0,0,27,0,0,2,0,0,1,0,0,0,0,1,0,0,2,13,0,3,1,0,1,0
200,4485,3,5,15,0,0,0,4,21,0,0,0,0,1,1,0,0,244,8,0,0,2,0,0,0,0,1,2,0,0,44,4,9,0,2,0,16,14,1,0,0,0,0,0,0,0,3,5,0,0,0,3,0,1.5,72.5,1,1,5,0,1,0,0,38,1,0,1,0,0,0,0,0,0,0,0,2,0,0,15,0,7,0,0,0,0
