"sample.depths","sample.ages","upland.sum","Abies","Betula","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea","Platanus","Quercus","Rumex","Salix","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Acer","Ambrosia","Myrica","Populus","Poaceae","Fraxinus.nigra","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Artemisia","Celtis","Cornus","Fraxinus.americana","Tilia","Ephedra.nevadensis.type","Amaranthaceae","Ilex","Lamiaceae","Humulus","Xanthium","Carya","Ephedra.torreyana.type","Morus","Shepherdia.canadensis","Castanea","Plantago.lanceolata","Polygonum","Vitis","Juglans.nigra","Galium","Liquidambar","Fabaceae","Ribes","Rosaceae"
1,-10,325,9,60,3,5,5,1,2,1,3,5,8,1,6,1,1,1,8,1,3,15,4,10,1,3,3,5,40,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,22,328,2,56,1,7,4,0,6,0,3,3,8,0,15,0,0,0,4,1,5,13,1,12,1,2,1,6,32,140,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,61,290,5,62,1,10,3,0,0,0,2,0,12,1,4,0,0,0,3,1,5,11,0,8,0,2,2,0,15,138,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,101,300,4,67,6,9,4,0,3,0,2,2,7,0,3,0,0,0,1,1,2,12,1,8,0,1,2,2,18,136,1,0,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,152,308,6,50,2,14,1,0,1,1,3,1,15,0,4,0,1,0,6,1,4,10,0,2,0,6,3,8,24,142,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,216,363,4,64,3,5,0,0,2,0,6,2,13,1,12,0,2,0,9,1,6,7,5,2,0,4,1,3,28,178,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,344,342,7,54,1,13,2,0,4,0,4,4,10,1,8,0,0,0,8,0,2,14,3,0,1,3,1,2,44,154,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,473,344,6,63,3,14,1,0,6,0,4,1,11,1,6,0,0,0,10,0,3,8,1,1,0,7,0,9,17,167,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,601,387,9,78,5,17,3,0,2,0,7,2,11,2,9,0,0,0,13,0,7,22,5,0,0,2,1,3,57,130,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
65,729,339,2,56,0,14,2,0,4,0,2,2,17,0,9,0,1,0,14,0,6,18,4,0,1,3,0,1,39,141,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,857,315,3,49,4,22,2,0,9,0,1,5,9,0,11,0,0,0,24,0,3,12,2,0,0,0,0,1,11,142,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
85,985,382,4,70,3,25,4,1,5,0,4,5,12,0,3,0,1,0,14,0,3,25,4,1,2,2,2,2,7,181,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1113,320,4,42,5,19,6,0,6,0,4,1,13,0,4,0,0,0,9,0,2,18,1,2,1,1,1,1,21,154,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1177,516,3,107,1,25,3,0,11,0,1,7,12,1,6,0,0,0,43,1,7,8,15,1,1,1,1,6,27,224,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1241,369,1,67,5,25,3,0,9,0,1,2,10,1,7,0,0,0,42,0,2,8,10,0,1,2,0,2,15,152,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
110,1308,287,3,58,0,31,1,0,6,0,3,1,14,1,6,0,1,0,25,0,1,5,6,0,0,1,0,3,20,99,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1507,381,6,55,1,44,2,1,5,0,1,3,13,0,9,0,0,0,24,1,7,6,11,2,0,0,0,2,0,182,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,1640,330,5,54,3,26,2,1,7,0,3,5,10,2,7,0,1,0,22,0,1,13,6,0,0,4,1,4,16,131,0,0,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,1773,292,2,40,4,9,1,0,8,0,0,5,7,2,8,0,1,0,31,0,2,6,4,0,0,0,0,2,6,151,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,1906,276,2,42,3,22,0,0,6,0,1,2,6,0,2,0,0,0,19,1,5,3,5,0,2,0,0,0,23,130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
165,2039,296,6,87,1,28,2,0,6,0,1,4,10,0,5,0,0,0,11,1,2,4,4,0,1,2,1,3,14,99,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
175,2172,326,2,63,3,27,1,0,18,1,2,3,11,0,6,0,0,0,19,1,4,5,5,1,0,0,1,1,24,126,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
184,2291,349,1,73,3,38,0,0,8,0,1,3,0,2,9,0,1,0,30,1,6,7,4,1,1,1,0,3,35,115,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
186,2318,265,0,49,1,33,0,0,6,1,1,4,7,0,9,0,0,0,7,0,3,6,2,0,0,0,0,2,6,123,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
