"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya","Caryophyllaceae","Celtis","Corylus","Cupressaceae","Cyperaceae","Dalea.candida","Dalea.purpurea","Dryopteris.type","Ephedra.nevadensis.type","Ephedra.torreyana.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Fraxinus.undiff.","Humulus","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Lemna","Lycopodiaceae","Morus","Myriophyllum","Nuphar","Nymphaea","Onagraceae","Ostrya","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Populus","Potamogetonaceae.undiff.","Pteridium","Quercus","Ranunculus.subg..Batrachium","Ranunculus.undiff.","Rosaceae","Rumex","Ruppia.maritima","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella.selaginoides","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Sphagnum","Stuckenia","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica","Vitis","Xanthium","Zea.mays"
1,-15,0,1,0,3,47,69,0,0,59,4,2,7,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,7,0,7,2,12,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,32,0,0,87,3,0,0,13,0,0,0,65,2,0,1,0,0,0,0,1,0,0,1,0,0,2,9,1,0,0,1,0
5,5,0,3,0,13,59,68,0,0,36,9,2,6,3,0,0,0,1,1,9,0,0,0,1,0,0,0,0,7,0,7,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,76,3,0,0,15,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0
10,31,0,2,0,9,72,94,1,0,51,5,0,2,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,2,0,2,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,50,0,0,0,14,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,10,3,0,0,1,0
20,81,0,0,0,0,51,64,0,0,34,4,2,0,0,0,9,1,0,0,13,0,0,0,0,0,0,0,0,6,0,6,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,2,0,39,0,1,0,7,0,0,0,0,4,3,4,16,0,0,0,1,0,0,0,0,0,1,14,4,0,0,0,0
30,132,0,1,0,9,59,61,0,0,68,11,0,2,3,0,0,1,1,2,10,0,0,0,0,0,0,0,0,2,0,2,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,24,0,1,47,1,0,0,13,0,0,0,0,4,0,3,1,0,0,0,0,1,0,1,0,0,0,6,3,0,0,0,1
40,183,0,1,0,2,30,40,0,0,54,8,0,7,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,3,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,38,0,0,48,0,3,1,12,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0
45,208,0,0,0,5,23,20,1,0,70,18,0,5,0,0,0,0,0,1,29,0,0,0,0,0,0,0,0,2,0,2,1,10,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,34,0,0,99,1,0,0,17,0,0,0,1,3,0,0,2,0,0,0,0,1,0,0,0,0,0,8,7,0,0,1,0
50,234,0,2,0,3,13,41,2,1,112,9,0,7,4,0,0,1,0,0,25,0,1,1,0,0,0,0,0,6,0,6,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,0,0,61,0,0,0,12,0,0,0,0,7,0,1,1,1,0,0,0,0,0,1,0,0,1,8,5,0,0,1,0
60,284,0,1,0,2,8,41,0,0,83,17,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,4,0,4,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,47,0,0,35,0,3,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,7,9,0,0,0,0
80,386,0,0,0,7,17,34,1,0,52,18,0,7,0,0,0,0,1,1,30,0,0,0,0,0,0,0,0,15,0,15,1,13,1,1,0,0,0,0,0,0,1,3,0,0,0,1,1,38,0,0,53,0,1,0,20,0,0,0,1,8,0,5,3,0,0,0,1,0,0,1,0,0,3,10,0,1,0,0,0
