"sample.depths","sample.ages","Abies","Ambrosia.type","Artemisia","Betula","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Herbs.undiff.","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Tsuga","Ulmus","Alnus","Acer","Fraxinus","Myrica","Populus","Poaceae","Aquifoliaceae","Tilia","Castanea","Corylus","Salix","Asteraceae.subf..Asteroideae.undiff.","Carya","Rosaceae.undiff.","Thalictrum","Juglans","Amaranthaceae.undiff.","Sanguisorba","Taxus","Trees.undiff.","Platanus","Sarcobatus.vermiculatus","Rhamnaceae.Vitaceae","Shepherdia"
0,50,0.0298165137614679,0.018348623853211,0.00229357798165138,0.538990825688073,0.00229357798165138,0.00688073394495413,0.00458715596330275,0.0321100917431193,0.0160550458715596,0.00229357798165138,0.00229357798165138,0.128440366972477,0.0321100917431193,0.0229357798165138,0.018348623853211,0.0137614678899083,0.00458715596330275,0.0206422018348624,0.0091743119266055,0.036697247706422,0.0160550458715596,0.00229357798165138,0.00688073394495413,0.00229357798165138,0.0298165137614679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,167,0.0408163265306122,0.00255102040816327,0,0.505102040816326,0,0.0102040816326531,0,0.0459183673469388,0.0076530612244898,0.0076530612244898,0.00255102040816327,0.130102040816327,0.0357142857142857,0.0433673469387755,0.0076530612244898,0.0357142857142857,0,0.0637755102040816,0.0127551020408163,0.0204081632653061,0.0178571428571429,0.00510204081632653,0,0,0,0.00255102040816327,0.00255102040816327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,402,0.0537897310513447,0.00733496332518337,0,0.533007334963325,0,0.0171149144254279,0,0.0268948655256724,0.0097799511002445,0.00488997555012225,0.00488997555012225,0.132029339853301,0.0317848410757946,0.019559902200489,0.0244498777506112,0.0244498777506112,0,0.039119804400978,0.00488997555012225,0.0342298288508557,0.0146699266503667,0.00733496332518337,0,0,0.00488997555012225,0,0,0.00244498777506112,0.00244498777506112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,637,0.0441501103752759,0,0,0.600441501103753,0.0022075055187638,0.011037527593819,0,0.0485651214128035,0.00441501103752759,0,0.0022075055187638,0.0242825607064018,0.0596026490066225,0.0573951434878587,0.0198675496688742,0.0176600441501104,0,0.0309050772626932,0.00441501103752759,0.0132450331125828,0.033112582781457,0.00883002207505519,0.0022075055187638,0.00441501103752759,0.00441501103752759,0,0,0,0.0022075055187638,0.0022075055187638,0.0022075055187638,0,0,0,0,0,0,0,0,0,0,0,0
70,872,0.0265060240963855,0,0,0.506024096385542,0,0.0120481927710843,0,0.0746987951807229,0.0072289156626506,0.00240963855421687,0.00481927710843374,0.0337349397590361,0.0554216867469879,0.101204819277108,0.0120481927710843,0.0168674698795181,0,0.036144578313253,0.00963855421686747,0.0409638554216867,0.0265060240963855,0.0216867469879518,0,0,0.00240963855421687,0,0.00240963855421687,0,0,0,0,0.0072289156626506,0,0,0,0,0,0,0,0,0,0,0
88,1084,0.0618556701030928,0,0.00257731958762887,0.528350515463918,0,0.00515463917525773,0,0.0438144329896907,0.0103092783505155,0.00257731958762887,0.0154639175257732,0.121134020618557,0.0412371134020619,0.0257731958762887,0.0206185567010309,0.0180412371134021,0,0.0592783505154639,0.00257731958762887,0.0103092783505155,0.0128865979381443,0.00515463917525773,0,0,0.00257731958762887,0,0,0,0,0,0.00515463917525773,0.00257731958762887,0.00257731958762887,0,0,0,0,0,0,0,0,0,0
108,1238,0.0366132723112128,0.0022883295194508,0,0.505720823798627,0,0.0068649885583524,0,0.080091533180778,0.0068649885583524,0,0.0137299771167048,0.0503432494279176,0.0274599542334096,0.0594965675057208,0.0251716247139588,0.022883295194508,0,0.0823798627002288,0.0045766590389016,0.0366132723112128,0.0183066361556064,0.0068649885583524,0,0,0.0068649885583524,0.0045766590389016,0,0,0,0,0.0022883295194508,0,0,0,0,0,0,0,0,0,0,0,0
118,1315,0.0143737166324435,0,0,0.616016427104723,0.0082135523613963,0.0102669404517454,0,0.0739219712525667,0.0164271047227926,0.00410677618069815,0.0082135523613963,0.0246406570841889,0.0390143737166324,0.0410677618069815,0.0246406570841889,0.0225872689938398,0,0.0287474332648871,0.0143737166324435,0.0164271047227926,0.0225872689938398,0.00205338809034908,0,0.00205338809034908,0.00410677618069815,0.00205338809034908,0,0.00410677618069815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,1392,0.04,0,0,0.52,0,0.0125,0,0.0775,0.0075,0.0025,0.0075,0.025,0.0625,0.0575,0.0075,0.03,0,0.07,0.005,0.0475,0.0075,0.005,0,0,0,0,0,0,0.0025,0.0025,0.0025,0.0025,0,0.0025,0.0025,0,0,0,0,0,0,0,0
148,1547,0.0478589420654912,0.00251889168765743,0.00251889168765743,0.596977329974811,0,0.0100755667506297,0,0.0780856423173804,0.00503778337531486,0.00503778337531486,0.0075566750629723,0.0075566750629723,0.035264483627204,0.0377833753148615,0.0201511335012594,0.0151133501259446,0,0.0579345088161209,0.00503778337531486,0.035264483627204,0.0125944584382872,0.00503778337531486,0,0,0.00251889168765743,0,0,0,0.00251889168765743,0,0.00251889168765743,0,0,0,0,0.00251889168765743,0.00251889168765743,0,0,0,0,0,0
