"sample.depths","sample.ages","upland.sum","Artemisia","Carya","Caryophyllaceae","Amaranthaceae.undiff.","Asteraceae.undiff.","Corylus","Cyperaceae","Epilobium","Picea","Platanus","Quercus","Salix","Thalictrum","Alnus","Ambrosia","Rosaceae.undiff.","Juniperus.type","Fraxinus","Pinus","Amorpha","Poaceae","Brassicaceae","Dalea","Primula","Caltha.type","Polemonium","Anemone.type","Euphorbia.subg..Chamaesyce.type","cf..Valerianella","Potentilla.type.undiff.","Abies","Betula","Ranunculaceae.undiff.","Apiaceae","Phlox","Plantago","Potentilla.subg..Comarum.type","Pinaceae.undiff.","Geum.type","Ostrya.Carpinus","Shepherdia.canadensis","Liliaceae","Dodecatheon.type","Lomatogonium","Castanea","Iva.annua.type","Sarcobatus.vermiculatus","Ulmus","Vitis","Gentianaceae.undiff.","Cornus","Fabaceae.undiff.","Xanthium","Betulaceae.undiff.","Hypericum","Lonicera","Sanguisorba.canadensis","Hedyotis","Boraginaceae","Tilia","Genista.type","Rumex","Viola","Populus","Campanula","Viburnum","Allium.type","Larix","Scrophulariaceae","Sedum","Urtica"
313,19286,443,5,1,27,1,4,1,68,1,245,1,10,5,4,3,4,1,1,1,5,1,33,2,1,4,1,7,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,19740,601,16,0,6,3,5,1,100,0,293,2,4,5,1,1,5,0,5,3,6,0,123,0,0,1,1,4,0,0,0,0,5,2,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,20194,703,24,1,13,2,6,1,202,2,269,0,15,7,1,3,2,0,5,0,10,0,105,1,0,4,0,6,1,0,0,2,5,2,1,3,0,0,0,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,20648,356,23,1,2,2,3,0,55,0,194,1,9,1,1,1,3,0,2,0,8,0,14,1,0,5,0,19,0,0,1,1,2,2,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,21102,406,13,0,6,0,2,0,104,0,227,0,4,1,1,3,2,0,6,0,4,0,19,0,0,2,0,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,21578,375,14,1,2,1,0,0,73,0,220,1,10,4,0,1,0,0,1,1,3,0,17,0,0,6,0,2,0,0,0,0,7,3,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,22010,447,9,0,0,1,4,1,60,0,286,0,2,9,1,0,2,0,12,0,24,0,16,0,0,0,0,1,0,0,0,1,10,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,22577,380,13,1,1,0,6,1,70,1,215,0,1,2,3,0,3,0,2,0,10,0,26,0,0,3,0,3,0,0,0,0,9,2,3,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,22917,408,17,0,3,0,4,0,69,0,238,0,8,6,0,2,1,0,1,0,10,0,22,0,0,0,0,3,0,0,1,0,6,3,9,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493,23371,432,16,1,11,1,2,2,83,1,248,0,1,4,3,3,2,0,4,0,11,0,23,0,0,4,0,2,0,0,0,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513,23825,426,24,0,1,1,6,0,81,0,221,1,6,1,3,2,1,0,7,0,9,0,26,0,0,6,3,1,0,0,0,0,9,5,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,1,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,24279,441,8,0,0,1,4,1,89,0,270,1,4,3,0,1,1,0,4,0,8,0,24,0,0,4,0,1,0,0,0,1,3,3,0,2,1,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553,24733,398,9,0,0,2,10,2,68,0,222,0,5,3,1,2,3,0,6,0,20,0,23,1,0,1,0,0,0,0,0,1,5,7,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
573,25187,560,19,0,1,3,1,1,101,0,328,0,2,5,0,3,1,0,5,1,39,0,37,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593,25641,394,12,0,2,0,8,1,63,0,236,0,2,2,1,0,2,0,8,0,9,1,25,0,0,2,0,1,0,0,0,0,0,5,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,26095,523,15,0,0,2,8,0,182,0,224,0,3,1,2,2,2,0,5,0,28,0,21,0,0,1,1,0,0,0,0,4,1,6,1,1,0,0,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
633,26549,575,14,0,0,1,1,0,217,0,264,0,1,4,4,0,3,0,5,2,16,0,26,0,0,1,0,1,0,0,0,4,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0
653,27003,469,18,0,2,0,6,0,78,0,273,1,3,0,0,0,1,1,4,1,42,0,21,0,0,0,1,1,0,0,0,0,1,4,2,2,1,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
673,27457,302,3,0,1,0,5,1,8,0,224,0,1,1,0,1,0,0,1,0,25,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693,27910,436,9,0,0,1,3,0,10,0,360,0,0,1,0,0,0,0,0,0,44,0,5,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715,28410,352,9,1,1,3,8,0,49,0,168,1,3,6,0,0,3,0,8,0,51,0,21,0,0,1,1,0,0,0,0,0,1,5,2,1,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
733,28818,434,19,0,1,0,5,0,28,0,266,0,2,3,1,0,0,0,2,0,78,0,14,0,0,2,1,0,0,0,1,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
743,29045,425,12,0,2,2,9,0,107,0,183,0,2,4,0,1,2,0,3,0,65,0,22,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
753,29272,474,23,0,3,2,13,1,108,0,198,0,3,10,4,1,4,0,7,0,43,0,35,0,0,0,4,0,0,0,0,2,3,1,1,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
763,NA,506,22,0,4,6,12,0,211,0,88,3,11,12,1,3,1,0,4,0,57,0,48,0,0,2,0,0,2,0,0,1,0,9,0,3,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
778,NA,702,40,0,6,10,28,13,173,0,162,0,11,18,2,2,7,0,24,0,86,1,85,1,0,2,2,0,0,0,0,0,0,7,2,3,2,0,0,5,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
