"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Ambrosia.type","Artemisia","Betula","Corylus","Cyperaceae","Fagus","Larix","Ostrya.Carpinus","Picea","Pinus.undiff.","Quercus","Salix","Sambucus","Sanguisorba","Ulmus","Alnus","Juniperus.Thuja","Fraxinus","Myrica","Populus","Amaranthaceae","Poaceae","Polygonum","Acer.saccharum","Pinus.strobus","Tsuga.canadensis","Pinus.banksiana.P..resinosa","Carya","Castanea","Ilex","Rubus","Rumex","Tilia","Juglans","Other.upland.herbs","Urtica","Celtis","Asteraceae.undiff.","Nyssa","Stachys.type","Ericaceae","Vitis","Cornus","Acer.negundo","Caryophyllaceae","Galium","Nemopanthus.mucronatus","Morus","Cephalanthus.occidentalis","Liquidambar","Ranunculaceae.undiff.","Rosaceae.undiff.","Saxifragaceae","Iva","Thalictrum","Humulus","Dryas"
50.5,1293,556,3,7,5,0,112,0,0,40,0,18,13,16,85,1,0,0,2,14,0,6,0,0,2,9,0,9,74,120,12,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
55.5,1475,460,12,6,2,0,89,0,0,24,0,30,3,22,75,1,0,0,1,5,0,1,0,0,0,1,0,4,97,85,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.5,1670,336,1,0,3,0,84,0,0,25,0,19,1,11,77,5,0,0,1,7,0,3,0,1,0,1,0,1,36,54,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.5,1880,753,2,7,1,2,202,1,1,76,0,25,0,20,110,1,0,0,9,17,2,8,4,8,0,4,0,5,134,97,10,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
70.5,2104,354,2,8,2,0,99,0,0,29,0,21,5,16,27,1,0,0,4,5,0,9,0,0,1,1,0,5,51,58,3,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75.5,2342,762,3,18,1,0,209,0,3,83,0,33,5,13,101,5,0,0,4,12,0,9,6,5,0,1,0,3,86,144,8,3,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80.5,2587,430,3,13,0,0,100,1,0,55,0,16,5,13,42,0,0,0,1,6,0,6,0,3,1,1,0,1,52,99,3,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
85.5,2835,444,3,9,2,0,95,1,3,45,0,4,1,18,56,0,0,0,7,8,0,4,1,9,0,1,0,5,73,83,6,3,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
90.5,3082,556,1,9,4,2,148,0,0,42,0,26,0,18,100,4,0,0,1,24,0,12,0,1,0,0,0,0,86,57,9,2,1,0,0,0,2,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95.5,3323,340,0,6,1,1,79,0,3,35,0,17,6,18,48,0,0,0,2,11,0,8,2,1,0,1,0,1,53,37,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.5,3552,394,3,6,0,0,102,1,0,47,0,7,0,14,66,2,0,0,5,13,0,1,0,7,0,1,0,7,49,48,5,1,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
105.5,3766,527,4,12,2,0,105,0,5,47,0,14,3,22,101,0,0,0,4,24,0,14,1,3,0,5,0,4,104,31,9,2,3,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0
110.5,3960,471,5,6,1,0,105,4,0,41,0,13,2,16,109,1,0,0,3,22,3,14,0,0,1,1,0,4,63,32,12,2,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
115.5,4136,464,1,5,3,2,93,0,3,23,1,14,1,20,138,1,0,0,4,32,0,8,2,1,0,2,0,2,81,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
120.5,4300,423,4,7,0,0,69,1,0,16,0,23,4,19,115,2,0,0,4,31,0,11,0,5,0,10,0,3,63,15,13,2,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125.5,4460,756,3,9,4,1,124,0,2,36,0,34,14,24,199,9,0,0,3,59,0,2,13,2,0,0,0,8,115,18,64,4,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
130.5,4622,339,4,7,1,0,58,2,0,16,0,15,4,21,80,1,0,0,1,27,1,5,0,0,0,2,0,5,40,14,28,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135.5,4793,819,3,21,3,1,193,0,1,41,0,39,2,27,157,3,0,0,6,34,1,20,9,3,0,2,0,5,180,26,34,2,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
140.5,4979,383,5,8,4,0,86,1,0,48,0,25,5,17,56,1,0,0,6,10,0,11,0,4,1,5,0,7,56,19,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145.5,5188,364,1,3,0,0,85,0,3,60,0,14,0,21,49,0,0,0,3,10,0,1,2,6,0,0,0,2,73,28,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.5,5421,405,0,11,2,0,92,1,0,51,0,14,3,15,38,5,0,0,5,17,0,13,0,0,0,3,0,5,60,61,0,2,1,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155.5,5659,461,0,3,2,1,85,0,0,31,0,14,0,19,54,4,0,0,6,8,0,6,0,2,0,1,0,0,82,135,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
160.5,5891,366,1,4,0,0,55,1,0,22,0,14,5,9,28,1,0,0,6,16,0,8,0,1,0,2,0,5,32,154,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170.5,6336,399,0,9,0,2,66,0,0,30,0,14,1,14,58,0,0,0,4,23,0,9,0,2,0,2,0,5,53,101,0,1,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
