"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Acer.spicatum","Acer.undiff.","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Brasenia.schreberi","Caltha","Cannabaceae","Carya","Caryophyllaceae","Castanea","Celtis","Comptonia.peregrina","Cornus","Corylus","Cyperaceae","Dalea","Dryopteris.type","Ephedra","Equisetum","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Galium","Huperzia.selago","Hydrophyllum","Hypericum","Ilex","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Juniperus.Thuja","Lamiaceae","Laportea.type","Larix","Ledum.Chamaedaphne.calyculata","Liliaceae","Lycopodium.annotinum","Lycopodium.clavatum","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.major","Platanus","Poaceae.undiff.","Polygonum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potentilla.type","Pteridium.type","Pteridophyta.undiff.","Quercus","Ranunculus","Rhamnaceae","Rosaceae.undiff.","Rubus","Salix","Sambucus","Sarcobatus.vermiculatus","Sarracenia","Saxifragaceae","Shepherdia","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica.type","Utricularia","Vaccinium","Valeriana","Vitis","Xanthium","Zea.mays"
960,7714,1,1,1,0,0,9,0,1,2,0,0,5,1,0,0,13,0,0,0,0,0,0,1,0,1,1,3,0,1,0,0,0,0,6,2,0,0,0,0,0,3,15,3,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,17,1,9,162,58,0,0,2,0,0,1,0,0,1,4,17,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0
1000,8289,4,0,4,0,0,9,0,2,5,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,15,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,107,85,0,1,4,0,0,3,0,0,0,2,19,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,17,0,0,0,0,0,0,0,0
1030,8734,1,1,5,0,0,9,0,2,7,0,0,3,2,0,0,17,0,0,0,0,0,0,0,0,0,1,5,0,2,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,16,0,6,173,65,0,0,5,0,0,2,0,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,2
1060,9191,3,0,8,0,0,14,0,2,4,0,1,3,5,0,1,37,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,5,2,0,0,1,0,0,1,7,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,11,1,21,89,48,0,1,4,0,0,2,0,0,0,1,20,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15,3,0,0,0,0,0,0,0
1100,9817,6,1,1,0,0,12,0,2,2,0,0,2,2,0,0,21,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,5,2,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,2,21,64,115,0,0,6,0,0,1,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0
1120,10137,11,0,2,0,1,15,0,2,4,0,0,7,1,0,2,40,0,0,0,3,0,0,2,1,0,1,3,0,0,0,1,0,0,15,2,0,0,0,0,0,0,9,2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,3,0,0,0,4,8,10,40,19,81,0,2,5,0,0,6,0,0,1,1,23,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,45,1,0,0,0,0,0,0,0
1140,10463,5,0,4,0,0,13,0,3,5,0,0,7,0,0,0,29,0,0,0,1,0,0,0,1,0,1,3,0,2,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,2,8,12,70,2,59,0,0,4,0,0,5,1,0,5,6,22,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,33,0,0,0,0,0,0,0,0
1160,10793,5,0,1,0,0,3,0,2,1,0,0,3,1,0,0,46,0,0,0,4,0,0,0,0,0,4,5,0,1,0,1,0,0,9,1,2,0,0,0,0,0,8,0,0,0,2,0,0,3,0,1,9,0,0,0,1,0,0,0,0,0,0,3,6,20,62,6,43,0,2,3,0,0,7,0,0,6,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
1200,11469,5,0,3,0,0,2,0,2,0,0,0,3,0,0,0,45,0,0,0,3,0,0,1,0,0,2,6,2,2,0,0,0,0,16,0,3,0,0,0,0,0,4,0,0,1,0,0,0,3,0,1,8,0,0,0,0,0,1,0,0,0,0,12,15,27,58,5,62,0,0,9,0,0,7,0,0,0,2,21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
1220,11815,8,0,2,0,0,0,0,1,5,0,0,4,0,0,1,72,0,1,0,2,0,0,1,0,0,5,5,0,1,0,0,0,0,11,1,0,0,0,0,0,0,7,0,0,1,5,0,0,3,0,2,5,0,0,0,3,0,0,0,0,0,0,2,4,30,95,1,70,0,0,6,0,0,16,1,0,2,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,2,0,0,0,0,0,0
1240,12166,2,0,0,0,0,2,0,0,1,0,0,5,0,0,0,19,0,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,19,1,1,0,0,0,0,0,6,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,56,88,0,48,0,0,2,0,0,5,0,0,1,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,1,1,0,0,0,0,0,0
1260,12521,5,0,0,0,0,3,0,1,2,0,0,4,3,0,0,15,2,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,30,2,0,0,0,0,0,0,7,1,1,0,0,0,0,7,0,0,30,0,0,0,0,1,0,0,1,0,0,0,8,154,20,0,16,0,0,4,0,0,12,0,0,0,1,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,19,2,0,0,0,0,0,0,0
1280,12882,0,0,0,0,0,5,0,3,1,0,0,7,1,0,0,22,0,0,0,0,0,0,0,0,0,2,16,0,1,0,1,0,0,3,1,0,0,0,0,0,0,8,4,1,0,0,0,0,9,0,0,9,0,0,1,0,0,1,0,0,0,0,0,3,208,3,1,3,0,0,9,0,0,14,0,0,1,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
1300,13247,1,0,0,0,0,1,0,0,1,0,0,7,1,0,0,18,0,0,0,1,0,0,3,0,1,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,23,0,0,6,0,0,0,0,0,1,0,0,0,0,4,3,210,1,0,3,0,0,8,0,0,8,1,0,1,0,7,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0
1320,13618,0,0,0,0,0,6,1,1,0,0,0,12,0,0,0,29,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,11,1,0,0,0,0,0,0,15,0,0,0,0,0,0,11,0,0,4,0,0,1,0,0,0,1,0,0,1,0,1,140,1,0,1,0,0,16,0,0,3,0,0,2,2,12,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0
1340,13994,0,0,0,0,0,2,0,1,3,0,0,20,2,0,0,20,0,0,1,0,0,0,0,0,0,1,4,0,0,0,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,1,1,2,200,1,0,0,0,0,24,0,0,10,0,2,0,0,4,0,1,0,0,3,0,1,0,1,0,0,0,3,0,0,0,4,1,0,0,0,1,0,0,0
1360,14375,0,0,0,0,0,8,0,5,6,0,0,23,3,0,0,17,0,0,2,0,0,0,0,2,1,4,19,0,0,0,0,0,0,9,1,1,0,0,0,0,0,20,0,0,1,0,0,0,14,0,0,10,0,0,0,0,1,1,0,0,0,1,0,3,127,0,0,0,0,0,28,1,6,4,0,1,1,5,10,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,4,1,1,0,0,0,0,0,0
1380,14760,1,0,1,0,0,2,0,4,5,0,0,24,2,0,0,10,0,0,3,0,0,0,0,0,0,5,14,0,0,0,2,0,0,15,0,0,0,0,0,0,0,3,0,1,1,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,121,0,2,2,0,0,25,0,0,15,0,0,3,5,14,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,6,1,1,0,0,0,0,0,0
1400,15151,1,0,0,0,0,2,1,3,1,0,0,19,10,0,0,4,0,3,2,0,0,0,3,0,1,0,12,0,0,0,4,0,0,25,1,0,0,0,0,0,0,15,0,3,2,0,0,0,10,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,177,0,0,1,0,1,15,0,0,21,1,0,0,4,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
