"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva.annua.type","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Thalictrum","Urtica","Xanthium","Zea","Botrychium","Dennstaedtia","Diphasiastrum.complanatum","Huperzia.lucidula","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.obscurum","Lycopodium.undiff.","Osmunda","Pteridium","Woodsia","Sphagnum","Brasenia.schreberi","Drosera","Isoëtes","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Ruppia","Typha","Spore..monolete.","Spore..trilete.","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..hidden.","Indeterminable.undiff.","Unknown"
1.5,-35,0,8,6,0,2,0,6,185,11,3,0,0,0,1,2,0,22,4,1,0,1,0,1,0,0,0,4,0,3,0,7,20,31,0,1,164,0,0,0,0,0,23,5,0,17,0,0,2,0,0,0,2,0,0,0,0,1,3,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,1,7,0,3,0,0,6,1,0,1,0,0,2,1,0,5,0,4,13,0,0
3.5,-22,1,9,5,2,7,0,4,229,6,16,0,0,0,0,3,1,15,8,0,0,1,0,1,0,0,0,6,0,6,2,3,19,26,2,0,121,0,1,0,0,0,26,6,0,34,0,0,0,0,0,2,4,0,0,0,0,1,14,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,1,0,0,8,4,0,0,0,0,0,0,0,0,0,7,5,0,0
5.5,-10,2,7,6,1,17,0,3,240,7,19,0,1,0,1,1,2,23,9,1,2,2,0,1,0,0,0,9,0,7,2,3,11,28,3,0,108,0,0,0,0,1,18,6,1,55,0,0,3,0,0,0,5,0,0,0,0,4,36,0,0,0,1,8,0,0,0,0,0,1,0,1,0,0,0,1,1,10,2,0,0,0,12,5,1,0,0,0,0,4,0,8,3,6,0,0,0
7.5,3,1,3,6,1,9,0,2,223,4,45,0,0,0,0,2,2,30,8,0,2,1,1,2,0,1,0,8,0,2,3,2,10,30,1,1,100,0,0,0,0,0,22,9,0,51,0,0,3,0,0,0,4,0,0,0,0,4,46,0,0,0,3,25,0,0,0,0,0,3,0,0,0,0,0,2,2,7,0,3,0,0,20,3,0,1,0,0,0,3,0,3,0,4,1,0,0
9.5,16,1,6,9,2,13,0,2,244,9,31,0,0,0,1,2,3,29,11,1,1,2,1,0,0,0,0,12,0,1,2,6,3,25,2,0,98,0,0,0,0,1,24,8,0,69,0,2,1,0,0,2,4,0,0,0,0,2,64,0,0,0,2,33,0,0,0,0,0,1,0,0,0,0,0,1,2,9,0,3,0,0,22,4,1,2,0,0,1,4,0,7,2,15,10,0,0
11.5,28,0,4,11,0,15,0,3,223,5,60,0,0,0,1,1,2,35,8,2,1,1,0,1,0,0,0,6,0,0,1,6,6,44,1,0,76,0,2,0,0,1,21,7,0,58,0,0,1,0,0,0,1,0,0,0,0,4,46,0,0,0,0,21,0,0,0,0,0,4,0,0,0,0,0,4,2,4,0,0,0,0,17,0,0,3,0,0,0,1,0,7,3,12,4,0,0
13.5,41,0,5,8,1,12,0,3,166,3,79,0,2,0,1,3,2,43,14,1,1,2,3,0,0,0,0,15,1,1,1,3,6,48,2,0,98,0,2,0,0,2,36,6,0,71,0,1,1,0,0,0,4,0,0,0,1,1,44,1,0,0,2,41,0,0,0,0,0,7,0,0,0,0,0,5,1,9,1,2,10,0,22,2,0,1,0,0,1,1,0,16,10,20,2,0,1
15.5,53,0,6,9,2,12,0,2,147,6,81,0,0,0,0,2,4,42,5,3,1,1,1,0,1,0,0,27,0,2,6,8,10,53,1,0,86,0,0,0,0,0,37,7,0,42,0,1,1,0,0,0,3,0,0,0,0,1,74,0,0,0,0,40,0,0,0,0,0,3,0,0,0,0,0,2,1,13,1,3,10,0,32,1,0,0,0,0,0,3,1,11,6,20,3,0,0
17.5,66,0,5,1,2,10,0,1,151,6,70,0,0,0,0,2,1,40,4,1,1,1,3,1,0,0,0,17,1,2,4,2,23,51,0,0,97,0,1,0,0,1,47,4,0,48,0,1,4,0,0,1,3,0,0,0,0,1,61,0,0,0,1,47,1,0,0,0,0,3,0,0,1,0,0,0,3,6,1,2,8,0,42,1,1,1,0,0,1,5,1,8,4,6,8,0,0
19.5,79,2,6,6,2,7,0,2,165,10,58,0,1,0,1,1,2,38,2,2,3,1,1,0,0,1,0,18,2,2,2,7,12,47,2,2,94,0,1,0,0,1,51,4,0,35,0,1,1,0,0,0,3,0,0,0,0,1,68,0,0,0,2,36,0,0,0,0,0,8,0,0,0,0,0,2,1,13,0,1,9,0,44,0,0,1,0,0,0,4,0,6,2,11,9,0,1
