"sample.depths","sample.ages","Abies","Acer.rubrum","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Ostrya.Carpinus","Picea","Quercus","Salix","Sarcobatus.vermiculatus","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Fraxinus.americana.type","Populus","Poaceae","Iva.xanthifolia","Acer.saccharum","Pinus.strobus","Pinus.banksiana.P..resinosa","Fraxinus.nigra","Impatiens","Larix","Rumex","Iva.annua","Urtica","Thalictrum","Plantago","Platanus","Tsuga","Amorpha","Carya","Juglans.nigra","Xanthium","Dalea.purpurea","Polygonum.persicaria.type","Apiaceae","Rosaceae","Celtis","Humulus","Pinus.undiff.","Acer.negundo","Asteraceae.subf..Cichorioideae","Fagus","Juglans.cinerea","Dalea.candida.type","Shepherdia.canadensis","Vitis","Ericaceae"
1,25,0.0114942528735632,0.00229885057471264,0.0137931034482759,0.128735632183908,0.0183908045977011,0.00229885057471264,0.0137931034482759,0.0183908045977011,0.00229885057471264,0.0229885057471264,0.12183908045977,0.00919540229885057,0.00229885057471264,0.00229885057471264,0.00919540229885057,0.0160919540229885,0.0436781609195402,0.0942528735632184,0.00689655172413793,0.00919540229885057,0.0758620689655172,0.00229885057471264,0.0114942528735632,0.0942528735632184,0.264367816091954,0.00229885057471264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,155,0.018018018018018,0,0.0202702702702703,0.132882882882883,0.0337837837837838,0.0135135135135135,0.0202702702702703,0.0225225225225225,0.00225225225225225,0.0202702702702703,0.0563063063063063,0.0045045045045045,0,0,0.00225225225225225,0.018018018018018,0.0472972972972973,0.0833333333333333,0.0045045045045045,0.009009009009009,0.0585585585585586,0.0045045045045045,0.00675675675675676,0.045045045045045,0.351351351351351,0.0112612612612613,0.00225225225225225,0.0045045045045045,0.00225225225225225,0.00225225225225225,0.00225225225225225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,299,0.00789473684210526,0,0.0105263157894737,0.107894736842105,0.0131578947368421,0.00263157894736842,0.0210526315789474,0.0157894736842105,0.00789473684210526,0.0236842105263158,0.05,0.00526315789473684,0,0.00789473684210526,0.00526315789473684,0.00263157894736842,0.0368421052631579,0.0552631578947368,0.00263157894736842,0.00263157894736842,0.0473684210526316,0.00789473684210526,0.00526315789473684,0.163157894736842,0.376315789473684,0.0131578947368421,0,0.00263157894736842,0,0,0,0.00263157894736842,0.00263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,371,0.00533333333333333,0.00266666666666667,0.0106666666666667,0.125333333333333,0.00266666666666667,0.00533333333333333,0.0106666666666667,0.0133333333333333,0.0133333333333333,0.0186666666666667,0.0613333333333333,0.00533333333333333,0,0.00266666666666667,0.00533333333333333,0.00266666666666667,0.048,0.0586666666666667,0.00533333333333333,0.00266666666666667,0.0213333333333333,0,0.0106666666666667,0.088,0.466666666666667,0.00533333333333333,0,0.00533333333333333,0,0,0,0,0,0.00266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,443,0.00497512437810945,0,0.0174129353233831,0.111940298507463,0.00248756218905473,0.00248756218905473,0.0149253731343284,0.0124378109452736,0.0124378109452736,0.0223880597014925,0.0398009950248756,0.0099502487562189,0,0,0.00248756218905473,0.0099502487562189,0.0348258706467662,0.0298507462686567,0,0.00497512437810945,0.027363184079602,0,0.0124378109452736,0.263681592039801,0.335820895522388,0.00497512437810945,0,0.00746268656716418,0,0.00248756218905473,0,0.00248756218905473,0,0,0.00746268656716418,0.00248756218905473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,515,0.0056980056980057,0,0.0199430199430199,0.162393162393162,0,0.0056980056980057,0.0170940170940171,0.0113960113960114,0.0199430199430199,0.0056980056980057,0.0398860398860399,0.0056980056980057,0,0.00284900284900285,0,0.00284900284900285,0.0199430199430199,0.0113960113960114,0,0.0056980056980057,0.00854700854700855,0,0.00854700854700855,0.196581196581197,0.415954415954416,0.00284900284900285,0,0.0113960113960114,0,0,0,0.00284900284900285,0,0,0.0056980056980057,0,0.00284900284900285,0.00284900284900285,0.00284900284900285,0.00284900284900285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,586,0.00549450549450549,0,0.0137362637362637,0.159340659340659,0.00274725274725275,0.00549450549450549,0.0192307692307692,0.0137362637362637,0.00549450549450549,0.0164835164835165,0.0302197802197802,0,0.00274725274725275,0.00274725274725275,0.00549450549450549,0.0164835164835165,0.021978021978022,0.0164835164835165,0,0.00274725274725275,0.0137362637362637,0,0,0.214285714285714,0.412087912087912,0.00274725274725275,0,0.010989010989011,0,0,0,0.00274725274725275,0,0,0,0,0,0,0,0,0.00274725274725275,0,0,0,0,0,0,0,0,0,0,0,0,0
50,730,0.0125391849529781,0,0.0313479623824451,0.150470219435737,0,0.00626959247648903,0.00940438871473354,0.00626959247648903,0.0125391849529781,0.00940438871473354,0.0282131661442006,0.00626959247648903,0,0,0.00626959247648903,0.00626959247648903,0.0689655172413793,0.00940438871473354,0,0.00313479623824451,0.00940438871473354,0,0.00626959247648903,0.225705329153605,0.366771159874608,0,0,0.0125391849529781,0,0.00313479623824451,0,0.00313479623824451,0,0,0,0,0.00626959247648903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,872,0.0138504155124654,0.00277008310249307,0.0110803324099723,0.0997229916897507,0,0,0.0110803324099723,0.00831024930747922,0.0138504155124654,0.00831024930747922,0.0332409972299169,0,0,0.00554016620498615,0,0.00277008310249307,0.0277008310249307,0.00554016620498615,0,0.00554016620498615,0.0249307479224377,0,0,0.351800554016621,0.351800554016621,0.00831024930747922,0,0.0110803324099723,0,0,0,0,0,0,0.00277008310249307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1156,0.0029940119760479,0,0.0029940119760479,0.146706586826347,0.00598802395209581,0.0029940119760479,0.00598802395209581,0.0029940119760479,0.0209580838323353,0.0029940119760479,0.0508982035928144,0.00598802395209581,0,0.00898203592814371,0.00598802395209581,0.00598802395209581,0.0688622754491018,0.00898203592814371,0,0.00598802395209581,0.029940119760479,0,0.00598802395209581,0.320359281437126,0.272455089820359,0,0,0.0119760479041916,0,0,0,0,0,0.0029940119760479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
