"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Cyperaceae","Herbs.undiff.","Picea","Platanus","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Fraxinus","Juglans","Pinus","Amaranthaceae","Poaceae","Humulus","Carya","Alnus","Acer","Ostrya.Carpinus","Salix","Cornus","Celtis","Corylus","Cupressaceae","Populus","Tilia","Abies","Larix","Shepherdia.canadensis"
0,13,467,20,7,3,98,7,6,3,27,9,2,3,1,22,250,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,497,443,29,8,1,69,1,1,3,57,13,2,1,1,21,209,23,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
16,978,478,31,6,0,80,5,4,4,64,8,2,0,2,25,204,30,0,6,2,2,1,1,1,0,0,0,0,0,0,0,0
24,1454,487,46,19,1,102,8,0,11,77,14,4,1,0,24,138,32,0,5,1,0,1,1,0,1,1,0,0,0,0,0,0
30,1806,464,23,12,3,91,5,0,7,48,13,5,1,2,16,171,46,0,10,3,3,1,1,0,0,1,1,1,0,0,0,0
35,2095,541,45,11,5,174,10,1,6,68,23,6,1,2,27,82,72,0,2,0,0,1,1,0,1,1,1,0,1,0,0,0
40,2379,455,35,18,3,87,10,1,8,85,21,9,6,2,20,70,62,0,7,5,0,2,1,0,0,0,2,1,0,0,0,0
45,2658,489,43,15,3,116,6,1,5,50,16,5,5,2,13,128,64,0,2,2,2,5,1,0,0,0,5,0,0,0,0,0
50,2931,472,35,16,4,92,6,0,8,67,16,11,1,2,16,99,86,1,5,2,2,1,2,0,0,0,0,0,0,0,0,0
55,3198,485,39,13,4,104,6,0,7,53,12,7,1,5,13,145,64,0,3,3,0,0,1,0,1,2,1,0,1,0,0,0
60,3457,454,19,11,1,88,5,0,11,52,8,6,3,5,16,120,87,1,8,3,3,3,3,0,0,0,1,0,0,0,0,0
65,3708,470,19,14,4,94,5,1,5,36,20,5,1,2,10,166,67,0,10,2,1,3,0,0,0,0,5,0,0,0,0,0
