"sample.depths","sample.ages","upland.sum","Alnus.viridis.type","Artemisia","Betula","Cyperaceae","Ericaceae","Larix","Picea.mariana.type","Pinus.undiff.","Asteraceae.subf..Asteroideae.undiff.","Amaranthaceae","Poaceae","Corylus.cornuta","Pinus.banksiana.type","Picea.undiff.","Saxifragaceae.undiff.","Alnus.incana.type","Ambrosia.type","Fraxinus.nigra.type","Picea.glauca.type","Quercus","Rosaceae.undiff.","Juniperus.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Salix.undiff.","Fagus","Populus.tremuloides.type","Abies.balsamea","Ulmus","Pinus.resinosa.type","Myrica.gale","Fraxinus.pennsylvanica.type","Saxifraga.oppositifolia.type","Tsuga.canadensis","Brassicaceae","Potentilla.palustris.type","Acer.rubrum","Caryophyllaceae","Epilobium","Acer.saccharum","Ribes","Salix.vestita.type","Juglans.cinerea","Sambucus","Populus.balsamifera.type","Shepherdia.canadensis","cf..Oxyria.digyna"
3,81,518,106,3,96,63,7,2,113,3,5,1,5,1,13,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,678,650,89,7,111,60,8,8,202,16,2,0,7,0,26,96,0,2,2,1,2,1,1,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1356,454,53,5,73,28,6,4,166,5,1,2,2,0,9,88,0,2,0,0,0,1,0,3,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1979,603,111,10,113,15,4,2,273,5,0,0,3,0,18,45,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2491,791,162,6,148,35,5,2,247,5,1,0,7,1,7,145,0,2,1,0,0,0,0,11,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2783,410,129,5,101,18,1,0,104,1,1,0,8,0,5,25,0,2,2,0,0,3,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2964,860,266,6,160,28,5,5,242,5,0,0,6,0,14,107,0,4,1,0,0,1,0,5,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3144,497,160,1,105,17,2,3,164,1,0,0,5,0,6,29,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3324,927,320,2,137,17,2,2,305,2,1,1,4,1,8,108,0,3,1,0,0,1,0,4,1,0,3,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
225,3504,612,226,1,128,7,0,3,206,0,1,1,7,0,1,24,0,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
250,3684,585,233,1,89,14,2,3,196,1,0,0,4,0,3,30,0,1,0,0,0,2,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,3865,541,237,0,69,10,5,1,186,1,0,0,2,0,3,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
300,4154,775,418,3,176,15,6,8,102,1,0,0,9,0,7,24,0,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,NA,662,360,3,142,16,3,1,94,2,0,1,16,0,7,10,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
325,NA,447,189,0,145,6,5,1,84,0,0,0,10,0,2,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,NA,591,276,3,207,11,3,6,60,1,0,0,7,0,5,8,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
350,NA,404,157,2,169,20,2,3,24,3,0,0,6,0,5,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
365,NA,448,178,4,179,18,5,0,39,1,0,1,7,0,3,5,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
375,NA,665,197,4,414,19,6,2,9,0,0,1,5,0,0,0,0,0,2,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
385,NA,558,165,3,270,30,5,0,40,1,0,0,9,0,17,11,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
400,NA,775,187,9,394,76,5,0,25,2,1,3,21,1,10,6,0,0,1,0,0,0,0,10,2,0,12,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2
