"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Acer.rubrum","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Populus.undiff.","Quercus","Rumex","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Rosaceae.undiff.","Poaceae","Iva.xanthifolia","Plantago","Potentilla","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Sarcobatus.vermiculatus","Vitis","Humulus","Acer.saccharum","Rubiaceae","Ostrya","Tilia","Tsuga","Populus.tremuloides.type","Iva.annua","Apiaceae","Carya","Juniperus.type","Juglans.cinerea","Taxus","Juglans.undiff.","Urticaceae","Populus.balsamifera","Epilobium","Platanus","Xanthium","Lamiaceae","Ephedra.trifurca.type","Dalea.purpurea","Thalictrum","Fraxinus.pennsylvanica","Polygonum","Juglans.nigra","Rhus","Castanea","Ranunculus","Ephedra.viridis.type","Brassicaceae","Asteraceae.subf..Cichorioideae","Zanthoxylum","Parthenocissus","Comptonia.peregrina","Viburnum","Fabaceae.undiff.","Cornus"
105,18,469,4,1,1,7,60,21,4,3,1,1,5,3,6,9,41,1,34,5,5,2,6,24,73,1,41,1,1,1,19,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,54,346,3,1,0,3,48,3,2,6,0,0,3,2,7,6,44,0,13,0,1,1,1,17,25,0,23,0,0,0,16,114,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,117,349,9,0,0,2,64,1,1,4,1,0,1,2,1,4,46,1,15,0,1,0,3,5,3,0,4,1,0,0,14,161,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,208,350,8,0,0,1,30,0,0,6,3,0,0,5,5,5,45,0,8,0,0,0,0,9,3,1,4,1,0,0,21,193,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,300,348,4,0,0,3,46,0,0,4,0,0,0,2,4,10,40,0,9,0,0,0,0,15,4,0,3,0,0,0,40,160,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,391,348,8,0,0,0,39,0,0,6,0,0,1,4,6,4,46,0,10,0,0,3,1,13,6,0,4,0,0,0,15,178,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,528,349,14,1,0,4,47,1,0,5,0,0,3,1,2,6,44,0,11,0,0,0,3,9,4,0,2,0,0,0,23,165,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,619,349,7,0,0,2,50,1,2,8,0,0,0,1,5,10,40,0,13,0,1,1,0,25,3,0,2,0,0,0,35,140,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,710,350,6,0,0,5,50,3,1,3,1,0,4,4,6,3,47,1,18,0,1,3,0,7,3,0,3,0,0,0,11,165,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,801,450,0,1,1,4,30,1,0,6,2,0,5,0,4,3,47,0,17,0,0,1,3,2,4,0,2,0,0,0,19,292,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
