"sample.depths","sample.ages","Lycopodium.spike..number.counted.","Abies","Acer","Alnus","Betula","Carya","Celtis","Corylus","Fagus","Fraxinus","Juglans","Juniperus","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Spore","Ambrosia","Artemisia","Asteraceae.undiff.","Chenopodium","Cyperaceae","Poaceae","Nuphar","Sparganium","Myriophyllum","Typha","Equisetum","Rubus","Castanea","Planera.aquatica","Nymphaea","Mitella","Geranium","Potamogeton","Tilletia","Urtica","Rhamnus","Brassicaceae","Plantago","Menispermaceae","Polygonum","Eupatorium","Thalictrum","Ruppia","Oxalis","Aquifoliaceae","Epilobium","Stellaria","Nyssa","Cornus","Indeterminable"
0,-55,68,0,3,4,7,5,0,2,2,2,0,3,1,0,1,0,14,18,0,2,136,0,0,0,10,18,63,2,0,4,1,9,1,0,0,0,12,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-14,200,0,4,3,10,2,0,1,6,3,0,2,1,0,1,1,4,53,0,2,133,1,0,11,8,1,7,1,0,0,1,6,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
20,28,215,0,5,1,5,6,4,5,3,4,1,0,1,0,4,2,33,44,0,4,116,1,0,0,3,14,7,1,5,0,6,4,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,70,224,0,3,3,9,1,0,0,0,4,1,1,2,0,4,1,21,43,0,1,115,7,1,2,11,16,3,3,3,1,2,11,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
40,113,256,0,1,3,23,3,1,0,2,6,1,0,0,0,15,3,12,38,0,3,129,0,3,5,3,13,0,6,3,0,2,1,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
50,156,209,4,2,1,10,4,1,0,2,7,0,1,0,0,4,0,24,48,0,1,102,1,1,4,5,8,1,9,4,0,0,18,0,0,2,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,200,287,0,4,4,8,6,1,4,3,2,0,0,2,0,5,0,12,66,0,6,79,0,0,4,2,28,6,4,9,2,4,14,0,0,4,0,11,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,244,151,1,5,4,5,0,6,0,5,8,2,1,1,0,2,0,13,36,0,1,74,2,0,0,5,12,3,4,7,0,4,18,0,0,1,0,8,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
80,290,212,2,7,2,13,3,0,1,4,6,1,2,8,0,4,0,14,42,0,5,92,0,1,1,5,17,3,4,8,1,2,11,0,0,3,0,36,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,327,239,0,1,10,5,3,0,0,0,6,3,7,2,1,1,2,0,55,0,3,95,4,0,4,10,23,10,7,8,4,5,10,0,0,1,0,13,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
