"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Juglans.cinerea","Larix","Picea","Quercus","Salix","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Ambrosia","Pinus","Poaceae","Acer.saccharum","Fraxinus.nigra","Abies","Fraxinus.undiff.","Asteraceae.subf..Cichorioideae","Fagus","Ostrya","Populus","Alnus","Rosaceae","Iva.annua","Sarcobatus.vermiculatus","Juglans.nigra","Ranunculus","Amorpha","Caryophyllaceae","Ericaceae","Tilia"
1,NA,300,4,19,1,1,1,2,47,1,12,76,15,4,1,2,2,5,3,95,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,NA,300,2,23,1,0,0,0,50,1,1,60,23,1,0,1,0,13,2,113,3,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,NA,300,2,9,0,1,0,0,107,1,5,57,13,0,0,0,2,5,1,88,4,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
15,NA,300,0,7,4,0,0,1,95,2,3,64,12,1,1,1,1,6,1,96,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,NA,300,1,5,0,1,0,0,18,0,2,149,7,0,0,0,3,3,0,106,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
25,NA,300,6,21,1,1,0,0,69,1,6,103,15,1,0,5,1,5,2,47,3,4,2,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
30,12713,301,11,10,0,0,0,1,55,0,4,154,14,1,0,1,1,4,4,36,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
35,12886,300,4,28,1,0,0,1,88,1,0,121,22,1,2,0,1,2,2,3,11,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,13058,300,3,18,2,1,0,7,89,1,0,112,20,4,0,0,1,0,10,8,9,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,13230,300,2,29,1,0,0,5,94,0,0,102,23,1,0,0,2,6,5,10,8,0,10,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
50,13402,300,6,19,1,0,0,2,131,1,0,83,10,2,0,1,5,1,6,7,13,0,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
55,13574,300,6,17,1,1,0,6,162,0,0,53,14,7,0,0,3,3,5,5,4,0,6,0,3,0,0,0,0,0,2,1,0,1,0,0,0,0,0
60,13746,306,6,20,1,1,0,3,154,0,0,56,17,6,0,0,2,1,0,14,13,0,4,0,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0
65,13918,300,4,17,1,1,0,0,187,0,0,27,18,4,0,0,5,4,4,9,13,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70,14090,303,9,23,0,0,0,6,184,0,0,18,3,16,1,0,4,1,2,7,9,0,9,1,2,0,0,0,2,1,1,0,0,0,3,1,0,0,0
75,14262,301,12,9,0,0,0,3,185,0,0,19,13,11,4,1,5,2,0,8,17,0,8,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0
80,14434,302,4,6,0,0,0,2,185,0,0,28,11,15,0,0,6,2,1,17,14,0,4,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0
85,14607,300,7,8,0,0,0,3,189,0,0,27,8,20,0,0,2,0,3,7,13,0,7,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0
90,NA,303,7,5,0,0,0,0,184,0,0,30,9,30,0,0,5,0,2,12,11,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0
95,NA,302,1,10,0,0,0,1,192,0,0,31,9,6,0,0,1,1,1,10,14,0,10,0,2,0,0,0,7,0,1,0,0,0,0,0,4,1,0
100,NA,300,3,2,0,0,0,1,217,0,0,35,2,20,0,0,1,0,1,11,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
105,NA,100,1,1,1,0,0,1,28,0,0,26,1,1,0,0,1,0,0,34,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
110,NA,100,7,7,0,0,0,0,5,0,0,23,2,0,0,1,2,1,0,44,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,NA,100,4,2,0,0,0,0,8,0,0,31,3,0,0,0,0,0,3,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,NA,100,0,0,1,0,0,0,2,0,0,43,1,1,0,2,0,1,0,47,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
140,NA,100,3,2,1,0,0,0,1,0,0,15,0,0,0,0,1,1,1,69,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
