"sample.depths","sample.ages","Abies","Acer.undiff.","Acer.rubrum","Acer.saccharum","Alnus.incana","Alnus.viridis.subsp..crispa","Betula.undiff.","Betula..small.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Other.shrubs","Other.trees","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Other.herbs","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Secale","Thalictrum","Urtica","Zea"
0,-49,0,0,0.005545287,0.007393715,0.005545287,0,0.044362292,0,0.005545287,0.007393715,0,0,0,0.003696858,0,0,0,0.001848429,0.003696858,0,0.001848429,0,0,0,0.003696858,0,0,0,0,0.033271719,0.005545287,0.007393715,0,0,0.007393715,0.149722736,0.03142329,0.367837338,0,0,0.231053604,0,0,0,0,0,0.005545287,0.001848429,0,0.036968577,0,0,0.005545287,0.001848429,0,0,0.005545287,0,0,0,0,0,0.003696858,0.011090573,0,0,0,0,0.003696858,0,0,0,0
4,-40,0,0,0.009009009,0.003603604,0.01981982,0,0.05045045,0,0.003603604,0.005405405,0.001801802,0,0,0,0,0.003603604,0,0.001801802,0.001801802,0.001801802,0,0,0.001801802,0,0,0,0,0,0,0.021621622,0,0.005405405,0,0,0.001801802,0.052252252,0.009009009,0.461261261,0.003603604,0,0.23963964,0,0,0,0,0,0.005405405,0.005405405,0,0.05045045,0,0.001801802,0.007207207,0,0,0,0.005405405,0,0,0,0.001801802,0,0.001801802,0.016216216,0,0,0,0,0.003603604,0.001801802,0,0,0
8,-30,0,0,0.005208333,0.005208333,0.015625,0,0.060763889,0,0.001736111,0.005208333,0,0.003472222,0,0.001736111,0,0,0,0.001736111,0.008680556,0.001736111,0.006944444,0,0,0.001736111,0.003472222,0,0,0.003472222,0,0.045138889,0.005208333,0.005208333,0,0,0.003472222,0.086805556,0.017361111,0.331597222,0.001736111,0,0.239583333,0,0.001736111,0,0,0,0.005208333,0.001736111,0,0.069444444,0,0.001736111,0.008680556,0,0,0.001736111,0.003472222,0.001736111,0,0,0,0,0.005208333,0.019097222,0,0,0,0,0.017361111,0,0,0,0
12,-15,0,0,0,0.001821494,0.016393443,0,0.072859745,0,0.014571949,0.003642987,0,0.001821494,0,0.001821494,0,0.001821494,0,0.003642987,0.001821494,0,0.003642987,0,0.003642987,0.001821494,0,0,0,0,0.001821494,0.038251366,0.005464481,0.001821494,0,0,0,0.083788707,0.014571949,0.411657559,0.001821494,0,0.218579235,0,0,0,0,0,0.001821494,0.003642987,0,0.043715847,0,0.001821494,0.009107468,0,0,0,0.001821494,0,0,0,0,0,0.001821494,0.021857923,0,0,0,0,0.007285974,0,0,0,0
16,0,0,0,0.005128205,0.006837607,0.011965812,0,0.082051282,0.005128205,0,0.011965812,0.001709402,0,0,0.001709402,0,0,0,0.005128205,0.003418803,0.001709402,0.006837607,0,0.001709402,0,0,0,0,0.001709402,0,0.054700855,0.006837607,0.001709402,0,0,0.003418803,0.087179487,0.020512821,0.292307692,0.005128205,0.001709402,0.217094017,0.003418803,0,0,0,0,0.005128205,0.01025641,0,0.064957265,0,0,0.011965812,0,0,0.001709402,0.008547009,0,0,0,0.001709402,0,0.003418803,0.034188034,0,0,0,0,0.013675214,0.003418803,0,0,0
20,22,0.001597444,0,0.001597444,0.011182109,0.02715655,0,0.084664537,0,0.00798722,0.006389776,0,0,0,0.001597444,0,0.001597444,0,0.00798722,0.012779553,0.001597444,0.004792332,0,0,0,0.004792332,0,0,0,0.001597444,0.054313099,0,0.001597444,0,0,0,0.04313099,0.015974441,0.277955272,0.001597444,0,0.24600639,0,0.001597444,0,0,0,0.003194888,0.006389776,0,0.086261981,0,0.001597444,0.012779553,0,0,0,0.00798722,0,0,0,0,0,0.012779553,0.033546326,0,0,0,0,0.014376997,0.001597444,0,0,0
24,62,0,0,0.001557632,0.003115265,0.014018692,0,0.098130841,0,0.012461059,0,0.00623053,0.001557632,0,0.003115265,0,0,0,0.012461059,0.00623053,0.001557632,0.00623053,0,0.001557632,0,0,0,0,0.001557632,0,0.073208723,0.004672897,0.004672897,0,0,0.003115265,0.029595016,0.003115265,0.302180685,0,0,0.207165109,0,0,0,0,0,0.007788162,0.007788162,0,0.105919003,0,0,0.010903427,0,0,0.001557632,0.004672897,0,0,0,0,0,0.00623053,0.03271028,0,0,0,0,0.024922118,0,0,0,0
28,300,0,0,0.001560062,0.001560062,0.020280811,0,0.110764431,0,0.009360374,0.001560062,0.003120125,0,0,0,0,0,0,0.004680187,0.010920437,0,0.00624025,0.001560062,0.003120125,0,0.001560062,0,0,0.001560062,0,0.057722309,0.001560062,0.003120125,0,0,0.001560062,0.040561622,0.003120125,0.290171607,0.001560062,0,0.209048362,0,0,0,0,0.001560062,0.00624025,0.00624025,0,0.118564743,0,0.003120125,0.004680187,0,0,0.001560062,0.004680187,0,0,0,0,0,0.00624025,0.031201248,0,0,0,0,0.029641186,0,0,0,0
32,460,0,0,0.001869159,0.005607477,0.018691589,0,0.110280374,0,0.014953271,0.011214953,0.003738318,0,0,0.001869159,0,0,0,0.001869159,0.014953271,0.003738318,0.005607477,0,0,0,0,0.003738318,0,0,0,0.054205607,0,0.009345794,0,0,0.007476636,0.037383178,0,0.4,0.005607477,0.003738318,0.209345794,0,0,0,0,0.001869159,0.014953271,0,0,0.011214953,0,0.003738318,0.009345794,0,0,0,0.001869159,0,0,0,0,0,0.001869159,0.020560748,0,0,0,0,0.009345794,0,0,0,0
36,620,0,0,0.003802281,0.001901141,0.007604563,0,0.119771863,0,0.005703422,0.007604563,0.003802281,0,0,0,0,0,0,0,0.013307985,0,0,0.001901141,0,0,0.001901141,0,0,0,0,0.051330798,0,0.001901141,0,0,0.001901141,0.017110266,0.005703422,0.420152091,0.001901141,0,0.279467681,0,0,0,0,0.001901141,0.009505703,0.009505703,0,0.001901141,0,0,0.013307985,0,0,0,0,0,0,0,0,0,0,0.017110266,0,0,0,0,0,0,0,0,0
