"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Corylus","Cupressaceae","Cyperaceae","Picea","Quercus","Salix","Saxifragaceae","Shepherdia.canadensis","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Alnus","Ambrosia","Rosaceae.undiff.","Juglans","Myrica","Pinus","Amaranthaceae","Poaceae","Carpinus","Fraxinus","Plantago","Caryophyllaceae","Acer","Fabaceae","Ericaceae","Asteraceae.subf..Cichorioideae","Ranunculaceae.undiff.","Rumex","Fagus","Carya","Larix","Potentilla","Rhus","Urticaceae","Pterocarya","Celtis","Lamiaceae","Cornus","Elaeagnus","Tsuga","Populus","Symphoricarpos"
0,-14,1336,2,84,440,26,4,54,192,6,36,2,2,2,4,8,4,214,8,6,4,6,140,18,72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,86,684,2,44,264,4,0,2,108,6,16,0,0,2,10,0,0,116,8,2,0,2,56,10,28,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,187,1032,0,96,344,14,4,42,142,0,20,0,0,2,16,2,2,142,12,6,0,0,104,12,70,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,287,808,0,52,260,14,0,16,118,2,42,0,0,2,4,4,0,136,2,12,0,0,66,10,60,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,437,1118,6,64,326,8,2,18,200,16,26,0,2,0,8,6,0,104,6,2,0,0,78,182,54,2,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,537,1146,14,64,424,20,2,34,244,16,26,0,2,4,10,4,0,122,14,2,0,8,74,8,44,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,638,1138,6,86,378,18,0,20,220,8,50,2,0,2,10,8,0,130,14,18,0,6,80,6,54,0,8,0,0,8,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,738,1226,4,92,400,18,0,40,306,8,26,0,0,4,20,2,0,138,10,0,0,2,88,20,42,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,838,1068,2,106,326,22,0,28,152,6,54,0,0,0,24,2,0,170,4,4,0,2,98,16,42,0,0,4,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
95,939,992,4,56,348,22,0,18,146,12,42,0,0,0,26,2,0,144,14,8,0,0,76,6,66,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1039,1156,4,82,444,20,0,24,194,4,40,0,0,6,20,0,0,170,6,6,0,6,64,10,52,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
