"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Arceuthobium","Betula","Carya","Celtis.Maclura.type","Cornus.undiff.","Cornus.canadensis.type","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Fraxinus.undiff.","Ilex.type","Ilex.Nemopanthus.undiff.","Juglans.cinerea","Juglans.undiff.","Larix","Morus","Myrica.type","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.balsamifera","Populus.tremuloides","Prunus","Quercus","Salix","Sarcobatus.vermiculatus","Taxus.canadensis","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Bidens.type","Brassicaceae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Humulus","Iva.annua.type","Mentha","Phlox","Plantago","Poaceae","Potentilla","Primula.farinosa.type","Thalictrum","Urtica","Xanthium"
0,-45,503,4,1,0,1,4,0,14,0,175,2,1,0,0,0,45,0,25,0,5,1,1,0,0,0,1,2,0,7,15,18,21,46,0,0,0,0,16,0,0,0,1,28,8,0,26,6,3,0,0,2,0,12,0,0,0,2,0,10,0,0,0,0,0
23.5,239,505,1,0,3,1,6,1,8,0,193,1,0,0,1,2,38,1,28,1,0,3,0,0,1,0,1,0,0,7,12,13,30,56,1,0,1,0,29,0,1,0,0,33,10,0,9,0,2,0,0,0,2,4,0,0,0,0,0,3,0,1,1,0,0
38,476,506,2,2,7,2,5,0,14,0,186,0,0,0,0,3,30,0,40,0,3,3,0,0,0,1,0,0,1,14,12,14,18,60,1,0,0,0,30,1,0,0,0,33,7,0,4,2,1,0,0,0,2,4,0,2,0,0,0,2,0,0,0,0,0
50,673,505,2,8,4,2,11,3,6,0,157,1,0,1,0,2,26,0,28,0,0,2,0,0,0,0,1,0,0,6,6,18,40,70,1,0,1,1,25,0,0,0,0,55,8,0,3,3,1,0,0,0,1,7,0,0,0,0,0,1,1,2,0,1,0
66,936,538,1,0,1,1,17,1,8,0,203,2,0,0,0,4,23,0,34,0,2,0,0,1,0,1,2,0,2,10,6,20,30,54,0,1,0,0,23,3,1,1,0,39,11,0,3,2,3,0,0,0,1,15,4,0,0,0,0,5,0,2,0,1,0
74,1126,530,2,2,3,2,15,0,14,0,193,1,0,0,0,5,25,0,23,0,1,1,0,1,0,1,0,0,1,8,8,16,49,58,0,0,0,2,28,0,0,0,1,40,8,0,2,2,1,0,0,0,1,12,0,0,0,0,0,1,0,0,0,3,0
82,1394,527,4,3,9,1,4,1,9,1,173,1,0,0,0,0,28,0,35,1,4,0,0,0,0,1,0,0,0,13,12,28,55,55,2,0,0,0,27,0,0,1,1,35,6,0,3,1,1,0,0,0,1,7,0,0,0,0,0,2,0,0,0,1,1
90,1662,530,2,0,1,0,14,0,5,0,177,0,0,0,0,2,45,0,22,0,7,1,0,1,0,1,0,0,0,10,6,36,66,61,0,0,0,0,22,0,0,0,0,34,6,1,1,2,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0
98,1930,560,7,0,6,3,12,0,8,0,167,2,0,0,0,1,97,0,22,0,3,1,0,0,1,0,2,0,1,9,6,38,36,48,1,0,3,0,27,2,0,0,0,32,6,2,3,4,1,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0
106,2198,532,3,3,4,2,11,0,12,0,171,0,0,0,0,2,53,0,20,2,2,0,0,0,0,0,0,0,0,8,9,36,60,42,2,0,0,0,37,2,0,0,0,30,7,0,0,4,0,0,0,0,0,6,0,0,1,0,0,2,0,0,0,1,0
110,2331,533,7,1,4,3,7,0,12,0,243,0,0,0,0,3,46,0,11,0,2,1,0,0,0,0,1,0,0,6,1,26,47,32,0,0,2,0,18,0,0,0,0,38,9,0,2,1,0,0,1,0,1,6,0,0,0,0,0,2,0,0,0,0,0
118,2599,528,2,0,7,1,10,2,7,0,216,1,0,0,0,1,79,0,10,0,4,1,0,0,0,0,1,0,0,8,4,20,48,34,4,0,0,0,15,1,1,0,0,28,10,1,3,0,1,0,1,0,1,4,1,0,0,0,0,0,0,0,0,1,0
130,3013,506,1,0,6,1,14,2,8,0,126,0,0,0,0,1,91,0,9,0,9,2,0,0,1,0,1,0,0,4,2,46,64,30,0,0,1,0,36,0,0,0,1,21,7,1,3,2,1,0,0,0,1,8,0,0,0,0,0,4,0,1,0,1,0
138,3308,502,2,0,3,1,7,0,7,0,206,1,0,0,0,2,48,0,4,0,1,2,0,0,0,0,1,0,0,13,8,30,45,54,0,0,4,0,26,0,0,0,0,14,6,0,1,2,1,0,0,0,1,6,0,0,1,0,0,2,0,1,0,2,0
150,3752,507,2,2,8,0,4,0,3,0,164,0,0,0,0,1,105,0,9,0,2,1,0,0,0,0,2,0,0,8,2,36,67,32,1,0,0,0,32,0,1,0,0,7,5,0,2,1,0,0,0,0,1,4,0,0,1,0,0,2,0,0,0,2,0
158,4047,513,2,0,5,1,4,0,9,0,199,0,0,0,0,5,62,0,7,1,1,2,0,0,1,0,1,0,0,5,2,23,62,50,0,0,0,0,28,0,1,0,0,21,11,0,0,0,1,0,0,0,1,3,0,0,0,0,0,4,0,1,0,0,0
170,4537,538,3,0,3,1,13,0,17,0,142,1,0,0,0,6,46,0,3,2,3,0,0,0,0,0,1,0,0,8,6,47,70,56,0,0,0,0,58,0,0,0,1,16,5,1,3,5,2,2,0,0,1,11,0,0,0,0,0,4,0,1,0,0,0
174,4739,505,4,1,4,2,8,1,6,0,136,2,0,0,0,3,18,0,6,0,3,2,0,0,0,0,1,0,0,4,1,38,54,86,1,0,1,0,69,1,0,0,2,15,5,1,3,3,0,1,0,0,0,14,0,1,0,0,0,7,0,0,0,0,1
182,5142,527,1,0,3,1,9,0,10,0,130,0,1,0,0,3,57,0,0,0,7,1,0,1,0,0,0,0,0,7,7,41,88,66,2,0,0,55,0,0,0,0,0,16,4,1,4,4,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
186,5344,508,4,0,5,1,6,0,7,0,65,1,0,0,0,0,73,0,9,0,5,1,0,1,0,0,2,0,0,15,6,22,100,88,1,0,0,2,61,1,0,0,0,7,6,4,1,6,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0
194,5747,495,1,1,0,1,6,2,7,0,36,1,0,0,1,2,21,0,3,0,3,1,0,0,1,0,2,0,0,5,4,32,102,140,1,0,0,0,59,3,0,0,0,31,7,3,1,0,2,0,0,0,2,13,0,0,0,0,0,1,0,0,0,0,0
198,5949,534,0,0,1,0,4,0,5,0,43,0,1,0,0,2,44,0,2,1,1,5,0,0,0,2,2,0,2,7,4,64,49,166,3,0,1,0,49,0,0,0,0,23,11,1,9,4,0,0,0,0,3,16,0,0,0,0,0,9,0,0,0,0,0
202,6151,508,3,1,0,1,5,0,8,0,51,0,0,0,0,1,14,0,2,1,4,1,0,0,0,1,2,0,0,11,1,83,76,143,0,0,0,0,43,1,0,0,2,5,16,0,7,2,7,0,0,0,2,7,0,0,0,0,0,6,0,1,0,0,0
206,6352,556,0,0,1,0,2,0,6,0,42,3,0,0,0,2,48,0,0,2,5,3,0,0,0,0,1,0,0,13,2,52,81,176,0,0,0,0,50,2,0,0,0,5,25,0,0,2,1,2,0,0,1,22,0,2,0,0,0,5,0,0,0,0,0
