"sample.depths","sample.ages","Ambrosia.type","Artemisia","Bidens.type","Cyperaceae","Pinus.undiff.","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Liliaceae","Juglans","Populus","Amaranthaceae","Poaceae","Stachys.type","Pinus.banksiana.type","Eupatorium.type","Iva.type","Polygonum.cf..P..scandens","Apiaceae","Chamaecrista.type","Juniperus.type","Brassica","Opuntia","Ranunculus","Lactuca.type","Celtis","Ephedra","Rosaceae","Cornus.cf..C..sericea","Eriogonum","Dalea","Vitis","Centaurea.type","Helianthus.type","Picea","Salix","Mentha.type","Acer.negundo.type","Solanaceae.type","Xanthium.type","Polygonum.cf..P..lapathifolium","Alnus","Betula","Carya","Corylus","Carpinus.type","Rumex","Shepherdia","Plantago","Fraxinus.cf..F..nigra","Elaeagnus","Onagraceae","Rhamnus","Sambucus.type","Morus.type","Amorpha","Limonium.cf..L..limbatum","cf..Nemopanthus","Calystegia","Thalictrum","Caryophyllaceae","Urtica","Larix","Abies"
218,17,0.0792349726775956,0.0109289617486339,0.0136612021857923,0.144808743169399,0.0109289617486339,0.00546448087431694,0.0136612021857923,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00546448087431694,0.617486338797814,0.0491803278688525,0.00273224043715847,0.0109289617486339,0.00546448087431694,0.0109289617486339,0.0109289617486339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,935,0.0948509485094851,0.018970189701897,0.024390243902439,0.10840108401084,0.013550135501355,0.002710027100271,0.013550135501355,0,0,0,0.00542005420054201,0.634146341463415,0.024390243902439,0,0.010840108401084,0.002710027100271,0.010840108401084,0.029810298102981,0.002710027100271,0.002710027100271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,1852,0.101063829787234,0.0159574468085106,0.0212765957446809,0.140957446808511,0.00531914893617021,0.00531914893617021,0.00797872340425532,0.00265957446808511,0,0,0.00265957446808511,0.606382978723404,0.0425531914893617,0,0.00797872340425532,0.00531914893617021,0.0132978723404255,0.0186170212765957,0,0.00265957446808511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,2679,0.0817438692098093,0.0136239782016349,0.0136239782016349,0.0980926430517711,0.00544959128065395,0.00272479564032698,0.00817438692098093,0.00272479564032698,0.00272479564032698,0,0.00272479564032698,0.637602179836512,0.0572207084468665,0,0.00817438692098093,0.00817438692098093,0.0136239782016349,0.0245231607629428,0,0.00544959128065395,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,3596,0.0939226519337017,0.0193370165745856,0.0165745856353591,0.121546961325967,0.00552486187845304,0.00276243093922652,0.0110497237569061,0.00276243093922652,0,0,0,0.593922651933702,0.0773480662983425,0,0.00552486187845304,0.00828729281767956,0.00828729281767956,0.0220994475138122,0,0.00552486187845304,0,0,0.00552486187845304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,4514,0.163793103448276,0.0258620689655172,0.00574712643678161,0.0919540229885057,0.00862068965517241,0.00862068965517241,0.0172413793103448,0,0.00862068965517241,0,0,0.442528735632184,0.10632183908046,0.0028735632183908,0.00574712643678161,0.0028735632183908,0.0172413793103448,0.0459770114942529,0.0028735632183908,0.0201149425287356,0.0028735632183908,0,0.00574712643678161,0.0028735632183908,0,0.0028735632183908,0.0028735632183908,0.0028735632183908,0.0028735632183908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,5432,0.214092140921409,0.035230352303523,0.008130081300813,0.0596205962059621,0.016260162601626,0.008130081300813,0.016260162601626,0.002710027100271,0.002710027100271,0,0.002710027100271,0.395663956639566,0.0948509485094851,0.00542005420054201,0.018970189701897,0.00542005420054201,0.018970189701897,0.0677506775067751,0,0.016260162601626,0,0,0.00542005420054201,0,0,0,0,0,0,0.002710027100271,0.002710027100271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,6312,0.182767624020888,0.0287206266318538,0.00783289817232376,0.0522193211488251,0.010443864229765,0.00783289817232376,0.02088772845953,0,0.00261096605744125,0,0.00261096605744125,0.420365535248042,0.0757180156657963,0.00522193211488251,0.0130548302872063,0.00783289817232376,0.0234986945169713,0.0992167101827676,0.00261096605744125,0.0234986945169713,0.00261096605744125,0,0,0,0,0,0,0,0,0.00261096605744125,0,0.00261096605744125,0.00261096605744125,0.00261096605744125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,6847,0.261213720316623,0.0369393139841689,0.0158311345646438,0.0633245382585752,0.0131926121372032,0.0079155672823219,0.0211081794195251,0.00263852242744063,0.00263852242744063,0,0.00263852242744063,0.33509234828496,0.0738786279683377,0.0079155672823219,0.0105540897097625,0.00263852242744063,0.0237467018469657,0.079155672823219,0.00263852242744063,0.0184696569920844,0.00527704485488127,0.00263852242744063,0,0,0,0,0,0,0,0.00263852242744063,0,0,0.00263852242744063,0.00263852242744063,0.00263852242744063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,7382,0.234463276836158,0.0225988700564972,0.00564971751412429,0.0254237288135593,0.00847457627118644,0.0112994350282486,0.0225988700564972,0.00564971751412429,0.00564971751412429,0,0.00564971751412429,0.406779661016949,0.0903954802259887,0.0141242937853107,0.00847457627118644,0.00847457627118644,0.019774011299435,0.0536723163841808,0.00282485875706215,0.0225988700564972,0.00282485875706215,0.00282485875706215,0,0,0,0,0,0,0,0.00282485875706215,0,0,0.00282485875706215,0.00282485875706215,0,0.00282485875706215,0.00282485875706215,0.00282485875706215,0.00282485875706215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
