"sample.depths","sample.ages","Abies","Acer.saccharum","Alnus","Betula","Carya","Corylus","Ephedra","Fraxinus","Juglans","Larix","Ostrya","Picea","Pinus.banksiana","Pinus.strobus","Pinus.undiff.","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Chenopodiaceae.Amaranthaceae","Cyperaceae","Poaceae"
1,-40,0.004926108,0.098522167,0,0.463054187,0,0,0,0,0,0,0,0.039408867,0,0,0.167487685,0,0,0,0.147783251,0.014778325,0.064039409,0,0,0,0
2,-39,0.011764706,0.04,0.023529412,0.298823529,0.002352941,0.002352941,0,0,0,0.023529412,0,0.058823529,0,0,0.148235294,0.089411765,0,0.004705882,0.155294118,0.011764706,0.110588235,0,0.018823529,0,0
6,-23,0.011299435,0.033898305,0.04519774,0.288135593,0,0,0,0,0,0.025423729,0,0.025423729,0,0,0.234463277,0.09039548,0,0.014124294,0.093220339,0.028248588,0.073446328,0,0.036723164,0,0
10,-17,0.021621622,0.018918919,0.024324324,0.345945946,0,0,0,0,0,0.010810811,0,0.018918919,0,0,0.218918919,0.067567568,0,0.005405405,0.118918919,0.018918919,0.108108108,0,0.018918919,0,0.002702703
12,-12,0.017902813,0.023017903,0.058823529,0.273657289,0,0,0,0,0,0.038363171,0,0.033248082,0,0,0.237851662,0.099744246,0,0.010230179,0.092071611,0.028132992,0.071611253,0,0.015345269,0,0
15,-4,0.019498607,0.061281337,0.030640669,0.309192201,0,0,0,0,0.005571031,0.016713092,0,0.030640669,0,0,0.26183844,0.04735376,0,0.008356546,0.080779944,0.019498607,0.075208914,0,0.033426184,0,0
18,0,0.022113022,0.068796069,0.034398034,0.297297297,0,0,0,0,0.012285012,0.017199017,0,0.031941032,0,0,0.275184275,0.041769042,0,0,0.093366093,0.027027027,0.061425061,0,0.017199017,0,0
22,7,0.014218009,0.056872038,0.009478673,0.36492891,0,0,0,0,0.004739336,0,0,0.023696682,0,0,0.279620853,0,0,0,0.118483412,0.004739336,0.113744076,0,0.009478673,0,0
24,13,0.013289037,0.053156146,0.016611296,0.368770764,0.003322259,0,0,0,0,0.019933555,0,0.063122924,0,0,0.275747508,0.016611296,0,0,0.089700997,0.006644518,0.059800664,0,0.013289037,0,0
27,23,0.016713092,0.080779944,0.025069638,0.356545961,0.002785515,0.008356546,0,0,0.002785515,0.013927577,0,0.055710306,0,0,0.325905292,0.008356546,0,0.002785515,0.050139276,0.002785515,0.036211699,0,0.011142061,0,0
29,31,0.03264095,0.089020772,0.026706231,0.34421365,0,0.008902077,0,0,0,0.005934718,0,0.047477745,0,0,0.287833828,0.005934718,0,0.008902077,0.074183976,0.008902077,0.056379822,0,0.002967359,0,0
34,81,0.031007752,0.089147287,0.011627907,0.515503876,0,0.003875969,0,0,0,0,0,0.042635659,0,0,0.166666667,0,0,0.003875969,0.062015504,0,0.073643411,0,0,0,0
36,NA,0.03125,0.034090909,0.019886364,0.357954545,0,0,0,0,0,0.019886364,0,0.019886364,0,0,0.326704545,0.045454545,0,0,0.085227273,0,0.056818182,0,0.002840909,0,0
40,NA,0.023026316,0.023026316,0.003289474,0.424342105,0,0,0,0,0,0.026315789,0,0.069078947,0,0,0.233552632,0.046052632,0,0.003289474,0.088815789,0.009868421,0.039473684,0,0.006578947,0,0.003289474
42,NA,0.024922118,0.065420561,0.015576324,0.445482866,0.012461059,0.00623053,0,0,0,0,0,0.118380062,0,0,0.193146417,0,0,0.00623053,0.056074766,0.012461059,0.024922118,0,0.018691589,0,0
46,NA,0,0.077702703,0,0.523648649,0.003378378,0,0,0,0.003378378,0,0,0.148648649,0,0,0.121621622,0,0,0.006756757,0.077702703,0.010135135,0.016891892,0,0.010135135,0,0
