"sample.depths","sample.ages","Carya","Cyperaceae","Picea","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Ambrosia","Pinus","Poaceae","Larix","Quercus","Amaranthaceae","Shepherdia.canadensis","Abies","Ostrya","Salix","Onagraceae","Tsuga","Alnus","Artemisia","Betula","Tilia","Asteraceae.subf..Cichorioideae","Cupressaceae","Juglans.cinerea","Fraxinus.americana.type","Acer.saccharum","Fraxinus.nigra"
150,NA,0.01,0.02,0.49,0.01,0.03,0.01,0.35,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,NA,0,0.03,0.72,0,0.01,0,0.19,0.01,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,NA,0,0.36,0.48,0,0,0,0.14,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,NA,0,0.1,0.66,0,0,0,0.12,0.03,0.06,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,NA,0,0.0606060606060606,0.686868686868687,0.0101010101010101,0.0101010101010101,0,0.101010101010101,0.0404040404040404,0.0808080808080808,0,0,0.0101010101010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,10475,0,0.08,0.73,0.01,0,0,0.12,0,0.04,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,10683,0,0.04,0.65,0,0.01,0.02,0.16,0.02,0.04,0.02,0,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
310,10908,0,0.06,0.68,0.03,0.01,0,0.08,0,0.06,0.03,0,0.01,0.01,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0
330,11234,0.01,0.11,0.62,0,0,0,0.19,0.03,0.02,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0
350,11560,0,0.07,0.68,0.05,0,0.01,0.09,0.02,0.01,0,0,0.02,0,0,0,0.01,0,0,0.02,0.01,0.01,0,0,0,0,0,0
370,11886,0,0.07,0.73,0.01,0.01,0.01,0.08,0.02,0.03,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
390,12218,0.01,0.22,0.51,0.08,0,0,0.04,0.07,0.02,0.02,0,0,0.01,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0
400,12386,0,0.14,0.7,0,0,0,0.11,0,0,0.02,0,0.01,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0
410,12554,0,0.23,0.6,0,0.01,0,0.1,0.02,0.01,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
440,NA,0.01,0.11,0.62,0,0,0,0.09,0,0,0.08,0.01,0,0,0,0,0,0,0,0,0.02,0,0,0,0.01,0.02,0.02,0.01
