"sample.depths","sample.ages","Cephalanthus","Asteraceae.undiff.","Quercus","Salix","Pinus","Amaranthaceae","Poaceae","Cyperaceae.undiff.","Polygonaceae","Bursera.simaruba","Justicia","Ambrosia","Fabaceae","Casuarina","Cupressaceae.Taxaceae","Myrica","Carya","Ilex","Iva","Acacia","Vitis","Bumelia"
0.5,-44,0.102040816326531,0.0204081632653061,0.0816326530612245,0.0408163265306122,0.122448979591837,0.346938775510204,0.0204081632653061,0.122448979591837,0.0204081632653061,0.122448979591837,0,0,0,0,0,0,0,0,0,0,0,0
4.5,-2,0.0697674418604651,0.0116279069767442,0,0.0465116279069767,0.127906976744186,0.546511627906977,0,0.151162790697674,0,0.0116279069767442,0.0348837209302326,0,0,0,0,0,0,0,0,0,0,0
9.5,50,0.0185185185185185,0.0648148148148148,0.0185185185185185,0.0185185185185185,0.0740740740740741,0.5,0.00925925925925926,0.240740740740741,0,0,0.0277777777777778,0.00925925925925926,0.00925925925925926,0.00925925925925926,0,0,0,0,0,0,0,0
14.5,73,0.0808823529411765,0.0220588235294118,0,0.0367647058823529,0.0808823529411765,0.676470588235294,0,0.0514705882352941,0,0.0147058823529412,0.0147058823529412,0,0.0147058823529412,0,0.00735294117647059,0,0,0,0,0,0,0
21,103,0.161764705882353,0.0441176470588235,0,0.0441176470588235,0.0441176470588235,0.647058823529412,0,0,0,0.0294117647058824,0.0147058823529412,0,0,0,0,0.0147058823529412,0,0,0,0,0,0
25,122,0.0255102040816327,0.0204081632653061,0.00510204081632653,0.0102040816326531,0.0357142857142857,0.709183673469388,0.0102040816326531,0.0510204081632653,0,0.0102040816326531,0.0153061224489796,0.0102040816326531,0.0663265306122449,0,0,0,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.0153061224489796,0,0
27,131,0.028436018957346,0.014218009478673,0.004739336492891,0.004739336492891,0.014218009478673,0.862559241706161,0,0.033175355450237,0,0.009478672985782,0.014218009478673,0.004739336492891,0,0,0.004739336492891,0,0,0,0,0,0.004739336492891,0
31,149,0,0.009009009009009,0.003003003003003,0,0.021021021021021,0.954954954954955,0,0.006006006006006,0,0,0,0,0.003003003003003,0,0,0,0,0,0,0,0,0.003003003003003
35,1472,0,0.0197628458498024,0,0,0.185770750988142,0.778656126482213,0.00395256916996047,0.00790513833992095,0.00395256916996047,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2133,0,0.00529100529100529,0,0.00264550264550265,0.0264550264550265,0.94973544973545,0,0.00793650793650794,0.00529100529100529,0,0,0,0,0,0,0,0,0,0,0,0,0.00264550264550265
41,3455,0,0.00909090909090909,0,0,0.00909090909090909,0.966666666666667,0.00606060606060606,0.00909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3555,0,0,0,0,0.0161290322580645,0.974193548387097,0,0.0064516129032258,0.0032258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3704,0,0.00191204588910134,0,0,0.0325047801147228,0.933078393881453,0.00191204588910134,0.0267686424474187,0,0,0,0,0.00191204588910134,0,0,0.00191204588910134,0,0,0,0,0,0
55,3803,0,0.00282485875706215,0,0,0.0395480225988701,0.937853107344633,0,0.019774011299435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,3952,0,0.00328947368421053,0.00328947368421053,0,0.0592105263157895,0.917763157894737,0.00986842105263158,0.00657894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,4052,0,0,0,0,0.0950920245398773,0.883435582822086,0.00920245398773006,0.00613496932515337,0.00613496932515337,0,0,0,0,0,0,0,0,0,0,0,0,0
71,4201,0,0,0.00793650793650794,0,0.0476190476190476,0.873015873015873,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0
