"sample.depths","sample.ages","Acer.rubrum","Ambrosia.type","Carya","Cyperaceae","Ericaceae","Gordonia","Liquidambar","Ostrya.Carpinus","Quercus","Sabal","Taxodium","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Fraxinus","Myrica","Pinus","Amaranthaceae","Poaceae","Betula","Magnolia","Morus","Alnus","Ilex","Iva","Nyssa","Celtis","Artemisia","Castanea","Rhus","Salix","Juglans.nigra","Cornus","Parthenocissus","Serenoa","Polygonum","Acer.negundo","Asteraceae.subf..Cichorioideae"
40,0,0.00892857142857143,0.0267857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.00892857142857143,0.0178571428571429,0.00892857142857143,0.196428571428571,0.0178571428571429,0.0357142857142857,0.0178571428571429,0.0178571428571429,0.00892857142857143,0.0178571428571429,0.0714285714285714,0.464285714285714,0.0446428571428571,0.00892857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,122,0.0181268882175227,0.0181268882175227,0.0181268882175227,0.00906344410876133,0,0,0.0181268882175227,0.0181268882175227,0.154078549848943,0.0181268882175227,0.0362537764350453,0.00906344410876133,0.0181268882175227,0,0.0181268882175227,0.0634441087613293,0.507552870090634,0.0302114803625378,0.00906344410876133,0.00906344410876133,0.00906344410876133,0.00906344410876133,0.00906344410876133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,611,0.00934579439252336,0.00934579439252336,0,0.0186915887850467,0.00934579439252336,0,0.0186915887850467,0,0.0654205607476635,0,0.11214953271028,0,0.0186915887850467,0.00934579439252336,0.0280373831775701,0.0373831775700935,0.607476635514019,0.0280373831775701,0.00934579439252336,0,0,0,0,0.00934579439252336,0.00934579439252336,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1099,0,0,0.0380952380952381,0.019047619047619,0.00952380952380952,0,0.019047619047619,0.00952380952380952,0.0571428571428571,0,0.0761904761904762,0,0,0,0.00952380952380952,0.0285714285714286,0.695238095238095,0.019047619047619,0,0,0,0,0,0,0.00952380952380952,0.00952380952380952,0,0,0,0,0,0,0,0,0,0,0,0
110,1710,0,0.00946372239747634,0.0189274447949527,0,0,0,0,0,0.141955835962145,0,0.132492113564669,0,0.028391167192429,0,0.0189274447949527,0.028391167192429,0.577287066246057,0.0252365930599369,0.0189274447949527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2076,0.0192307692307692,0,0.0192307692307692,0.00961538461538462,0.00961538461538462,0.00961538461538462,0.00961538461538462,0,0.144230769230769,0,0.0576923076923077,0,0,0,0.00961538461538462,0.0288461538461538,0.625,0.0384615384615385,0.00961538461538462,0,0,0,0,0,0,0.00961538461538462,0,0,0,0,0,0,0,0,0,0,0,0
145,2655,0,0,0.0088495575221239,0.0088495575221239,0.0088495575221239,0,0.0088495575221239,0,0.165191740412979,0.0088495575221239,0.176991150442478,0,0.0265486725663717,0,0,0.0619469026548673,0.469026548672566,0.0294985250737463,0.0176991150442478,0,0,0,0,0,0,0,0.0088495575221239,0,0,0,0,0,0,0,0,0,0,0
160,3157,0.009009009009009,0.009009009009009,0.018018018018018,0.009009009009009,0,0,0.009009009009009,0.018018018018018,0.0540540540540541,0,0.108108108108108,0,0.018018018018018,0,0.009009009009009,0.045045045045045,0.585585585585586,0.063063063063063,0.009009009009009,0,0,0,0.009009009009009,0,0.009009009009009,0.009009009009009,0.009009009009009,0,0,0,0,0,0,0,0,0,0,0
180,3826,0.00826446280991736,0.00826446280991736,0.0165289256198347,0.00826446280991736,0.00826446280991736,0,0.00826446280991736,0.00826446280991736,0.0826446280991736,0,0.00826446280991736,0.0165289256198347,0.0165289256198347,0,0.00826446280991736,0.00826446280991736,0.644628099173554,0.115702479338843,0.0165289256198347,0,0,0,0,0,0,0.00826446280991736,0,0.00826446280991736,0,0,0,0,0,0,0,0,0,0
200,4496,0,0.00595238095238095,0.0119047619047619,0.00595238095238095,0,0,0.00595238095238095,0.00595238095238095,0.154761904761905,0,0.00595238095238095,0.0119047619047619,0.00595238095238095,0.00595238095238095,0.00595238095238095,0.0357142857142857,0.333333333333333,0.345238095238095,0.0297619047619048,0,0,0,0,0,0.00595238095238095,0.00595238095238095,0,0,0.00595238095238095,0.00595238095238095,0.00595238095238095,0,0,0,0,0,0,0
240,5835,0.00617283950617284,0.00617283950617284,0.0123456790123457,0,0,0,0,0.00617283950617284,0.191358024691358,0,0.0123456790123457,0.0185185185185185,0,0.0123456790123457,0,0.0246913580246914,0.339506172839506,0.345679012345679,0.0123456790123457,0,0,0,0.00617283950617284,0,0,0,0,0,0,0,0,0.00617283950617284,0,0,0,0,0,0
250,6011,0,0.00909090909090909,0.00454545454545455,0.00909090909090909,0,0,0.00454545454545455,0.00454545454545455,0.186363636363636,0,0.00454545454545455,0.00909090909090909,0.00454545454545455,0.00454545454545455,0.00454545454545455,0.090909090909091,0.131818181818182,0.495454545454545,0.00909090909090909,0,0,0,0,0.00454545454545455,0.00454545454545455,0.00454545454545455,0,0.00454545454545455,0,0,0.00454545454545455,0,0.00454545454545455,0,0,0,0,0
255,6100,0,0.00476190476190476,0.00476190476190476,0.00476190476190476,0.00952380952380952,0.00952380952380952,0.00476190476190476,0,0.233333333333333,0,0.00476190476190476,0.00476190476190476,0.00476190476190476,0,0.00476190476190476,0.0333333333333333,0.161904761904762,0.495238095238095,0.00952380952380952,0,0,0,0,0,0.00476190476190476,0.00476190476190476,0,0,0,0,0,0,0,0,0,0,0,0
270,6365,0,0,0.0186915887850467,0,0.00934579439252336,0,0,0,0.219626168224299,0,0.00467289719626168,0.00934579439252336,0.00467289719626168,0.00467289719626168,0.00467289719626168,0.0280373831775701,0.163551401869159,0.509345794392523,0.00934579439252336,0,0,0,0.00467289719626168,0,0,0.00934579439252336,0,0,0,0,0,0,0,0,0,0,0,0
290,6718,0,0.00921658986175115,0.0138248847926267,0.00460829493087558,0.00921658986175115,0,0,0.00921658986175115,0.258064516129032,0,0.00921658986175115,0.00921658986175115,0.00921658986175115,0.00460829493087558,0,0.0460829493087558,0.0921658986175115,0.502304147465438,0.00921658986175115,0.00460829493087558,0,0,0,0,0.00460829493087558,0.00460829493087558,0,0,0,0,0,0,0,0,0,0,0,0
