"sample.depths","sample.ages","Abies","Betula","Ericaceae","Picea","Alnus","Pinus","Cyperaceae","Salix","Poaceae","Cornus","Asteraceae.undiff.","Artemisia","Rumex","Amaranthaceae","Onagraceae","Ambrosia.type","Shepherdia.canadensis","Caryophyllaceae","Dryas.type","Ranunculaceae"
0,NA,0.183760683760684,0.132478632478632,0.00854700854700855,0.61965811965812,0.047008547008547,0.00854700854700855,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,NA,0.170305676855895,0.109170305676856,0,0.672489082969432,0.0393013100436681,0.00873362445414847,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,NA,0.126829268292683,0.165853658536585,0,0.624390243902439,0.0780487804878049,0.0024390243902439,0.0024390243902439,0,0,0,0,0,0,0,0,0,0,0,0,0
30,NA,0.104166666666667,0.141666666666667,0.00416666666666667,0.683333333333333,0.0541666666666667,0,0.00833333333333333,0.00416666666666667,0,0,0,0,0,0,0,0,0,0,0,0
40,NA,0.124610591900312,0.180685358255452,0.00311526479750779,0.61993769470405,0.0654205607476635,0,0.00623052959501558,0,0,0,0,0,0,0,0,0,0,0,0,0
50,4562,0.106583072100313,0.144200626959248,0.00313479623824451,0.670846394984326,0.0564263322884013,0.00626959247648903,0.00626959247648903,0.00313479623824451,0.00313479623824451,0,0,0,0,0,0,0,0,0,0,0
60,4717,0.209558823529412,0.102941176470588,0.00367647058823529,0.613970588235294,0.0625,0.00367647058823529,0.00367647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0
70,4872,0.130434782608696,0.144927536231884,0.00966183574879227,0.632850241545894,0.072463768115942,0,0,0,0.00483091787439614,0.00483091787439614,0,0,0,0,0,0,0,0,0,0
80,5026,0.144444444444444,0.155555555555556,0.0037037037037037,0.622222222222222,0.062962962962963,0,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0
90,5181,0.162534435261708,0.126721763085399,0,0.672176308539945,0.0330578512396694,0.00275482093663912,0.00275482093663912,0,0,0,0,0,0,0,0,0,0,0,0,0
100,5336,0.119047619047619,0.157142857142857,0.00476190476190476,0.633333333333333,0.0619047619047619,0.00476190476190476,0.0142857142857143,0,0,0,0.00476190476190476,0,0,0,0,0,0,0,0,0
110,5491,0.15358361774744,0.119453924914676,0,0.641638225255973,0.0648464163822526,0,0.00341296928327645,0.00341296928327645,0.00341296928327645,0,0.00341296928327645,0.00341296928327645,0.00341296928327645,0,0,0,0,0,0,0
120,5646,0.159883720930233,0.156976744186047,0.00290697674418605,0.630813953488372,0.0465116279069767,0.00290697674418605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,5801,0.122015915119363,0.16710875331565,0.0026525198938992,0.636604774535809,0.0610079575596817,0.0026525198938992,0.00530503978779841,0.0026525198938992,0,0,0,0,0,0,0,0,0,0,0,0
140,5956,0.169278996865204,0.197492163009404,0,0.58307210031348,0.0376175548589342,0.00626959247648903,0.00313479623824451,0.00313479623824451,0,0,0,0,0,0,0,0,0,0,0,0
150,6111,0.132013201320132,0.313531353135314,0,0.495049504950495,0.0396039603960396,0.0066006600660066,0.0132013201320132,0,0,0,0,0,0,0,0,0,0,0,0,0
160,6266,0.160606060606061,0.445454545454545,0,0.190909090909091,0.163636363636364,0.0242424242424242,0.00909090909090909,0.00303030303030303,0,0,0,0,0,0.00303030303030303,0,0,0,0,0,0
170,6420,0.227678571428571,0.5,0,0.09375,0.165178571428571,0.00892857142857143,0.00446428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0
177,6529,0.239130434782609,0.478260869565217,0,0.101449275362319,0.159420289855072,0.0072463768115942,0.0144927536231884,0,0,0,0,0,0,0,0,0,0,0,0,0
200,NA,0.197424892703863,0.28755364806867,0,0.11587982832618,0.373390557939914,0.00858369098712446,0.0128755364806867,0.00429184549356223,0,0,0,0,0,0,0,0,0,0,0,0
210,NA,0.119047619047619,0.295918367346939,0.00340136054421769,0.0442176870748299,0.493197278911565,0.0136054421768707,0.0204081632653061,0.00340136054421769,0,0,0,0.00340136054421769,0,0,0.00340136054421769,0,0,0,0,0
220,NA,0.0804597701149425,0.153256704980843,0,0.14176245210728,0.559386973180077,0.0191570881226054,0.0268199233716475,0.00766283524904215,0.00766283524904215,0,0,0,0,0,0,0.00383141762452107,0,0,0,0
230,NA,0.00431034482758621,0.0948275862068965,0,0.00862068965517241,0.827586206896552,0.021551724137931,0.021551724137931,0.00431034482758621,0.00862068965517241,0,0.00862068965517241,0,0,0,0,0,0,0,0,0
240,NA,0.00434782608695652,0.31304347826087,0.00869565217391304,0.0130434782608696,0.534782608695652,0.0304347826086957,0.0304347826086957,0.0304347826086957,0.0173913043478261,0,0,0.00434782608695652,0,0,0.00869565217391304,0,0.00434782608695652,0,0,0
250,NA,0.0106761565836299,0.163701067615658,0.0284697508896797,0.0213523131672598,0.238434163701068,0.0676156583629893,0.0854092526690391,0.174377224199288,0.131672597864769,0,0.00355871886120996,0.0604982206405694,0,0,0.00355871886120996,0,0,0.00355871886120996,0.00355871886120996,0.00355871886120996
260,NA,0,0.4,0,0.2,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
