"sample.depths","sample.ages","upland.sum","Artemisia","Epilobium","Picea","Shepherdia.canadensis","Asteraceae.subf..Asteroideae.undiff.","Pinus","Populus","Amaranthaceae","Poaceae","Betula","Elaeagnus","Asteraceae.subf..Cichorioideae","Asteraceae.subtribe.Ambrosiinae","Symphoricarpos.occidentalis","Ranunculaceae.undiff.","Salix","Ulmus","Alnus","Juglans","Rosaceae","Cornus","Corylus","Thalictrum","Lamiaceae","Symphoricarpos.albus","Carya","Fraxinus","Caryophyllaceae","Viburnum","Abies","Onagraceae.undiff.","Tsuga","Ephedra"
265,NA,928,122,2,534,28,18,150,4,18,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,NA,600,78,6,218,14,10,78,12,50,20,10,2,4,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,NA,996,122,0,264,18,18,192,0,100,78,18,6,2,176,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,NA,996,98,0,292,72,36,118,0,112,72,0,4,10,180,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,11998,1000,258,0,152,76,22,98,0,60,238,22,4,4,16,12,2,22,2,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,12050,1000,258,0,172,28,24,190,0,158,104,18,0,8,10,0,0,10,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
305,12075,998,352,0,232,28,28,116,0,96,76,20,0,10,20,6,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
310,12101,998,310,0,140,24,46,104,18,122,122,14,0,0,24,8,0,18,0,10,2,0,4,18,4,8,2,0,0,0,0,0,0,0,0
315,12127,998,202,0,198,60,20,102,20,50,224,20,4,0,26,2,2,16,2,0,2,2,6,16,2,0,0,2,20,0,0,0,0,0,0
320,12152,998,222,0,80,26,20,60,90,40,368,20,0,0,16,2,12,30,2,0,0,0,4,0,2,2,0,0,0,2,0,0,0,0,0
325,12178,1000,162,2,80,36,50,90,30,76,368,16,2,2,20,0,0,30,0,0,4,0,0,0,8,2,0,0,20,0,2,0,0,0,0
330,12204,600,76,0,232,50,10,94,18,18,70,0,0,2,0,0,0,12,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0
340,12255,1000,168,0,376,188,58,78,0,20,50,20,2,4,10,0,2,20,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
345,12281,760,214,0,234,30,18,76,22,22,48,10,2,4,8,2,0,32,0,14,2,2,0,0,2,0,0,0,14,0,2,0,2,0,0
350,12306,1000,216,0,428,28,14,48,46,46,76,18,0,0,0,0,0,46,0,10,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
355,12332,800,138,0,162,36,0,72,122,28,112,12,2,0,20,0,0,52,0,24,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
360,12358,1000,122,0,304,102,40,102,62,72,72,20,2,0,10,0,2,50,0,10,2,0,0,0,2,2,0,0,20,2,0,2,0,0,0
370,12409,1000,98,0,458,28,14,56,56,28,108,34,0,0,10,0,0,42,6,18,0,2,0,18,2,0,0,0,18,0,0,2,0,2,0
380,12460,830,136,0,410,24,12,48,24,32,72,24,0,0,8,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
385,12486,1000,126,0,448,20,14,86,76,20,82,28,0,0,10,0,2,24,0,20,2,0,0,20,2,0,0,0,20,0,0,0,0,0,0
390,12512,1000,126,0,456,10,14,58,108,20,88,30,0,0,10,0,0,30,2,20,0,2,0,0,0,0,0,0,20,2,0,4,0,0,0
395,12560,1200,220,0,438,42,18,24,152,24,74,48,0,0,12,0,0,80,2,24,2,2,0,12,0,0,0,0,24,0,0,2,0,0,0
400,12608,1000,260,0,298,42,12,26,128,26,98,16,2,4,8,0,0,26,2,18,4,0,0,8,4,0,0,0,16,0,0,2,0,0,0
405,12656,800,224,0,320,70,22,34,14,18,60,0,0,0,8,0,0,14,0,0,0,0,0,0,0,0,0,0,12,2,0,2,0,0,0
410,12704,800,154,0,418,30,12,26,24,20,46,20,2,0,8,0,0,24,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
415,12752,600,126,0,200,20,0,36,78,10,60,10,4,0,0,0,0,28,0,10,0,0,0,8,0,0,0,0,10,0,0,0,0,0,0
420,12800,1000,166,0,460,20,14,60,34,30,94,20,0,0,0,0,0,64,0,14,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
425,12848,1000,130,0,478,10,14,60,54,30,90,20,2,0,0,0,2,60,0,26,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
435,12944,998,150,2,522,14,20,64,20,40,80,24,2,0,10,0,2,34,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0
450,13088,600,68,0,350,22,0,52,12,12,38,12,0,0,0,0,0,14,0,0,0,0,0,12,0,0,0,0,8,0,0,0,0,0,0
460,13184,600,84,0,212,42,10,58,34,22,62,14,2,0,0,0,2,28,0,10,0,2,0,0,2,0,0,0,14,0,0,0,0,0,2
480,13377,998,132,2,570,114,28,80,0,20,28,0,0,0,0,0,4,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
490,13473,800,164,2,444,38,16,30,0,20,54,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,NA,1000,174,4,570,54,24,68,0,28,38,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
