"sample.depths","sample.ages","Abies","Acer","Alnus.incana.type","Alnus.undiff.","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Athyrium","Betula","Brassicaceae","Caltha","Cannabaceae","Carya","Castanea","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Dalea","Dryas.type","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Ilex","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Lycopodium.type","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Plantago","Platanus","Poaceae","Polypodiaceae","Populus","Potamogetonaceae","Pteridium.type","Quercus","Rhamnaceae","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown","Urtica.type","Vitis"
1,18,8,2,27,0,12,0,3,0,0,2,2,0,132,0,0,1,1,0,0,0,6,21,6,0,0,2,0,4,1,0,1,0,0,11,0,0,0,0,0,5,3,0,4,2,0,0,0,3,36,170,50,1,1,11,0,8,0,2,10,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,1
10,211,2,1,22,0,10,1,4,1,0,2,2,0,126,0,0,0,1,0,0,0,0,13,5,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,6,3,0,1,0,1,0,0,0,62,158,44,2,0,8,1,4,0,6,7,0,0,1,0,1,0,0,3,0,0,0,0,3,0,0,0
17,360,4,4,27,0,12,1,3,0,0,3,0,0,191,0,1,0,1,0,0,1,0,4,10,0,0,2,0,0,3,2,0,0,0,4,0,0,0,0,0,4,4,0,4,0,0,0,0,5,35,166,25,0,2,3,1,12,0,1,16,0,0,0,1,2,1,0,1,0,0,6,0,2,1,0,0
26,553,5,2,31,0,11,2,2,0,0,5,3,0,121,0,0,0,0,0,0,0,1,12,3,0,0,0,1,4,2,1,1,0,0,1,0,0,0,0,0,10,2,0,4,0,0,0,0,1,29,171,57,0,1,7,6,2,0,11,17,0,1,0,0,2,1,0,2,0,0,4,0,6,0,0,0
34,725,1,0,28,0,19,1,0,0,0,3,2,0,143,0,0,0,1,0,0,0,4,20,8,0,0,10,1,16,2,5,2,0,0,7,0,0,0,0,0,5,6,0,7,0,1,0,0,6,21,166,61,0,0,6,0,1,0,6,13,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0
43,919,6,5,18,0,10,0,0,0,0,1,0,0,109,0,0,0,0,0,0,0,1,14,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,51,96,101,0,0,10,3,5,0,0,11,0,0,0,0,0,0,0,2,0,2,7,1,4,0,0,0
54,1157,6,3,22,0,5,0,3,0,0,5,0,0,113,0,0,0,0,0,0,0,0,18,6,0,0,0,0,4,1,1,0,1,0,0,0,0,1,0,0,9,4,0,1,0,0,0,0,0,35,112,88,1,0,8,4,2,0,2,12,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0
60,1287,2,2,16,0,9,2,1,0,0,2,0,0,105,0,0,0,0,0,0,2,0,17,4,0,0,4,0,0,3,2,0,0,0,4,0,0,1,0,0,2,1,0,2,0,0,0,0,5,24,163,74,0,2,5,0,1,0,1,10,0,0,0,0,2,0,0,1,0,0,3,0,5,0,0,0
70,1505,3,5,25,0,15,1,0,0,0,0,4,0,140,0,0,0,0,0,0,0,3,31,9,0,0,0,0,0,3,3,2,0,0,2,0,0,0,0,0,6,2,0,3,1,1,0,0,4,35,104,64,0,1,5,0,9,0,1,10,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0
80,1725,1,4,8,0,1,0,2,0,0,2,0,1,104,0,0,0,1,0,0,1,0,37,0,0,0,1,0,0,0,1,1,0,0,5,0,0,0,0,0,2,1,0,1,0,0,0,0,0,4,85,34,0,3,3,0,1,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0
90,1946,6,2,24,0,7,0,3,0,1,1,0,0,171,0,0,0,1,0,0,0,2,36,4,0,0,0,0,8,2,2,2,0,0,1,1,0,1,0,0,8,2,0,3,0,0,0,0,0,22,118,95,0,1,6,2,1,0,2,6,0,0,0,0,0,0,0,3,0,0,3,0,8,2,0,0
100,2169,2,1,21,0,29,2,5,0,0,3,0,1,204,0,0,0,1,0,0,0,0,46,5,0,0,4,0,12,4,4,3,0,1,2,0,0,1,0,0,13,5,0,4,2,0,0,0,2,21,119,126,0,0,1,0,7,0,5,16,0,0,0,0,4,0,0,0,0,0,3,0,5,0,0,0
110,2394,9,1,29,0,4,0,2,0,0,2,3,0,146,0,0,0,1,1,0,0,2,19,9,0,0,1,0,8,2,6,4,0,0,1,0,0,0,0,0,4,3,0,1,0,0,0,0,2,32,108,174,0,1,3,1,5,0,3,18,0,0,0,0,1,0,0,2,0,0,4,0,5,0,0,0
120,2622,8,1,18,0,12,1,1,0,0,2,0,0,121,0,0,0,1,1,0,1,0,52,4,0,0,0,0,0,3,4,2,0,0,1,0,0,1,0,0,12,2,0,0,0,0,0,0,1,10,107,93,0,1,5,0,6,0,2,16,0,0,0,1,1,0,1,3,0,0,4,0,4,2,0,0
130,2852,6,3,16,0,4,0,0,0,0,2,0,0,146,0,0,0,0,0,0,0,1,14,2,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,4,2,0,1,1,0,0,0,1,25,66,151,0,2,4,0,1,1,1,10,0,0,0,1,0,0,0,2,0,0,3,0,5,0,0,0
140,3084,2,0,13,0,16,1,2,0,0,1,0,0,167,0,0,0,0,0,0,0,0,49,2,0,0,1,0,8,4,2,1,0,0,3,0,0,0,0,0,7,2,0,4,0,0,0,0,5,15,71,126,0,1,3,0,2,0,1,6,0,0,0,0,0,1,0,0,0,0,3,0,5,0,0,0
150,3319,4,2,28,0,7,0,4,0,0,3,0,0,180,0,0,0,0,0,0,0,4,30,6,0,0,0,1,4,1,4,0,0,0,1,0,0,0,0,0,4,3,0,2,0,1,0,0,1,24,101,131,1,2,3,1,6,0,1,9,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,1
160,3558,3,1,20,0,22,1,2,0,0,2,1,0,148,1,0,0,0,0,0,0,0,37,7,0,0,1,0,0,3,2,0,0,0,1,0,0,0,0,1,3,1,1,4,0,0,0,0,3,16,123,158,0,1,3,0,1,0,6,6,0,0,0,0,2,1,0,0,0,0,1,1,5,0,0,0
170,3800,4,0,14,0,3,1,0,0,0,1,0,0,106,0,0,0,1,0,0,0,1,27,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,5,1,0,2,0,0,0,0,0,19,74,121,0,1,2,0,1,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
180,4045,8,0,14,0,15,4,2,0,0,1,0,0,127,0,0,0,0,0,0,0,0,21,3,0,0,1,0,0,1,1,0,0,0,3,0,0,0,1,0,4,2,0,4,1,0,0,0,1,12,98,200,0,2,4,0,0,0,1,20,0,0,0,1,1,0,0,0,1,0,1,4,2,0,0,0
190,4295,2,0,16,0,3,0,0,0,0,4,1,0,109,0,0,0,0,0,0,0,2,42,3,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,4,0,0,3,1,0,0,0,3,10,88,121,0,1,1,2,3,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
200,4550,4,3,9,0,18,0,2,0,0,4,0,0,171,0,0,1,0,0,0,0,0,46,5,0,0,2,0,4,3,2,1,0,0,1,0,0,0,0,0,5,2,0,2,2,0,0,0,3,7,111,194,0,1,5,0,8,0,4,16,0,1,0,0,0,0,0,0,0,0,1,5,1,0,0,0
210,4810,0,1,10,0,11,0,4,0,1,2,0,0,126,0,0,0,0,0,0,0,6,23,2,0,0,0,0,0,6,1,1,0,0,2,0,0,1,0,0,2,0,0,1,1,0,0,0,0,6,82,143,0,2,1,0,3,1,2,8,2,2,0,0,0,0,1,0,1,0,0,0,8,2,0,0
220,5078,2,1,16,0,8,1,0,0,0,2,1,0,92,0,0,0,0,0,0,0,0,42,7,0,0,1,0,0,0,2,1,0,0,2,0,0,0,0,0,5,2,0,1,0,1,1,0,1,13,104,158,0,1,2,0,4,0,6,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
230,5352,1,4,15,0,14,0,3,0,0,1,1,0,104,0,0,0,1,0,0,0,1,82,10,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,7,0,1,0,0,4,7,130,221,0,2,4,0,8,0,8,18,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
240,5635,1,4,16,0,10,1,2,0,0,4,0,0,118,0,0,0,0,0,0,0,4,76,5,0,0,1,0,0,2,9,3,0,0,1,0,0,0,0,0,10,3,0,0,0,0,0,0,3,5,156,248,0,5,5,0,9,1,9,13,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0
250,5926,3,2,17,0,2,0,4,0,0,9,0,0,40,0,0,0,0,0,0,2,2,32,6,0,0,1,0,0,3,3,4,0,0,7,0,1,0,0,0,0,0,0,1,0,0,0,1,2,3,87,224,0,3,2,0,1,0,1,9,0,0,0,0,2,0,0,0,0,0,2,2,8,0,0,0
260,6227,1,4,18,0,15,0,0,0,0,3,0,0,48,0,0,0,0,0,0,0,0,32,2,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,13,87,160,0,0,1,0,4,0,11,9,0,0,0,0,1,1,0,1,0,1,2,0,4,0,0,0
270,6537,1,0,10,0,22,2,2,0,0,1,0,0,59,0,0,0,0,0,0,0,2,39,3,0,0,1,0,0,2,6,3,0,0,4,0,0,1,0,0,6,2,0,0,1,0,0,0,3,15,120,211,0,3,5,0,1,0,5,15,0,0,0,0,1,0,0,1,0,0,4,0,10,1,1,0
280,6859,0,2,7,0,6,2,2,0,0,1,0,0,42,0,0,0,0,0,0,0,1,25,6,0,0,1,0,0,3,2,2,0,0,0,0,0,0,0,0,1,6,0,1,1,0,0,0,3,7,103,166,0,2,4,0,4,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
290,7192,0,1,4,0,4,2,3,0,0,1,0,0,52,0,0,0,1,0,0,1,1,17,1,0,0,1,1,0,2,5,2,0,0,6,0,1,1,0,0,1,1,0,3,0,1,0,0,4,2,89,235,0,5,1,0,0,0,6,15,0,0,0,0,1,0,0,0,0,0,1,4,11,1,0,0
300,7537,3,2,20,0,10,1,1,0,0,2,3,0,66,0,0,0,0,0,0,0,5,11,4,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,5,2,0,3,2,0,0,0,3,11,93,215,0,4,4,1,8,0,8,13,0,0,0,0,1,0,0,0,0,0,1,0,8,0,0,0
310,7895,1,1,2,0,17,2,0,0,0,2,0,0,82,0,0,0,0,0,2,0,5,19,5,0,0,4,0,0,0,6,0,0,0,6,0,0,0,0,0,8,7,1,3,0,0,0,0,10,5,132,142,0,3,9,1,10,1,14,25,0,0,0,0,2,0,0,0,0,0,0,4,15,0,0,0
320,8267,1,0,5,0,30,7,1,0,0,1,2,0,106,0,0,0,0,0,0,0,3,10,3,0,0,1,0,0,1,6,2,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,5,5,179,66,0,2,2,2,21,0,16,14,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0
