"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Elaeagnus","Equisetum","Ericaceae","Fabaceae","Fraxinus","Galium","Indeterminable","Juglans","Lamiaceae","Larix","Lonicera","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Ostrya.Carpinus","Picea","Pinus","Plantago","Poaceae","Polygonum","Polypodiaceae","Populus","Potamogetonaceae","Potentilla.type","Primulaceae","Pteridophyta.undiff.","Quercus","Ranunculaceae.undiff.","Ranunculus","Rosaceae.undiff.","Rubus","Rumex","Salix","Sarcobatus.vermiculatus","Saxifragaceae","Shepherdia.argentea","Shepherdia.canadensis","Sphagnum","Thalictrum","Typha.Sparganium","Ulmus","Urticaceae"
0,-1,1,0,42,17,0,0,43,1,0,90,0,1,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,26,163,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,1,2,0,0
10,51,0,0,27,4,2,0,35,1,0,60,0,2,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,27,136,0,6,0,0,1,0,1,0,0,1,1,0,0,0,0,4,0,0,0,0,2,0,3,0,0
30,512,0,0,48,4,2,0,47,2,0,67,0,1,0,1,0,0,0,0,0,0,10,0,0,1,0,1,0,0,0,0,25,154,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,2,0,0,0
50,973,1,0,26,2,1,0,29,5,0,20,0,1,0,5,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,15,155,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,0
70,1434,0,0,34,4,0,0,43,1,0,56,0,1,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,25,175,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
90,1896,0,0,38,0,2,0,39,4,0,41,0,3,0,6,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,31,103,0,16,0,2,1,0,1,0,1,0,0,1,1,0,0,16,0,0,0,0,2,2,1,0,0
110,2357,0,0,31,2,0,0,28,1,0,21,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,15,179,0,9,0,0,2,2,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2,1,0,1,0
130,2818,0,0,41,6,1,0,42,1,0,55,0,3,0,10,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,43,110,0,13,0,1,2,1,0,0,0,1,0,1,1,0,1,25,2,0,0,0,5,4,3,0,0
150,3279,0,0,58,5,2,0,74,4,0,81,0,4,0,8,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,13,50,0,7,0,0,0,0,0,0,1,0,0,0,1,0,0,13,0,0,0,0,0,0,1,0,0
170,3740,0,0,45,3,2,0,68,5,0,78,0,4,0,17,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,29,94,0,21,1,0,2,0,0,0,0,0,0,1,2,0,0,14,1,0,0,0,3,0,2,1,0
